DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_Rank,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_Player,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_JerseyNumber,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_Position,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_GamesPlayed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_PassRushSnaps,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnaps,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnapsPercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageGrade,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoveragePenalties,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageTargets,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageReceptionsAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageReceptionPercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageYardsAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageYardsPerReceptionAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageYardsAfterCatchAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageAverageDepthOfTarget,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageLongestReceptionAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageForcedIncompletions,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageForcedIncompletionPercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoveragePassBreakups,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageInterceptions,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageDrops,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageTouchdownsAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoveragePasserRatingAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnapsPerTarget,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnapsPerReceptionAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageTackles,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageAssists,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageMissedTackles,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageMissedTacklePercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageStops
1.0,Alohi Gilman,#32,S,14.0,547.0,544.0,99.5,89.2,2 (0),34.0,22.0,64.7,292.0,13.3,148.0,12.1,34.0,7.0,21.0,7.0,2.0,2.0,3.0,96.7,15.4,23.7,33.0,5.0,2.0,5.0,8.0
2.0,Khalil Mack,#52,ED,17.0,587.0,53.0,9.0,86.1,0 (0),1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.2,51.0,51.0,4.0,2.0,2.0,25.0,19.0
3.0,Asante Samuel Jr.,#26,CB,17.0,673.0,672.0,99.9,75.6,4 (1),85.0,55.0,64.7,737.0,13.4,293.0,10.5,70.0,14.0,17.0,11.0,2.0,2.0,4.0,98.0,7.6,11.7,53.0,3.0,10.0,15.2,8.0
4.0,Nick Niemann,#31,LB,9.0,162.0,144.0,88.9,71.2,0 (0),14.0,12.0,85.7,102.0,8.5,78.0,2.8,33.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,9.9,11.5,11.0,2.0,0.0,0.0,3.0
5.0,Daiyan Henley,#00,LB,5.0,36.0,33.0,91.7,69.4,0 (0),7.0,5.0,71.4,20.0,4.0,23.0,0.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,74.1,4.4,6.2,6.0,1.0,0.0,0.0,4.0
6.0,Morgan Fox,#56,DI,17.0,322.0,3.0,0.9,68.1,1 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,2.0,50.0,5.0
7.0,Joey Bosa,#97,ED,9.0,218.0,10.0,4.6,65.4,4 (1),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,7.0
8.0,Chris Rumph II,#94,ED,6.0,70.0,7.0,10.0,64.4,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0
9.0,Essang Bassey,#27,CB,8.0,141.0,136.0,96.5,63.8,1 (0),14.0,9.0,64.3,141.0,15.7,96.0,7.7,54.0,2.0,14.0,1.0,0.0,0.0,1.0,121.4,9.3,14.4,8.0,2.0,2.0,16.7,1.0
10.0,AJ Finley,#24,S,2.0,20.0,20.0,100.0,62.6,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
10.0,Raheem Layne,#41,S,3.0,52.0,51.0,98.1,62.6,1 (0),1.0,1.0,100.0,9.0,9.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,104.2,48.0,48.0,3.0,0.0,0.0,0.0,1.0
