DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_Rank,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_Player,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_JerseyNumber,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_Position,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_GamesPlayed,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushTotalSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushSnapsPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushGrade,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushPenalties,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushTotalPressures,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushSacks,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushHits,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushHurries,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushPressureRate,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushWinPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushBattedPasses,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetTotalSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetSnapsPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetGrade,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetTotalPressures,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetSacks,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetHits,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetHurries,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetPressureRate,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetWinPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetBattedPasses
1.0,Khalil Mack,#52,ED,17.0,587.0,534.0,91.0,86.3,0 (0),88.0,18.0,11.0,59.0,10.4,18.2,6.0,277.0,259.0,93.5,90.1,64.0,14.0,7.0,43.0,15.8,27.1,1.0
2.0,Eric Kendricks,#06,LB,15.0,525.0,60.0,11.4,82.5,1 (0),16.0,4.0,3.0,9.0,17.2,20.7,1.0,233.0,35.0,15.0,90.6,12.0,4.0,2.0,6.0,24.2,30.3,1.0
3.0,Joey Bosa,#97,ED,9.0,218.0,208.0,95.4,80.3,4 (1),24.0,7.0,3.0,14.0,7.9,16.2,0.0,109.0,107.0,98.2,89.9,19.0,6.0,2.0,11.0,12.4,25.7,0.0
4.0,Michael Davis,#43,CB,15.0,552.0,2.0,0.4,77.8,7 (3),2.0,0.0,0.0,2.0,100.0,100.0,0.0,261.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
5.0,Derwin James Jr.,#03,S,16.0,601.0,41.0,6.8,69.5,8 (1),7.0,2.0,1.0,4.0,11.5,2.6,1.0,264.0,15.0,5.7,65.8,4.0,2.0,0.0,2.0,20.0,0.0,0.0
6.0,Nick Niemann,#31,LB,9.0,162.0,18.0,11.1,66.0,0 (0),5.0,0.0,2.0,3.0,13.9,16.7,0.0,77.0,6.0,7.8,52.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,Ty Shelby,#59,ED,1.0,6.0,5.0,83.3,65.5,0 (0),1.0,0.0,0.0,1.0,10.0,20.0,0.0,1.0,1.0,100.0,59.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,Morgan Fox,#56,DI,17.0,322.0,319.0,99.1,64.6,1 (0),37.0,5.0,6.0,26.0,7.0,13.2,0.0,193.0,191.0,99.0,68.4,28.0,3.0,4.0,21.0,8.6,17.8,0.0
9.0,Sebastian Joseph-Day,#51,DI,14.0,322.0,321.0,99.7,64.0,1 (0),25.0,3.0,7.0,15.0,4.5,9.4,0.0,145.0,145.0,100.0,65.0,14.0,1.0,3.0,10.0,5.5,13.9,0.0
10.0,Kenneth Murray Jr.,#09,LB,15.0,588.0,79.0,13.4,63.9,1 (0),14.0,3.0,2.0,9.0,11.2,10.5,0.0,272.0,41.0,15.1,69.4,8.0,2.0,1.0,5.0,12.8,15.4,0.0
11.0,Nick Williams,#95,DI,14.0,195.0,195.0,100.0,63.5,0 (0),10.0,1.0,0.0,9.0,3.0,5.5,0.0,66.0,66.0,100.0,67.4,4.0,0.0,0.0,4.0,3.2,9.5,0.0
12.0,Tuli Tuipulotu,#45,ED,17.0,513.0,444.0,86.5,61.1,1 (0),51.0,8.0,7.0,36.0,6.9,11.9,1.0,249.0,234.0,94.0,62.1,38.0,7.0,5.0,26.0,10.0,14.3,0.0
13.0,Otito Ogbonnia,#93,DI,8.0,104.0,104.0,100.0,60.1,0 (0),8.0,0.0,2.0,6.0,4.0,8.9,0.0,35.0,35.0,100.0,70.2,6.0,0.0,1.0,5.0,8.6,20.0,0.0
14.0,Deane Leonard,#33,CB,5.0,128.0,1.0,0.8,60.0,2 (1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,1.6,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
