DEFENSE-RUN_2023_DEFENSE-RUN_2023_Rank,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Player,DEFENSE-RUN_2023_DEFENSE-RUN_2023_JerseyNumber,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Position,DEFENSE-RUN_2023_DEFENSE-RUN_2023_GamesPlayed,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseSnaps,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseGrade,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAssists,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTacklePercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStops,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStopPercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseForcedFumbles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAverageDepthOfTackle,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefensePenalties
1.0,Khalil Mack,#52,ED,17.0,347.0,90.8,37.0,12.0,3.0,5.8,33.0,9.7,1.0,1.4,0 (0)
2.0,Tuli Tuipulotu,#45,ED,17.0,339.0,88.4,37.0,9.0,4.0,8.0,29.0,8.7,2.0,1.6,1 (0)
3.0,Alohi Gilman,#32,S,14.0,381.0,75.2,23.0,10.0,8.0,19.5,7.0,1.9,1.0,8.0,2 (0)
4.0,Derwin James Jr.,#03,S,16.0,400.0,74.4,35.0,23.0,7.0,10.8,12.0,3.0,0.0,6.3,8 (1)
5.0,Eric Kendricks,#06,LB,15.0,322.0,73.6,39.0,19.0,4.0,6.5,23.0,7.3,0.0,3.1,1 (0)
6.0,Andrew Farmer,#92,ED,7.0,30.0,71.8,1.0,1.0,1.0,33.3,1.0,3.3,0.0,1.0,0 (0)
7.0,Joey Bosa,#97,ED,9.0,102.0,70.7,12.0,3.0,1.0,6.3,11.0,11.1,0.0,2.7,4 (1)
8.0,Jaylinn Hawkins,#37,S,6.0,47.0,68.3,4.0,2.0,0.0,0.0,1.0,2.1,0.0,10.0,0 (0)
9.0,Raheem Layne,#41,S,1.0,24.0,68.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,1 (0)
10.0,Justin Hollins,#58,ED,7.0,40.0,66.7,3.0,1.0,1.0,20.0,2.0,5.0,0.0,3.3,1 (0)
11.0,Amen Ogbongbemiga,#57,LB,3.0,5.0,65.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0 (0)
12.0,Daiyan Henley,#00,LB,4.0,18.0,64.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,9.5,0 (0)
12.0,Nick Niemann,#31,LB,8.0,85.0,64.5,12.0,9.0,1.0,4.5,5.0,6.0,0.0,6.1,0 (0)
14.0,Michael Davis,#43,CB,15.0,334.0,64.1,14.0,3.0,3.0,15.0,8.0,2.5,0.0,3.9,7 (3)
15.0,Dean Marlowe,#20,S,9.0,94.0,63.9,11.0,2.0,2.0,13.3,5.0,5.5,0.0,5.0,0 (0)
16.0,JT Woods,#22,S,2.0,13.0,61.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0 (0)
17.0,Ty Shelby,#59,ED,1.0,4.0,61.0,1.0,0.0,0.0,0.0,1.0,25.0,0.0,3.0,0 (0)
18.0,Asante Samuel Jr.,#26,CB,17.0,438.0,60.6,3.0,5.0,4.0,33.3,2.0,0.5,0.0,4.3,4 (1)
19.0,J.C. Jackson,#29,CB,2.0,36.0,60.4,0.0,0.0,0.0,,0.0,0.0,0.0,,1 (0)
20.0,AJ Finley,#24,S,4.0,7.0,60.1,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
21.0,Derius Davis,#12,WR,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
21.0,Stone Smartt,#84,TE,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
21.0,Blake Lynch,#53,LB,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
24.0,Christopher Hinton,#91,DI,3.0,46.0,57.6,6.0,4.0,0.0,0.0,3.0,6.5,0.0,4.2,0 (0)
25.0,Essang Bassey,#27,CB,7.0,69.0,54.2,3.0,1.0,2.0,33.3,2.0,2.9,0.0,5.0,1 (0)
26.0,Sebastian Joseph-Day,#51,DI,14.0,238.0,54.0,19.0,12.0,3.0,8.8,15.0,6.5,0.0,2.2,1 (0)
27.0,Nick Williams,#95,DI,14.0,204.0,51.0,16.0,8.0,3.0,11.1,9.0,4.5,0.0,2.5,0 (0)
28.0,Chris Rumph II,#94,ED,6.0,33.0,50.4,4.0,3.0,0.0,0.0,4.0,12.9,0.0,2.8,0 (0)
29.0,Austin Johnson,#98,DI,17.0,307.0,48.4,28.0,14.0,2.0,4.5,17.0,5.6,0.0,2.7,2 (0)
30.0,Kenneth Murray Jr.,#09,LB,15.0,380.0,48.2,41.0,13.0,4.0,6.9,27.0,7.3,0.0,3.6,1 (0)
31.0,Ja'Sir Taylor,#36,CB,12.0,157.0,47.3,4.0,2.0,1.0,14.3,2.0,1.3,0.0,5.0,3 (1)
32.0,Deane Leonard,#33,CB,5.0,94.0,45.3,6.0,3.0,2.0,18.2,1.0,1.1,0.0,11.0,2 (1)
33.0,Otito Ogbonnia,#93,DI,8.0,119.0,43.6,14.0,3.0,0.0,0.0,8.0,6.7,0.0,3.0,0 (0)
34.0,Morgan Fox,#56,DI,17.0,115.0,43.1,6.0,1.0,1.0,12.5,3.0,2.6,0.0,3.0,1 (0)
35.0,Scott Matlock,#99,DI,12.0,134.0,38.8,10.0,5.0,0.0,0.0,6.0,4.5,0.0,3.7,0 (0)
36.0,Brevin Allen,#90,ED,2.0,7.0,36.4,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
,,,,,,,,,,,,,,,
