Player,JerseyNumber,Position,GamesPlayed,ReceivingTargets,ReceivingReceptions,ReceivingReceptionPercentage,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingOverallGrade,ReceivingGrade,ReceivingDrops,ReceivingFumbles,ReceivingPassBlockingGrade,ReceivingPassSnaps,ReceivingRoutesRun,ReceivingTargetPercentage,ReceivingPassBlockingSnaps,ReceivingPassBlockingSnapsPercentage,ReceivingSnapsInTheSlot,ReceivingSnapsInTheSlotPercentage,ReceivingSnapsWide,ReceivingSnapsWidePercentage,ReceivingSnapsInline,ReceivingSnapsInlinePercentage,ReceivingYardsAfterCatch,ReceivingYardsAfterCatchPerReception,ReceivingYardsPerRouteRun,ReceivingAverageDepthOfTarget,ReceivingLongestReception,ReceivingDrops.1,ReceivingDropPercentage,ReceivingContestedTargets,ReceivingContestedCatches,ReceivingContestedCatchPercentage,ReceivingInterceptionsThrownWhenTargeted,ReceivingFumbles.1,ReceivingMissedTacklesForced,ReceivingFirstDowns,ReceivingPasserRatingWhenTargeted,ReceivingPenalties
Keenan Allen,#13,WR,13.0,145.0,108.0,74.5,"1,243",11.5,7.0,86.3,87.4,79.0,35.7,77.5,561.0,527.0,93.9,3.0,0.5,331.0,59.0,226.0,40.3,0.0,0.0,395.0,3.7,2.36,9.9,42.0,6.0,5.3,20.0,10.0,50.0,2.0,2.0,7.0,56.0,110.2,1 (0)
Mike Williams,#81,WR,3.0,25.0,19.0,76.0,249,13.1,1.0,74.6,73.5,83.2,74.5,-,113.0,107.0,94.7,0.0,0.0,32.0,28.3,80.0,70.8,1.0,0.9,105.0,5.5,2.33,12.4,49.0,0.0,0.0,7.0,5.0,71.4,0.0,0.0,4.0,9.0,120.3,0 (0)
Gerald Everett,#07,TE,15.0,70.0,51.0,72.9,411,8.1,3.0,65.6,68.1,80.3,25.2,67.5,373.0,326.0,87.4,27.0,7.2,133.0,35.7,47.0,12.6,183.0,49.1,277.0,5.4,1.26,4.2,31.0,2.0,3.8,11.0,3.0,27.3,1.0,3.0,16.0,25.0,95.6,2 (1)
Joshua Palmer,#05,WR,10.0,60.0,38.0,63.3,584,15.4,2.0,67.6,67.6,66.3,29.7,-,369.0,342.0,92.7,0.0,0.0,143.0,38.8,225.0,61.0,0.0,0.0,191.0,5.0,1.71,12.3,79.0,3.0,7.3,15.0,7.0,46.7,1.0,1.0,2.0,22.0,99.6,1 (0)
Simi Fehoko,#87,WR,2.0,2.0,1.0,50.0,9,9.0,1.0,60.4,65.0,64.7,61.2,66.2,10.0,9.0,90.0,1.0,10.0,4.0,40.0,6.0,60.0,0.0,0.0,7.0,7.0,1.0,9.5,9.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,102.1,0 (0)
Donald Parham Jr.,#89,TE,14.0,40.0,27.0,67.5,285,10.6,4.0,59.7,64.0,45.2,75.9,78.3,300.0,251.0,83.7,31.0,10.3,101.0,33.7,37.0,12.3,162.0,54.0,124.0,4.6,1.14,8.7,24.0,3.0,10.0,7.0,4.0,57.1,1.0,0.0,6.0,22.0,110.9,2 (0)
Alex Erickson,#82,WR,8.0,27.0,16.0,59.3,237,14.8,1.0,62.6,63.7,81.7,74.0,67.9,231.0,222.0,96.1,2.0,0.9,111.0,48.1,119.0,51.5,1.0,0.4,62.0,3.9,1.07,12.1,27.0,0.0,0.0,5.0,2.0,40.0,0.0,0.0,0.0,12.0,100.4,1 (0)
Elijah Dotson,#42,HB,2.0,2.0,2.0,100.0,13,6.5,0.0,54.8,62.7,68.3,70.0,-,5.0,5.0,100.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,16.0,8.0,2.6,-1.5,7.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,93.8,0 (0)
Isaiah Spiller,#28,HB,9.0,6.0,6.0,100.0,34,5.7,0.0,58.8,61.0,74.6,81.3,29.0,70.0,49.0,70.0,18.0,25.7,2.0,2.9,3.0,4.3,0.0,0.0,42.0,7.0,0.69,-1.3,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,1.0,90.3,1 (0)
Derius Davis,#12,WR,16.0,17.0,15.0,88.2,66,4.4,0.0,60.5,61.0,65.6,69.1,-,80.0,73.0,91.3,0.0,0.0,56.0,70.0,17.0,21.3,0.0,0.0,114.0,7.6,0.9,-2.1,18.0,1.0,6.3,0.0,0.0,,0.0,0.0,3.0,0.0,82.8,1 (0)
