DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_Rank,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_Player,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_JerseyNumber,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_Position,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_GamesPlayed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_PassRushSnaps,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnaps,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnapsPercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageGrade,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoveragePenalties,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageTargets,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageReceptionsAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageReceptionPercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageYardsAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageYardsPerReceptionAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageYardsAfterCatchAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageAverageDepthOfTarget,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageLongestReceptionAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageForcedIncompletions,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageForcedIncompletionPercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoveragePassBreakups,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageInterceptions,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageDrops,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageTouchdownsAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoveragePasserRatingAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnapsPerTarget,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnapsPerReceptionAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageTackles,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageAssists,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageMissedTackles,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageMissedTacklePercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageStops
1.0,Jake Hummel,#35,LB,4.0,37.0,35.0,94.6,76.2,0 (0),5.0,5.0,100.0,27.0,5.4,10.0,3.4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,6.8,6.8,5.0,0.0,1.0,16.7,3.0
2.0,Byron Young,#00,ED,18.0,650.0,132.0,20.3,68.3,2 (1),11.0,9.0,81.8,50.0,5.6,47.0,2.2,12.0,0.0,0.0,0.0,0.0,0.0,1.0,115.9,11.5,14.1,15.0,2.0,4.0,19.0,13.0
3.0,Quentin Lake,#37,CB,15.0,355.0,337.0,94.9,66.6,3 (0),54.0,38.0,70.4,312.0,8.2,140.0,6.0,33.0,6.0,11.0,5.0,0.0,0.0,2.0,97.1,6.0,8.5,34.0,6.0,2.0,4.8,13.0
4.0,Ochaun Mathis,#32,ED,6.0,56.0,3.0,5.4,64.0,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0
5.0,Jordan Fuller,#04,S,17.0,674.0,664.0,98.5,63.3,1 (0),45.0,25.0,55.6,334.0,13.4,113.0,14.0,46.0,7.0,16.0,5.0,3.0,0.0,3.0,73.8,13.9,25.1,45.0,7.0,6.0,10.3,8.0
6.0,Derion Kendrick,#01,CB,18.0,572.0,571.0,99.8,60.4,11 (1),69.0,43.0,62.3,623.0,14.5,179.0,14.3,48.0,8.0,12.0,7.0,1.0,0.0,4.0,104.9,7.8,12.5,38.0,4.0,8.0,16.0,8.0
7.0,Ahkello Witherspoon,#44,CB,18.0,693.0,692.0,99.9,60.0,4 (3),104.0,52.0,50.0,785.0,15.1,201.0,15.4,80.0,13.0,13.0,10.0,3.0,2.0,5.0,79.2,6.3,12.6,33.0,5.0,9.0,19.1,7.0
8.0,Keir Thomas,#96,ED,9.0,64.0,19.0,29.7,59.1,1 (0),2.0,2.0,100.0,44.0,22.0,16.0,14.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,158.3,8.5,8.5,2.0,1.0,0.0,0.0,0.0
9.0,John Johnson III,#43,S,14.0,403.0,397.0,98.5,58.3,0 (0),28.0,15.0,53.6,134.0,8.9,53.0,10.8,28.0,3.0,11.0,3.0,2.0,0.0,1.0,48.8,13.4,25.1,26.0,5.0,0.0,0.0,6.0
10.0,Ernest Jones,#53,LB,16.0,628.0,487.0,77.5,57.5,1 (0),52.0,39.0,75.0,341.0,8.7,288.0,1.4,23.0,4.0,8.0,4.0,0.0,1.0,0.0,91.9,8.8,11.7,37.0,14.0,4.0,7.3,16.0
11.0,Russ Yeast,#02,S,18.0,534.0,519.0,97.2,55.6,3 (1),36.0,26.0,72.2,382.0,14.7,151.0,8.6,54.0,7.0,19.0,4.0,0.0,0.0,1.0,115.7,13.6,18.8,31.0,7.0,14.0,26.9,8.0
