DEFENSE-RUN_2023_DEFENSE-RUN_2023_Rank,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Player,DEFENSE-RUN_2023_DEFENSE-RUN_2023_JerseyNumber,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Position,DEFENSE-RUN_2023_DEFENSE-RUN_2023_GamesPlayed,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseSnaps,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseGrade,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAssists,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTacklePercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStops,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStopPercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseForcedFumbles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAverageDepthOfTackle,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefensePenalties
1.0,Ernest Jones,#53,LB,16.0,360.0,86.2,62.0,31.0,9.0,8.8,35.0,10.0,0.0,3.1,1 (0)
2.0,Quentin Lake,#37,CB,14.0,151.0,77.1,13.0,4.0,2.0,10.5,5.0,3.5,0.0,4.9,3 (0)
3.0,Jordan Fuller,#04,S,17.0,383.0,75.0,27.0,12.0,4.0,9.3,9.0,2.4,2.0,6.3,1 (0)
4.0,Aaron Donald,#99,DI,17.0,318.0,71.7,32.0,13.0,3.0,6.3,26.0,8.5,0.0,1.4,3 (1)
5.0,Duke Shelley,#26,CB,3.0,31.0,71.6,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
6.0,Ahkello Witherspoon,#44,CB,18.0,422.0,70.2,14.0,3.0,2.0,10.5,5.0,1.2,0.0,9.7,4 (3)
7.0,Keir Thomas,#96,ED,8.0,32.0,68.9,2.0,1.0,0.0,0.0,1.0,3.2,0.0,6.5,1 (0)
8.0,Bobby Brown III,#95,DI,14.0,173.0,68.8,20.0,13.0,1.0,2.9,13.0,7.7,0.0,2.0,0 (0)
8.0,Kobie Turner,#91,DI,18.0,231.0,68.8,28.0,12.0,5.0,11.1,24.0,10.9,0.0,2.2,1 (0)
10.0,Derion Kendrick,#01,CB,18.0,299.0,65.4,11.0,0.0,4.0,26.7,5.0,1.7,0.0,4.1,11 (1)
