"season","game_type","team","week","gsis_id","position","full_name","first_name","last_name","report_primary_injury","report_secondary_injury","report_status","practice_primary_injury","practice_secondary_injury","practice_status","date_modified"
2023,"REG","LA",1,"00-0034804","C","Brian Allen","Brian","Allen",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-09-08 19:52:17
2023,"REG","LA",1,"00-0036415","WR","Van Jefferson","Van","Jefferson",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-09-08 19:52:35
2023,"REG","LA",1,"00-0039107","QB","Stetson Bennett","Stetson","Bennett","right Shoulder",NA,"Questionable","right Shoulder",NA,"Did Not Participate In Practice",2023-09-08 19:53:13
2023,"REG","LA",1,"00-0033908","WR","Cooper Kupp","Cooper","Kupp","Hamstring",NA,"Questionable","Hamstring",NA,"Did Not Participate In Practice",2023-09-08 19:53:13
2023,"REG","LA",1,"00-0037004","TE","Hunter Long","Hunter","Long","Thigh",NA,"Questionable","Thigh",NA,"Did Not Participate In Practice",2023-09-08 19:53:13
2023,"REG","LA",2,"00-0031388","DT","Aaron Donald","Aaron","Donald",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-09-15 20:00:24
2023,"REG","LA",2,"00-0034803","T","Joseph Noteboom","Joseph","Noteboom",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-15 19:58:01
2023,"REG","LA",2,"00-0033783","CB","Ahkello Witherspoon","Ahkello","Witherspoon",NA,NA,NA,"Hip",NA,"Full Participation in Practice",2023-09-15 19:58:01
2023,"REG","LA",2,"00-0039060","S","Jason Taylor","Jason","Taylor",NA,NA,NA,"Groin",NA,"Limited Participation in Practice",2023-09-14 23:29:58
2023,"REG","LA",2,"00-0036994","LB","Ernest Jones","Ernest","Jones","Illness",NA,"Questionable","Illness",NA,"Did Not Participate In Practice",2023-09-15 20:02:26
2023,"REG","LA",2,"00-0039075","WR","Puka Nacua","Puka","Nacua","Oblique",NA,"Questionable","Oblique",NA,"Limited Participation in Practice",2023-09-15 20:01:18
2023,"REG","LA",2,"00-0034114","C","Coleman Shelton","Coleman","Shelton","Toe",NA,"Questionable","Toe",NA,"Limited Participation in Practice",2023-09-15 20:01:36
2023,"REG","LA",2,"00-0037844","S","Russ Yeast","Russ","Yeast","Knee",NA,"Questionable","Knee",NA,"Limited Participation in Practice",2023-09-15 20:01:55
2023,"REG","LA",3,"00-0034804","C","Brian Allen","Brian","Allen",NA,NA,NA,"Illness",NA,"Full Participation in Practice",2023-09-23 19:39:20
2023,"REG","LA",3,"00-0037839","CB","Cobie Durant","Cobie","Durant",NA,NA,NA,"Groin",NA,"Full Participation in Practice",2023-09-23 19:39:36
2023,"REG","LA",3,"00-0034803","T","Joseph Noteboom","Joseph","Noteboom",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2023-09-23 19:39:20
2023,"REG","LA",3,"00-0035944","DE","Jonah Williams","Jonah","Williams",NA,NA,NA,"Back",NA,"Full Participation in Practice",2023-09-23 19:39:20
2023,"REG","LA",3,"00-0039075","WR","Puka Nacua","Puka","Nacua","Oblique",NA,"Questionable","Oblique",NA,"Limited Participation in Practice",2023-09-23 19:40:19
2023,"REG","LA",4,"00-0031388","DT","Aaron Donald","Aaron","Donald",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-09-29 19:45:07
2023,"REG","LA",4,"00-0039075","WR","Puka Nacua","Puka","Nacua",NA,NA,NA,"Oblique",NA,"Full Participation in Practice",2023-09-29 19:41:58
