OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_Rank,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_Player,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_JerseyNumber,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_Position,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_GamesPlayed,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnaps,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnaps.1,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnapsPercentage,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingGrade,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingPenalties,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnapsInZoneScheme,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnapsInZoneSchemePercentage,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingGradeInZoneScheme,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnapsInGapScheme,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnapsInGapSchemePercentage,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingGradeInGapScheme
1.0,Kevin Dotson,#69,G,15.0,378.0,378.0,100.0,88.4,0 (0),147.0,38.9,74.9,211.0,55.8,90.4
2.0,Rob Havenstein,#79,T,15.0,357.0,357.0,100.0,85.6,0 (0),117.0,32.8,90.7,219.0,61.3,71.2
3.0,Royce Freeman,#24,HB,9.0,88.0,12.0,13.6,78.9,0 (0),1.0,8.3,60.0,2.0,16.7,60.0
4.0,Puka Nacua,#17,WR,18.0,389.0,376.0,96.7,78.1,2 (0),138.0,36.7,61.8,228.0,60.6,85.8
5.0,Coleman Shelton,#65,C,18.0,459.0,459.0,100.0,74.6,1 (0),157.0,34.2,87.3,275.0,59.9,64.3
6.0,Demarcus Robinson,#15,WR,12.0,175.0,174.0,99.4,71.8,1 (0),62.0,35.6,81.6,103.0,59.2,58.0
7.0,Cooper Kupp,#10,WR,13.0,303.0,302.0,99.7,67.5,0 (0),128.0,42.4,59.5,161.0,53.3,59.2
8.0,Hunter Long,#84,TE,3.0,32.0,32.0,100.0,67.3,1 (1),11.0,34.4,46.9,18.0,56.3,80.7
9.0,Brian Allen,#55,C,3.0,20.0,20.0,100.0,66.5,0 (0),5.0,25.0,65.7,9.0,45.0,58.0
10.0,Tutu Atwell,#05,WR,17.0,254.0,248.0,97.6,64.6,0 (0),88.0,35.5,66.7,149.0,60.1,56.5
11.0,Matthew Stafford,#09,QB,16.0,413.0,406.0,98.3,60.1,0 (0),145.0,35.7,60.0,245.0,60.3,60.2
12.0,Cam Akers,#03,HB,1.0,23.0,1.0,4.3,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
12.0,Darrell Henderson,#27,HB,4.0,48.0,2.0,4.2,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
12.0,Zach Evans,#21,HB,4.0,12.0,3.0,25.0,60.0,0 (0),0.0,0.0,-,2.0,66.7,60.0
12.0,Carson Wentz,#11,QB,2.0,35.0,22.0,62.9,60.0,0 (0),4.0,18.2,60.0,17.0,77.3,60.0
12.0,Brett Rypien,#11,QB,2.0,31.0,31.0,100.0,60.0,0 (0),12.0,38.7,60.0,17.0,54.8,60.0
17.0,Alaric Jackson,#77,T,16.0,415.0,415.0,100.0,59.5,2 (0),144.0,34.7,69.3,241.0,58.1,61.4
18.0,Ronnie Rivers,#20,HB,7.0,46.0,8.0,17.4,59.1,0 (0),1.0,12.5,60.0,2.0,25.0,60.0
18.0,Kyren Williams,#23,HB,13.0,262.0,18.0,6.9,59.1,0 (0),1.0,5.6,60.0,2.0,11.1,59.7
20.0,Warren McClendon Jr.,#71,T,2.0,16.0,16.0,100.0,57.0,0 (0),5.0,31.3,57.2,5.0,31.3,58.1
21.0,Steve Avila,#73,G,18.0,479.0,479.0,100.0,56.0,0 (0),162.0,33.8,50.7,284.0,59.3,57.7
22.0,Zach Thomas,#57,T,1.0,6.0,6.0,100.0,55.9,0 (0),1.0,16.7,60.0,5.0,83.3,56.7
23.0,Ben Skowronek,#18,WR,18.0,129.0,127.0,98.4,55.2,0 (0),31.0,24.4,45.0,83.0,65.4,71.9
24.0,Brycen Hopkins,#88,TE,12.0,38.0,38.0,100.0,54.5,1 (0),7.0,18.4,62.2,24.0,63.2,53.0
25.0,Tyler Higbee,#89,TE,16.0,348.0,348.0,100.0,54.2,1 (0),126.0,36.2,73.5,204.0,58.6,47.1
26.0,Davis Allen,#87,TE,14.0,102.0,102.0,100.0,51.3,1 (0),27.0,26.5,59.9,62.0,60.8,54.0
27.0,Joe Noteboom,#70,T,10.0,227.0,227.0,100.0,48.9,0 (0),66.0,29.1,52.3,147.0,64.8,50.1
28.0,Tremayne Anchrum Jr.,#72,G,5.0,38.0,38.0,100.0,43.3,0 (0),6.0,15.8,43.9,24.0,63.2,49.0
29.0,Austin Trammell,#81,WR,9.0,32.0,32.0,100.0,39.0,0 (0),7.0,21.9,57.0,18.0,56.3,51.9
30.0,Van Jefferson,#12,WR,5.0,94.0,93.0,98.9,36.1,1 (0),17.0,18.3,58.4,72.0,77.4,57.7
31.0,Tyler Johnson,#16,WR,1.0,20.0,20.0,100.0,34.9,0 (0),4.0,20.0,60.4,11.0,55.0,49.9
,,,,,,,,,,,,,,,
