SCHEDULE_2023_SCHEDULE_2023_Week,SCHEDULE_2023_SCHEDULE_2023_Away,SCHEDULE_2023_SCHEDULE_2023_Opponent,SCHEDULE_2023_SCHEDULE_2023_Date,SCHEDULE_2023_SCHEDULE_2023_Time,SCHEDULE_2023_SCHEDULE_2023_Result,SCHEDULE_2023_SCHEDULE_2023_PointsFor,SCHEDULE_2023_SCHEDULE_2023_PointsAgainst,SCHEDULE_2023_SCHEDULE_2023_OverallGrade,SCHEDULE_2023_SCHEDULE_2023_OffenseGrade,SCHEDULE_2023_SCHEDULE_2023_PassingGrade,SCHEDULE_2023_SCHEDULE_2023_PassBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_ReceivingGrade,SCHEDULE_2023_SCHEDULE_2023_RushingGrade,SCHEDULE_2023_SCHEDULE_2023_RunBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_DefenseGrade,SCHEDULE_2023_SCHEDULE_2023_RunDefenseGrade,SCHEDULE_2023_SCHEDULE_2023_TacklingGrade,SCHEDULE_2023_SCHEDULE_2023_PassRushGrade,SCHEDULE_2023_SCHEDULE_2023_CoverageGrade,SCHEDULE_2023_SCHEDULE_2023_SpecialTeamsGrade,SCHEDULE_2023_SCHEDULE_2023_GameReports
1,@,Seattle Seahawks,09/10,4:25pm,W,30.0,13.0,74.3,82.2,90.3,84.9,76.7,73.2,56.6,54.9,47.9,52.5,68.2,54.0,51.6,Game Reports
2,,San Francisco 49ers,09/17,4:05pm,L,23.0,30.0,57.7,62.4,63.7,23.7,62.8,76.8,68.4,45.6,62.3,40.1,62.2,31.5,71.0,Game Reports
3,@,Cincinnati Bengals,09/25,8:15pm,L,16.0,19.0,70.4,64.8,66.6,26.7,69.4,72.2,56.6,68.6,67.2,47.8,80.6,55.7,73.6,Game Reports
4,@,Indianapolis Colts,10/01,1:00pm,W,29.0,23.0,76.8,77.4,74.6,59.4,72.7,69.5,72.5,67.9,68.9,57.8,76.0,58.1,64.3,Game Reports
5,,Philadelphia Eagles,10/08,4:05pm,L,14.0,23.0,59.0,63.5,68.5,47.3,60.9,75.4,56.2,53.6,65.3,42.1,48.6,52.1,60.3,Game Reports
6,,Arizona Cardinals,10/15,4:25pm,W,26.0,9.0,87.1,81.9,89.6,78.4,69.6,83.3,62.6,83.3,90.1,64.6,81.9,68.3,54.0,Game Reports
7,,Pittsburgh Steelers,10/22,4:05pm,L,17.0,24.0,61.2,67.3,57.4,52.2,68.9,71.2,65.0,54.1,49.0,39.6,64.5,53.2,72.3,Game Reports
8,@,Dallas Cowboys,10/29,1:00pm,L,20.0,43.0,58.4,61.5,58.0,55.0,60.3,68.5,59.5,57.3,67.4,54.3,55.1,52.5,49.3,Game Reports
9,@,Green Bay Packers,11/05,1:00pm,L,3.0,20.0,54.1,56.1,52.6,85.7,55.1,58.2,50.7,55.5,67.3,64.7,55.8,43.1,50.6,Game Reports
11,,Seattle Seahawks,11/19,4:25pm,W,17.0,16.0,70.2,68.0,68.1,78.7,65.3,68.1,54.9,67.5,63.8,56.7,68.6,62.5,60.9,Game Reports
12,@,Arizona Cardinals,11/26,4:05pm,W,37.0,14.0,79.6,79.7,68.0,72.4,67.3,78.1,80.5,72.8,47.0,46.7,55.3,86.1,64.4,Game Reports
13,,Cleveland Browns,12/03,4:25pm,W,36.0,19.0,70.8,71.7,72.2,61.1,69.3,75.4,62.7,66.5,61.2,84.9,69.4,64.7,55.9,Game Reports
14,@,Baltimore Ravens,12/10,1:00pm,L,31.0,37.0,64.3,72.4,66.7,61.1,75.2,74.9,60.5,49.8,48.7,76.0,60.3,46.3,58.2,Game Reports
15,,Washington Commanders,12/17,4:05pm,W,28.0,20.0,78.5,73.5,90.2,74.5,63.8,65.1,64.3,75.7,70.8,73.3,69.7,72.8,72.2,Game Reports
16,,New Orleans Saints,12/21,8:15pm,W,30.0,22.0,89.9,89.6,91.0,70.0,79.5,70.7,84.0,76.9,87.1,61.0,90.0,53.3,65.9,Game Reports
17,@,New York Giants,12/31,1:00pm,W,26.0,25.0,70.2,66.6,48.8,81.1,59.8,68.9,74.7,75.1,80.1,70.2,75.1,63.0,52.1,Game Reports
18,@,San Francisco 49ers,01/07,4:25pm,W,21.0,20.0,67.9,75.2,80.2,73.0,66.2,68.9,68.9,56.1,56.5,51.4,66.3,49.6,64.0,Game Reports
WC,@,Detroit Lions,01/14,8:00pm,L,23.0,24.0,72.4,83.1,86.1,60.4,81.6,58.6,68.2,50.2,54.3,31.2,73.0,41.1,61.0,Game Reports
,,,,,,,,,,,,,,,,,,,,,
