Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
Cobie Durant,#14,CB,7.0,41.0,2.0,6.0,8.0,6.0,19.0,0.0,90.0,-,-,-,0 (0),1.0,0.0,0.0
Aaron Donald,#99,DI,5.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,75.7,-,-,-,0 (0),0.0,0.0,0.0
Jake Hummel,#35,LB,18.0,388.0,91.0,98.0,54.0,67.0,78.0,0.0,74.6,-,-,-,0 (0),4.0,2.0,1.0
Hunter Long,#84,TE,4.0,24.0,5.0,0.0,12.0,7.0,0.0,0.0,73.2,-,-,-,0 (0),0.0,1.0,0.0
Jason Taylor II,#25,S,9.0,119.0,36.0,55.0,19.0,9.0,0.0,0.0,70.2,-,-,-,0 (0),1.0,0.0,2.0
Royce Freeman,#24,HB,15.0,177.0,54.0,49.0,16.0,58.0,0.0,0.0,69.6,-,-,-,0 (0),3.0,0.0,1.0
Nick Hampton,#31,ED,10.0,91.0,10.0,50.0,31.0,0.0,0.0,0.0,68.6,-,-,-,0 (0),0.0,0.0,0.0
Ben Skowronek,#18,WR,18.0,342.0,91.0,97.0,54.0,67.0,33.0,0.0,66.2,-,-,-,4 (0),12.0,1.0,1.0
Tre Tomlinson,#06,CB,16.0,332.0,75.0,77.0,57.0,57.0,66.0,0.0,66.1,-,-,-,3 (0),8.0,0.0,5.0
Brycen Hopkins,#88,TE,7.0,27.0,6.0,0.0,21.0,0.0,0.0,0.0,65.2,-,-,-,0 (0),0.0,0.0,0.0
Olakunle Fatukasi,#54,LB,2.0,25.0,9.0,10.0,2.0,4.0,0.0,0.0,65.0,-,-,-,0 (0),0.0,1.0,0.0
Alex Ward,#47,LS,13.0,115.0,0.0,0.0,0.0,53.0,0.0,62.0,64.8,-,-,-,0 (0),0.0,1.0,2.0
Kevin Dotson,#69,G,15.0,67.0,0.0,0.0,0.0,0.0,0.0,67.0,64.5,-,-,-,0 (0),0.0,0.0,0.0
Ethan Evans,#42,P,18.0,240.0,0.0,88.0,0.0,67.0,0.0,85.0,63.7,88.5,72.6,-,1 (0),0.0,0.0,1.0
Steve Avila,#73,G,18.0,85.0,0.0,0.0,0.0,0.0,0.0,85.0,63.3,-,-,-,0 (0),0.0,0.0,0.0
