"season","game_type","team","week","gsis_id","position","full_name","first_name","last_name","report_primary_injury","report_secondary_injury","report_status","practice_primary_injury","practice_secondary_injury","practice_status","date_modified"
2023,"REG","MIA",1,"00-0039040","RB","Devon Achane","Devon","Achane",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2023-09-08 19:44:37
2023,"REG","MIA",1,"00-0036020","RB","Salvon Ahmed","Salvon","Ahmed",NA,NA,NA,"Back",NA,"Full Participation in Practice",2023-09-08 19:44:37
2023,"REG","MIA",1,"00-0036213","DT","Raekwon Davis","Raekwon","Davis",NA,NA,NA,"Elbow",NA,"Full Participation in Practice",2023-09-08 19:44:37
2023,"REG","MIA",1,"00-0037010","T","Liam Eichenberg","Liam","Eichenberg",NA,NA,NA,"Ribs",NA,"Full Participation in Practice",2023-09-08 19:44:37
2023,"REG","MIA",1,"00-0036221","S","Brandon Jones","Brandon","Jones",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-08 19:44:37
2023,"REG","MIA",1,"00-0036613","WR","Jaylen Waddle","Jaylen","Waddle",NA,NA,NA,"Oblique",NA,"Full Participation in Practice",2023-09-08 19:44:37
2023,"REG","MIA",1,"00-0034352","C","Connor Williams","Connor","Williams",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-08 19:44:37
2023,"REG","MIA",1,"00-0030067","T","Terron Armstead","Terron","Armstead","Back","ankle, knee","Out","Back","Ankle / Knee","Did Not Participate In Practice",2023-09-08 19:45:33
2023,"REG","MIA",1,"00-0034248","S","Elijah Campbell","Elijah","Campbell","Knee",NA,"Out","Knee",NA,"Did Not Participate In Practice",2023-09-08 19:46:05
2023,"REG","MIA",1,"00-0029530","CB","Justin Bethel","Justin","Bethel","Knee",NA,"Questionable","Knee",NA,"Limited Participation in Practice",2023-09-08 19:46:23
2023,"REG","MIA",1,"00-0038720","TE","Julian Hill","Julian","Hill","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-09-08 19:46:46
2023,"REG","MIA",2,"00-0039040","RB","Devon Achane","Devon","Achane",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2023-09-15 19:57:20
2023,"REG","MIA",2,"00-0033050","CB","Xavien Howard","Xavien","Howard",NA,NA,NA,"Thumb",NA,"Full Participation in Practice",2023-09-15 19:57:20
2023,"REG","MIA",2,"00-0036221","S","Brandon Jones","Brandon","Jones",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-15 19:57:20
2023,"REG","MIA",2,"00-0031687","RB","Raheem Mostert","Raheem","Mostert",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-15 19:57:20
2023,"REG","MIA",2,"00-0036613","WR","Jaylen Waddle","Jaylen","Waddle",NA,NA,NA,"Oblique",NA,"Full Participation in Practice",2023-09-15 19:57:20
2023,"REG","MIA",2,"00-0034352","C","Connor Williams","Connor","Williams",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-15 19:57:20
2023,"REG","MIA",2,"00-0036935","CB","Kelvin Joseph","Kelvin","Joseph","Not injury related - personal matter",NA,"Out",NA,NA,"
    ",2023-09-16 17:47:33
2023,"REG","MIA",2,"00-0030067","T","Terron Armstead","Terron","Armstead","back, ankle, knee",NA,"Questionable","back, ankle, knee",NA,"Limited Participation in Practice",2023-09-15 19:59:26
2023,"REG","MIA",2,"00-0034248","S","Elijah Campbell","Elijah","Campbell","Knee",NA,"Questionable","Knee",NA,"Limited Participation in Practice",2023-09-15 19:58:27
2023,"REG","MIA",2,"00-0038720","TE","Julian Hill","Julian","Hill","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-09-15 19:59:05
2023,"REG","MIA",2,"00-0036934","LB","Jaelan Phillips","Jaelan","Phillips","Back",NA,"Questionable","Back",NA,"Limited Participation in Practice",2023-09-15 19:58:48
2023,"REG","MIA",3,"00-0033050","CB","Xavien Howard","Xavien","Howard",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-09-20 21:36:29
2023,"REG","MIA",3,"00-0033040","WR","Tyreek Hill","Tyreek","Hill",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-22 19:50:47
2023,"REG","MIA",3,"00-0035272","LB","Andrew Van Ginkel","Andrew","Van Ginkel",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-22 19:50:47
2023,"REG","MIA",3,"00-0036020","RB","Salvon Ahmed","Salvon","Ahmed","Groin",NA,"Doubtful","Groin",NA,"Limited Participation in Practice",2023-09-22 19:52:55
2023,"REG","MIA",3,"00-0034248","S","Elijah Campbell","Elijah","Campbell","Knee",NA,"Questionable","Knee",NA,"Full Participation in Practice",2023-09-22 19:54:25
2023,"REG","MIA",3,"00-0036213","DT","Raekwon Davis","Raekwon","Davis","Wrist",NA,"Questionable","Wrist",NA,"Full Participation in Practice",2023-09-22 19:54:42
2023,"REG","MIA",3,"00-0038720","TE","Julian Hill","Julian","Hill","Ankle",NA,"Questionable","Ankle",NA,"Full Participation in Practice",2023-09-22 19:54:54
2023,"REG","MIA",3,"00-0036934","LB","Jaelan Phillips","Jaelan","Phillips","Back",NA,"Questionable","Back",NA,"Full Participation in Practice",2023-09-22 19:55:17
2023,"REG","MIA",3,"00-0030067","T","Terron Armstead","Terron","Armstead","back, ankle, knee",NA,"Questionable","back, ankle, knee",NA,"Limited Participation in Practice",2023-09-22 19:55:38
2023,"REG","MIA",3,"00-0032214","TE","Tyler Kroft","Tyler","Kroft","Back",NA,"Questionable","Back",NA,"Limited Participation in Practice",2023-09-22 19:53:09
2023,"REG","MIA",3,"00-0036613","WR","Jaylen Waddle","Jaylen","Waddle","Concussion",NA,"Questionable","Concussion",NA,"Limited Participation in Practice",2023-09-22 19:54:04
2023,"REG","MIA",4,"00-0034054","WR","River Cracraft","River","Cracraft",NA,NA,NA,"Shoulder",NA,"Did Not Participate In Practice",2023-09-28 19:33:37
2023,"REG","MIA",4,"00-0038092","WR","Erik Ezukanma","Erik","Ezukanma",NA,NA,NA,"Neck",NA,"Did Not Participate In Practice",2023-09-28 19:33:37
2023,"REG","MIA",4,"00-0032379","CB","Eli Apple","Eli","Apple",NA,NA,NA,"Neck",NA,"Full Participation in Practice",2023-09-29 19:55:37
2023,"REG","MIA",4,"00-0038720","TE","Julian Hill","Julian","Hill",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-29 19:55:37
2023,"REG","MIA",4,"00-0032214","TE","Tyler Kroft","Tyler","Kroft",NA,NA,NA,"Back",NA,"Full Participation in Practice",2023-09-29 19:55:59
2023,"REG","MIA",4,"00-0034798","TE","Durham Smythe","Durham","Smythe",NA,NA,NA,"Hamstring",NA,"Full Participation in Practice",2023-09-29 19:55:37
2023,"REG","MIA",4,"00-0036613","WR","Jaylen Waddle","Jaylen","Waddle",NA,NA,NA,"Concussion",NA,"Full Participation in Practice",2023-09-27 20:12:08
2023,"REG","MIA",4,"00-0036934","LB","Jaelan Phillips","Jaelan","Phillips","Oblique",NA,"Out","Oblique",NA,"Did Not Participate In Practice",2023-09-29 19:56:15
2023,"REG","MIA",4,"00-0036020","RB","Salvon Ahmed","Salvon","Ahmed","Groin",NA,"Questionable","Groin",NA,"Limited Participation in Practice",2023-09-29 19:56:41
2023,"REG","MIA",4,"00-0030067","T","Terron Armstead","Terron","Armstead","back, ankle, knee",NA,"Questionable","back, ankle, knee",NA,"Limited Participation in Practice",2023-09-29 19:56:32
2023,"REG","MIA",4,"00-0034277","S","DeShon Elliott","DeShon","Elliott","Ankle","Groin","Questionable","Ankle","Groin","Limited Participation in Practice",2023-09-29 19:57:35
2023,"REG","MIA",4,"00-0034352","C","Connor Williams","Connor","Williams","Groin",NA,"Questionable","Groin",NA,"Limited Participation in Practice",2023-09-29 19:57:21
2023,"REG","MIA",5,"00-0030067","T","Terron Armstead","Terron","Armstead",NA,NA,NA,"back, ankle, knee",NA,"Did Not Participate In Practice",2023-10-05 19:38:42
2023,"REG","MIA",5,"00-0029530","CB","Justin Bethel","Justin","Bethel",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-10-04 20:10:17
2023,"REG","MIA",5,"00-0031687","RB","Raheem Mostert","Raheem","Mostert",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-10-04 20:10:34
2023,"REG","MIA",5,"00-0036020","RB","Salvon Ahmed","Salvon","Ahmed",NA,NA,NA,"Groin",NA,"Full Participation in Practice",2023-10-04 20:12:51
2023,"REG","MIA",5,"00-0034419","WR","Braxton Berrios","Braxton","Berrios",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-10-06 19:52:39
2023,"REG","MIA",5,"00-0034277","S","DeShon Elliott","DeShon","Elliott",NA,NA,NA,"Groin",NA,"Full Participation in Practice",2023-10-06 19:52:39
2023,"REG","MIA",5,"00-0036325","G","Robert Hunt","Robert","Hunt",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-10-04 20:13:03
2023,"REG","MIA",5,"00-0036596","G","Robert Jones","Robert","Jones","Knee",NA,"Out","Knee",NA,"Limited Participation in Practice",2023-10-06 19:53:05
2023,"REG","MIA",5,"00-0035346","CB","Nik Needham","Nik","Needham","Achilles",NA,"Out","Achilles",NA,"Limited Participation in Practice",2023-10-06 19:53:18
2023,"REG","MIA",5,"00-0035117","G","Lester Cotton","Lester","Cotton","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-10-06 19:53:37
2023,"REG","MIA",5,"00-0036934","LB","Jaelan Phillips","Jaelan","Phillips","Oblique",NA,"Questionable","Oblique",NA,"Limited Participation in Practice",2023-10-06 19:53:53
2023,"REG","MIA",5,"00-0034352","C","Connor Williams","Connor","Williams","Groin",NA,"Questionable","Groin",NA,"Limited Participation in Practice",2023-10-06 19:54:21
2023,"REG","MIA",6,"00-0033050","CB","Xavien Howard","Xavien","Howard",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-10-11 20:26:38
2023,"REG","MIA",6,"00-0034419","WR","Braxton Berrios","Braxton","Berrios",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-10-13 19:36:39
2023,"REG","MIA",6,"00-0036325","G","Robert Hunt","Robert","Hunt",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-10-13 19:37:10
2023,"REG","MIA",6,"00-0033040","WR","Tyreek Hill","Tyreek","Hill",NA,NA,NA,"Not injury related - resting player",NA,"Limited Participation in Practice",2023-10-11 20:27:24
2023,"REG","MIA",6,"00-0031687","RB","Raheem Mostert","Raheem","Mostert",NA,NA,NA,"Not injury related - resting player",NA,"Limited Participation in Practice",2023-10-11 20:27:46
2023,"REG","MIA",6,"00-0034352","C","Connor Williams","Connor","Williams","Groin",NA,"Out","Groin",NA,"Did Not Participate In Practice",2023-10-13 19:37:38
2023,"REG","MIA",6,"00-0035346","CB","Nik Needham","Nik","Needham","Achilles",NA,"Doubtful","Achilles",NA,"Limited Participation in Practice",2023-10-13 19:37:50
