Player,JerseyNumber,Position,GamesPlayed,PassBlockingTotalSnaps,PassBlockingTotalSnaps.1,PassBlockingTotalSnapsPercentage,PassBlockingGrade,PassBlockingPenalties,PassBlockingPressuresAllowedTotalSnaps,PassBlockingPressuresAllowedTotalSnapsPercentage,PassBlockingPressuresAllowedSacks,PassBlockingPressuresAllowedHits,PassBlockingPressuresAllowedHurries,PassBlockingPressuresAllowedTotal,PassBlockingPressuresAllowedEfficiency,TruePassSetSnaps,TruePassSetSnaps.1,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetPressuresAllowedTotalSnaps,TruePassSetPressuresAllowedTotalSnapsPercentage,TruePassSetPressuresAllowedSacks,TruePassSetPressuresAllowedHits,TruePassSetPressuresAllowedHurries,TruePassSetPressuresAllowedTotal,TruePassSetPressuresAllowedEfficiency
Kion Smith,#71,T,4.0,22.0,22.0,100.0,86.1,0 (0),21.0,100.0,0.0,0.0,0.0,0.0,100.0,5.0,5.0,100.0,81.6,5.0,100.0,0.0,0.0,0.0,0.0,100.0
Terron Armstead,#72,T,11.0,364.0,364.0,100.0,79.5,0 (0),348.0,100.0,1.0,0.0,6.0,7.0,98.9,100.0,100.0,100.0,68.0,97.0,100.0,1.0,0.0,4.0,5.0,96.9
Alec Ingold,#30,FB,18.0,184.0,30.0,16.3,77.2,1 (0),29.0,16.5,0.0,0.0,1.0,1.0,98.3,22.0,2.0,9.1,48.9,2.0,9.1,0.0,0.0,1.0,1.0,75.0
Robert Hunt,#68,G,11.0,376.0,376.0,100.0,74.4,2 (1),360.0,100.0,1.0,1.0,3.0,5.0,99.2,107.0,107.0,100.0,73.3,104.0,100.0,0.0,0.0,2.0,2.0,99.0
Connor Williams,#58,C,9.0,280.0,280.0,100.0,71.7,1 (0),269.0,100.0,1.0,1.0,4.0,6.0,98.7,72.0,72.0,100.0,66.3,69.0,100.0,0.0,1.0,3.0,4.0,97.1
Braxton Berrios,#00,WR,17.0,349.0,2.0,0.6,69.3,1 (1),2.0,0.6,0.0,0.0,0.0,0.0,100.0,128.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Isaiah Wynn,#77,G,7.0,224.0,224.0,100.0,67.5,0 (0),213.0,100.0,0.0,0.0,4.0,4.0,99.1,60.0,60.0,100.0,50.4,58.0,100.0,0.0,0.0,3.0,3.0,97.4
Jonotthan Harrison,#60,G,1.0,1.0,1.0,100.0,67.2,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
Kendall Lamm,#70,T,11.0,357.0,357.0,100.0,67.1,0 (0),343.0,100.0,4.0,1.0,15.0,20.0,96.5,103.0,103.0,100.0,60.7,101.0,100.0,2.0,1.0,9.0,12.0,93.1
Raheem Mostert,#31,HB,16.0,322.0,34.0,10.6,66.0,0 (0),30.0,9.9,0.0,1.0,2.0,3.0,95.0,72.0,8.0,11.1,58.0,7.0,10.0,0.0,0.0,1.0,1.0,92.9
De'Von Achane,#28,HB,12.0,196.0,1.0,0.5,65.7,0 (0),1.0,0.5,0.0,0.0,0.0,0.0,100.0,55.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Chase Claypool,#83,WR,8.0,29.0,1.0,3.4,65.6,0 (0),1.0,3.6,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Austin Jackson,#73,T,17.0,639.0,639.0,100.0,62.3,3 (2),610.0,100.0,5.0,4.0,17.0,26.0,97.5,176.0,176.0,100.0,50.2,171.0,100.0,4.0,1.0,10.0,15.0,94.4
Durham Smythe,#81,TE,17.0,535.0,86.0,16.1,61.2,0 (0),82.0,16.0,1.0,1.0,4.0,6.0,95.7,155.0,16.0,10.3,78.1,16.0,10.5,0.0,0.0,0.0,0.0,100.0
Lester Cotton,#66,G,11.0,362.0,362.0,100.0,57.2,2 (1),347.0,100.0,3.0,3.0,14.0,20.0,96.7,100.0,100.0,100.0,38.4,98.0,100.0,3.0,2.0,10.0,15.0,90.8
Tyler Kroft,#82,TE,2.0,17.0,3.0,17.6,54.8,1 (0),3.0,17.6,0.0,0.0,0.0,0.0,100.0,3.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Robert Jones,#65,G,8.0,304.0,304.0,100.0,49.3,2 (0),290.0,100.0,2.0,1.0,11.0,14.0,97.2,85.0,85.0,100.0,31.0,84.0,100.0,1.0,1.0,7.0,9.0,94.0
Liam Eichenberg,#74,C,17.0,526.0,526.0,100.0,43.2,3 (2),503.0,100.0,5.0,3.0,16.0,24.0,97.1,152.0,152.0,100.0,26.9,148.0,100.0,3.0,3.0,11.0,17.0,93.2
Julian Hill,#89,TE,16.0,158.0,34.0,21.5,41.2,1 (0),34.0,23.0,1.0,0.0,1.0,2.0,95.6,30.0,4.0,13.3,58.2,4.0,13.8,0.0,0.0,0.0,0.0,100.0
Salvon Ahmed,#26,HB,8.0,99.0,4.0,4.0,36.4,0 (0),4.0,4.2,0.0,0.0,0.0,0.0,100.0,30.0,1.0,3.3,75.0,1.0,3.6,0.0,0.0,0.0,0.0,100.0
Jeff Wilson Jr.,#23,HB,10.0,108.0,10.0,9.3,27.1,0 (0),9.0,8.6,0.0,0.0,1.0,1.0,94.4,36.0,2.0,5.6,72.5,2.0,5.6,0.0,0.0,0.0,0.0,100.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
