RECEIVING_2023_RECEIVING_2023_Rank,RECEIVING_2023_RECEIVING_2023_Player,RECEIVING_2023_RECEIVING_2023_JerseyNumber,RECEIVING_2023_RECEIVING_2023_Position,RECEIVING_2023_RECEIVING_2023_GamesPlayed,RECEIVING_2023_RECEIVING_2023_ReceivingTargets,RECEIVING_2023_RECEIVING_2023_ReceivingReceptions,RECEIVING_2023_RECEIVING_2023_ReceivingReceptionPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingYards,RECEIVING_2023_RECEIVING_2023_ReceivingYardsPerReception,RECEIVING_2023_RECEIVING_2023_ReceivingTouchdowns,RECEIVING_2023_RECEIVING_2023_ReceivingOverallGrade,RECEIVING_2023_RECEIVING_2023_ReceivingGrade,RECEIVING_2023_RECEIVING_2023_ReceivingDrops,RECEIVING_2023_RECEIVING_2023_ReceivingFumbles,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingGrade,RECEIVING_2023_RECEIVING_2023_ReceivingPassSnaps,RECEIVING_2023_RECEIVING_2023_ReceivingRoutesRun,RECEIVING_2023_RECEIVING_2023_ReceivingTargetPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingSnaps,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingSnapsPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInTheSlot,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInTheSlotPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsWide,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsWidePercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInline,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInlinePercentage,RECEIVING_2023_RECEIVING_2023_ReceivingYardsAfterCatch,RECEIVING_2023_RECEIVING_2023_ReceivingYardsAfterCatchPerReception,RECEIVING_2023_RECEIVING_2023_ReceivingYardsPerRouteRun,RECEIVING_2023_RECEIVING_2023_ReceivingAverageDepthOfTarget,RECEIVING_2023_RECEIVING_2023_ReceivingLongestReception,RECEIVING_2023_RECEIVING_2023_ReceivingDrops.1,RECEIVING_2023_RECEIVING_2023_ReceivingDropPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingContestedTargets,RECEIVING_2023_RECEIVING_2023_ReceivingContestedCatches,RECEIVING_2023_RECEIVING_2023_ReceivingContestedCatchPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingInterceptionsThrownWhenTargeted,RECEIVING_2023_RECEIVING_2023_ReceivingFumbles.1,RECEIVING_2023_RECEIVING_2023_ReceivingMissedTacklesForced,RECEIVING_2023_RECEIVING_2023_ReceivingFirstDowns,RECEIVING_2023_RECEIVING_2023_ReceivingPasserRatingWhenTargeted,RECEIVING_2023_RECEIVING_2023_ReceivingPenalties
1.0,Tyreek Hill,#10,WR,17.0,175.0,124.0,70.9,"1,861",15.0,14.0,93.4,93.8,63.6,64.4,-,521.0,500.0,96.0,0.0,0.0,195.0,37.4,315.0,60.5,5.0,1.0,689.0,5.6,3.72,11.3,78.0,10.0,7.5,23.0,7.0,30.4,5.0,1.0,28.0,84.0,120.2,3 (0)
2.0,Jaylen Waddle,#17,WR,15.0,109.0,74.0,67.9,"1,045",14.1,4.0,90.3,90.6,60.6,82.2,-,430.0,415.0,96.5,0.0,0.0,106.0,24.7,318.0,74.0,1.0,0.2,423.0,5.7,2.52,10.7,60.0,7.0,8.6,14.0,6.0,42.9,4.0,0.0,10.0,49.0,95.5,0 (0)
3.0,De'Von Achane,#28,HB,12.0,43.0,31.0,72.1,214,6.9,3.0,92.1,77.7,88.0,71.0,65.7,196.0,187.0,95.4,1.0,0.5,68.0,34.7,22.0,11.2,0.0,0.0,293.0,9.5,1.14,0.4,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,11.0,106.2,0 (0)
4.0,River Cracraft,#85,WR,11.0,15.0,11.0,73.3,154,14.0,1.0,66.7,68.1,60.2,71.5,-,96.0,93.0,96.9,0.0,0.0,25.0,26.0,70.0,72.9,0.0,0.0,66.0,6.0,1.66,9.5,24.0,1.0,8.3,1.0,0.0,0.0,0.0,0.0,0.0,10.0,128.2,0 (0)
5.0,Robbie Chosen,#03,WR,8.0,6.0,4.0,66.7,126,31.5,1.0,64.5,67.8,72.1,67.0,-,69.0,65.0,94.2,0.0,0.0,15.0,21.7,54.0,78.3,0.0,0.0,30.0,7.5,1.94,23.3,68.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,3.0,109.7,1 (0)
6.0,Cedrick Wilson Jr.,#11,WR,16.0,45.0,25.0,55.6,333,13.3,3.0,65.3,66.3,85.7,78.6,-,320.0,303.0,94.7,0.0,0.0,123.0,38.4,193.0,60.3,2.0,0.6,65.0,2.6,1.1,11.7,31.0,0.0,0.0,10.0,5.0,50.0,1.0,0.0,1.0,16.0,92.2,3 (0)
7.0,Chase Claypool,#83,WR,8.0,7.0,4.0,57.1,26,6.5,0.0,60.9,63.3,72.1,67.0,65.6,29.0,27.0,93.1,1.0,3.4,13.0,44.8,16.0,55.2,0.0,0.0,21.0,5.3,0.96,10.1,15.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,25.6,1 (0)
8.0,Salvon Ahmed,#26,HB,8.0,21.0,16.0,76.2,88,5.5,1.0,61.0,58.8,66.7,79.7,36.4,99.0,92.0,92.9,4.0,4.0,30.0,30.3,6.0,6.1,0.0,0.0,107.0,6.7,0.96,0.9,20.0,0.0,0.0,3.0,1.0,33.3,1.0,0.0,2.0,4.0,79.1,0 (0)
9.0,Braxton Berrios,#00,WR,17.0,34.0,27.0,79.4,238,8.8,1.0,57.6,57.4,75.5,90.1,69.3,349.0,335.0,96.0,2.0,0.6,208.0,59.6,140.0,40.1,0.0,0.0,86.0,3.2,0.71,7.0,22.0,1.0,3.6,4.0,2.0,50.0,2.0,0.0,1.0,15.0,81.1,2 (1)
10.0,Erik Ezukanma,#18,WR,2.0,1.0,0.0,0.0,0,,0.0,60.3,55.5,-,68.6,-,14.0,13.0,92.9,0.0,0.0,5.0,35.7,7.0,50.0,0.0,0.0,0.0,,0.0,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,39.6,0 (0)
11.0,Durham Smythe,#81,TE,17.0,45.0,38.0,84.4,378,9.9,0.0,53.7,53.4,90.1,29.5,61.2,535.0,433.0,80.9,86.0,16.1,260.0,48.6,90.0,16.8,175.0,32.7,139.0,3.7,0.87,6.3,22.0,0.0,0.0,6.0,2.0,33.3,0.0,0.0,0.0,22.0,101.7,1 (0)
12.0,Alec Ingold,#30,FB,18.0,15.0,13.0,86.7,119,9.2,0.0,47.1,52.0,63.5,74.0,77.2,184.0,148.0,80.4,30.0,16.3,45.0,24.5,34.0,18.5,49.0,26.6,99.0,7.6,0.8,1.7,23.0,1.0,7.1,0.0,0.0,,0.0,0.0,0.0,5.0,99.7,1 (0)
13.0,Jeff Wilson Jr.,#23,HB,10.0,19.0,15.0,78.9,91,6.1,0.0,59.5,50.0,65.6,82.6,27.1,108.0,96.0,88.9,10.0,9.3,21.0,19.4,5.0,4.6,0.0,0.0,85.0,5.7,0.95,2.3,12.0,1.0,6.3,2.0,1.0,50.0,0.0,0.0,0.0,3.0,86.6,0 (0)
14.0,Raheem Mostert,#31,HB,16.0,31.0,26.0,83.9,172,6.6,3.0,84.7,48.7,65.4,45.6,66.0,322.0,276.0,85.7,34.0,10.6,56.0,17.4,32.0,9.9,2.0,0.6,220.0,8.5,0.62,-0.7,22.0,2.0,7.1,3.0,2.0,66.7,1.0,2.0,12.0,6.0,108.6,1 (0)
15.0,Julian Hill,#89,TE,16.0,8.0,6.0,75.0,48,8.0,0.0,41.8,46.2,74.6,16.9,41.2,158.0,114.0,72.2,34.0,21.5,57.0,36.1,17.0,10.8,79.0,50.0,33.0,5.5,0.42,3.5,18.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,89.6,4 (0)
