Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
Quinton Bell,#56,ED,1.0,12.0,4.0,6.0,2.0,0.0,0.0,0.0,86.6,-,-,-,0 (0),0.0,0.0,0.0
Chase Claypool,#83,WR,10.0,111.0,47.0,50.0,14.0,0.0,0.0,0.0,76.8,-,-,-,0 (0),2.0,3.0,0.0
Tanner Conner,#80,TE,3.0,35.0,12.0,19.0,4.0,0.0,0.0,0.0,72.5,-,-,-,0 (0),0.0,0.0,0.0
Darrynton Evans,#37,HB,2.0,21.0,3.0,13.0,5.0,0.0,0.0,0.0,71.3,-,-,-,0 (0),0.0,0.0,0.0
Emmanuel Ogbah,#91,ED,16.0,110.0,0.0,0.0,49.0,0.0,61.0,0.0,71.0,-,-,-,0 (0),0.0,0.0,0.0
Brandon Jones,#29,S,17.0,223.0,25.0,89.0,39.0,0.0,70.0,0.0,70.4,-,-,-,1 (0),1.0,1.0,0.0
Cameron Goode,#53,ED,17.0,309.0,73.0,98.0,51.0,43.0,44.0,0.0,69.6,-,-,-,1 (0),4.0,0.0,1.0
Nik Needham,#40,CB,8.0,35.0,3.0,2.0,28.0,0.0,2.0,0.0,68.9,-,-,-,0 (0),0.0,0.0,0.0
Chase Winovich,#50,ED,3.0,46.0,18.0,14.0,5.0,8.0,1.0,0.0,67.5,-,-,-,0 (0),1.0,1.0,0.0
Durham Smythe,#81,TE,14.0,129.0,42.0,0.0,0.0,21.0,0.0,66.0,67.3,-,-,-,0 (0),1.0,0.0,0.0
Tyler Kroft,#82,TE,6.0,31.0,12.0,0.0,0.0,0.0,0.0,19.0,66.8,-,-,-,0 (0),0.0,0.0,0.0
Duke Riley,#45,LB,18.0,335.0,89.0,71.0,61.0,57.0,57.0,0.0,65.1,67.4,-,-,1 (1),2.0,1.0,0.0
Zach Sieler,#92,DI,18.0,199.0,0.0,0.0,38.0,0.0,73.0,88.0,64.2,-,-,-,0 (0),0.0,0.0,0.0
Elijah Campbell,#22,S,16.0,322.0,74.0,81.0,58.0,49.0,60.0,0.0,64.2,-,-,-,3 (0),6.0,0.0,2.0
David Long Jr.,#51,LB,18.0,73.0,0.0,0.0,0.0,57.0,16.0,0.0,64.2,-,-,-,0 (0),2.0,1.0,1.0
Kendall Lamm,#70,T,18.0,87.0,0.0,0.0,0.0,0.0,0.0,87.0,64.0,-,-,-,0 (0),0.0,0.0,0.0
Ethan Bonner,#38,CB,3.0,43.0,7.0,15.0,11.0,0.0,10.0,0.0,63.9,-,-,-,0 (0),0.0,0.0,0.0
Channing Tindall,#41,LB,18.0,257.0,86.0,80.0,32.0,55.0,4.0,0.0,63.9,-,-,-,1 (0),2.0,3.0,2.0
Malik Reed,#47,ED,1.0,18.0,7.0,2.0,3.0,0.0,6.0,0.0,63.8,-,-,-,0 (0),1.0,0.0,0.0
Calvin Munson,#50,LB,6.0,76.0,30.0,29.0,9.0,8.0,0.0,0.0,63.8,-,-,-,0 (0),0.0,0.0,0.0
Jake Bailey,#16,P,18.0,155.0,0.0,10.0,0.0,57.0,0.0,88.0,63.7,66.5,69.6,-,0 (0),0.0,0.0,0.0
Jaelan Phillips,#15,ED,6.0,16.0,0.0,0.0,8.0,0.0,8.0,0.0,63.4,-,-,-,0 (0),0.0,0.0,0.0
Bradley Chubb,#02,ED,6.0,17.0,0.0,0.0,6.0,0.0,11.0,0.0,63.1,-,-,-,0 (0),0.0,0.0,0.0
River Cracraft,#85,WR,4.0,8.0,2.0,2.0,4.0,0.0,0.0,0.0,63.1,60.0,-,-,0 (0),0.0,0.0,0.0
Liam Eichenberg,#74,C,15.0,66.0,0.0,0.0,0.0,0.0,0.0,66.0,63.1,-,-,-,0 (0),0.0,0.0,0.0
Justin Bethel,#20,CB,18.0,331.0,45.0,100.0,63.0,57.0,66.0,0.0,63.1,-,-,-,2 (0),6.0,1.0,0.0
Robert Jones,#65,G,9.0,34.0,0.0,0.0,0.0,0.0,0.0,34.0,62.3,-,-,-,0 (0),0.0,0.0,0.0
Chris Brooks,#35,HB,10.0,118.0,58.0,43.0,13.0,4.0,0.0,0.0,62.3,-,-,-,0 (0),0.0,0.0,0.0
Kelvin Joseph,#09,CB,4.0,87.0,21.0,28.0,15.0,5.0,18.0,0.0,62.3,-,-,-,0 (0),0.0,0.0,0.0
Isaiah Wynn,#77,G,6.0,36.0,0.0,0.0,0.0,0.0,0.0,36.0,62.3,-,-,-,0 (0),0.0,0.0,0.0
Kion Smith,#71,T,9.0,45.0,0.0,0.0,0.0,0.0,0.0,45.0,61.7,-,-,-,0 (0),0.0,0.0,0.0
Robert Hunt,#68,G,11.0,44.0,0.0,0.0,0.0,0.0,0.0,44.0,61.7,-,-,-,0 (0),0.0,0.0,0.0
Raekwon Davis,#98,DI,17.0,92.0,0.0,0.0,20.0,0.0,72.0,0.0,61.5,-,-,-,0 (0),0.0,0.0,0.0
DeShon Elliott,#21,S,3.0,22.0,9.0,0.0,0.0,0.0,13.0,0.0,61.5,-,-,-,0 (0),0.0,0.0,0.0
