DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_Rank,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_Player,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_JerseyNumber,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_Position,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_GamesPlayed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_PassRushSnaps,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnaps,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnapsPercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageGrade,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoveragePenalties,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageTargets,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageReceptionsAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageReceptionPercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageYardsAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageYardsPerReceptionAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageYardsAfterCatchAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageAverageDepthOfTarget,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageLongestReceptionAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageForcedIncompletions,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageForcedIncompletionPercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoveragePassBreakups,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageInterceptions,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageDrops,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageTouchdownsAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoveragePasserRatingAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnapsPerTarget,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnapsPerReceptionAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageTackles,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageAssists,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageMissedTackles,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageMissedTacklePercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageStops
1.0,Anthony Barr,#54,LB,4.0,38.0,18.0,47.4,82.5,0 (0),1.0,1.0,100.0,5.0,5.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,18.0,18.0,1.0,0.0,0.0,0.0,1.0
2.0,Ivan Pace Jr.,#40,LB,17.0,428.0,319.0,74.5,77.7,1 (1),37.0,32.0,86.5,182.0,5.7,153.0,2.2,13.0,1.0,3.0,1.0,1.0,0.0,0.0,75.9,8.4,9.7,36.0,8.0,4.0,8.3,14.0
3.0,Danielle Hunter,#99,ED,17.0,628.0,14.0,2.2,75.0,1 (0),2.0,2.0,100.0,32.0,16.0,15.0,8.5,22.0,0.0,0.0,0.0,0.0,0.0,0.0,118.8,7.0,7.0,10.0,1.0,2.0,15.4,23.0
4.0,Jay Ward,#20,S,5.0,24.0,22.0,91.7,74.7,1 (1),2.0,2.0,100.0,26.0,13.0,22.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,158.3,10.5,10.5,2.0,0.0,0.0,0.0,1.0
5.0,Brian Asamoah II,#33,LB,5.0,11.0,8.0,72.7,72.5,0 (0),3.0,2.0,66.7,3.0,1.5,7.0,3.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,70.1,2.7,4.0,1.0,1.0,0.0,0.0,1.0
6.0,Mekhi Blackmon,#05,CB,15.0,330.0,329.0,99.7,71.8,0 (0),44.0,28.0,63.6,285.0,10.2,93.0,11.8,33.0,9.0,21.0,8.0,1.0,1.0,2.0,87.8,7.2,11.4,34.0,4.0,0.0,0.0,10.0
7.0,Jordan Hicks,#58,LB,13.0,489.0,366.0,74.8,70.2,1 (0),41.0,34.0,82.9,402.0,11.8,186.0,6.2,39.0,2.0,5.0,2.0,1.0,0.0,2.0,113.6,8.6,10.4,31.0,20.0,3.0,5.6,11.0
8.0,Camryn Bynum,#24,S,17.0,700.0,691.0,98.7,69.7,0 (0),78.0,63.0,80.8,554.0,8.8,279.0,6.8,33.0,9.0,12.0,6.0,2.0,3.0,2.0,94.1,8.6,10.6,71.0,11.0,10.0,10.9,17.0
9.0,Harrison Smith,#22,S,17.0,692.0,593.0,85.7,69.5,1 (0),49.0,32.0,65.3,262.0,8.2,173.0,7.2,36.0,2.0,4.0,1.0,0.0,0.0,0.0,78.8,11.7,17.9,40.0,9.0,3.0,5.8,19.0
10.0,Theo Jackson,#25,S,15.0,105.0,100.0,95.2,69.2,0 (0),14.0,12.0,85.7,145.0,12.1,81.0,6.1,54.0,0.0,0.0,0.0,1.0,0.0,0.0,80.1,7.0,8.2,11.0,3.0,3.0,17.6,5.0
