DEFENSE_2023_DEFENSE_2023_Rank,DEFENSE_2023_DEFENSE_2023_Player,DEFENSE_2023_DEFENSE_2023_JerseyNumber,DEFENSE_2023_DEFENSE_2023_Position,DEFENSE_2023_DEFENSE_2023_GamesPlayed,DEFENSE_2023_DEFENSE_2023_DefenseTotalSnaps,DEFENSE_2023_DEFENSE_2023_DefenseRunDefenseSnaps,DEFENSE_2023_DEFENSE_2023_DefensePassRushSnaps,DEFENSE_2023_DEFENSE_2023_DefenseCoverageSnaps,DEFENSE_2023_DEFENSE_2023_DefenseOverallGrade,DEFENSE_2023_DEFENSE_2023_DefenseRunDefenseGrade,DEFENSE_2023_DEFENSE_2023_DefenseTacklingGrade,DEFENSE_2023_DEFENSE_2023_DefensePassRushGrade,DEFENSE_2023_DEFENSE_2023_DefenseCoverageGrade,DEFENSE_2023_DEFENSE_2023_DefenseTotalPressures,DEFENSE_2023_DEFENSE_2023_DefenseSacks,DEFENSE_2023_DEFENSE_2023_DefenseHits,DEFENSE_2023_DEFENSE_2023_DefenseHurries,DEFENSE_2023_DEFENSE_2023_DefenseBattedPasses,DEFENSE_2023_DEFENSE_2023_DefenseTackles,DEFENSE_2023_DEFENSE_2023_DefenseAssists,DEFENSE_2023_DEFENSE_2023_DefenseMissedTackles,DEFENSE_2023_DEFENSE_2023_DefenseMissedTacklePercentage,DEFENSE_2023_DEFENSE_2023_DefenseStops,DEFENSE_2023_DEFENSE_2023_DefenseForcedFumbles,DEFENSE_2023_DEFENSE_2023_DefenseTargets,DEFENSE_2023_DEFENSE_2023_DefenseReceptionsAllowed,DEFENSE_2023_DEFENSE_2023_DefenseReceptionPercentageAllowed,DEFENSE_2023_DEFENSE_2023_DefenseYardsAllowed,DEFENSE_2023_DEFENSE_2023_DefenseYardsPerReceptionAllowed,DEFENSE_2023_DEFENSE_2023_DefenseYardsAfterCatchAllowed,DEFENSE_2023_DEFENSE_2023_DefenseLongestReceptionAllowed,DEFENSE_2023_DEFENSE_2023_DefenseTouchdownsAllowed,DEFENSE_2023_DEFENSE_2023_DefenseInterceptions,DEFENSE_2023_DEFENSE_2023_DefensePassBreakups,DEFENSE_2023_DEFENSE_2023_DefensePasserRatingAllowed,DEFENSE_2023_DEFENSE_2023_DefensePenalties,DEFENSE_2023_DEFENSE_2023_DefenseSnapsOnDefensiveLine,DEFENSE_2023_DEFENSE_2023_DefenseSnapsInTheBox,DEFENSE_2023_DEFENSE_2023_DefenseSnapsAtFreeSafety,DEFENSE_2023_DEFENSE_2023_DefenseSnapsInTheSlot,DEFENSE_2023_DEFENSE_2023_DefenseSnapsAtCorner,DEFENSE_2023_DEFENSE_2023_DefenseSnapsAtA-Gap,DEFENSE_2023_DEFENSE_2023_DefenseSnapsAtB-Gap,DEFENSE_2023_DEFENSE_2023_DefenseSnapsOverTackle,DEFENSE_2023_DEFENSE_2023_DefenseSnapsOutside
1.0,Danielle Hunter,#99,ED,17.0,"1,004",376.0,614.0,14.0,78.0,51.7,60.1,79.1,75.0,80.0,18.0,7.0,55.0,1.0,51.0,16.0,7.0,9.5,50.0,4.0,2.0,2.0,100.0,32.0,16.0,15.0,22.0,0.0,0.0,0.0,118.8,1 (0),951.0,53.0,0.0,0.0,0.0,0.0,5.0,87.0,859.0
2.0,Ivan Pace Jr.,#40,LB,17.0,704,276.0,109.0,319.0,77.1,61.2,67.0,78.0,77.7,15.0,3.0,6.0,6.0,0.0,70.0,26.0,10.0,9.4,30.0,1.0,37.0,32.0,86.5,182.0,5.7,153.0,13.0,0.0,1.0,1.0,75.9,1 (1),59.0,641.0,1.0,3.0,0.0,0.0,0.0,0.0,59.0
3.0,Jordan Hicks,#58,LB,13.0,813,324.0,123.0,366.0,74.6,74.2,71.3,64.2,70.2,14.0,1.0,1.0,12.0,1.0,75.0,37.0,11.0,8.9,33.0,1.0,41.0,34.0,82.9,402.0,11.8,186.0,39.0,2.0,1.0,2.0,113.6,1 (0),121.0,665.0,6.0,21.0,0.0,0.0,0.0,1.0,120.0
4.0,Camryn Bynum,#24,S,17.0,"1,120",420.0,9.0,691.0,73.2,79.1,70.4,56.1,69.7,1.0,1.0,0.0,0.0,0.0,104.0,25.0,16.0,11.0,23.0,3.0,78.0,63.0,80.8,554.0,8.8,279.0,33.0,2.0,2.0,6.0,94.1,0 (0),42.0,186.0,561.0,282.0,49.0,0.0,0.0,0.0,42.0
5.0,Mekhi Blackmon,#05,CB,15.0,434,104.0,1.0,329.0,71.8,63.9,90.3,60.0,71.8,0.0,0.0,0.0,0.0,0.0,37.0,8.0,0.0,0.0,10.0,0.0,44.0,28.0,63.6,285.0,10.2,93.0,33.0,2.0,1.0,8.0,87.8,0 (0),4.0,30.0,0.0,18.0,382.0,0.0,0.0,0.0,4.0
6.0,Anthony Barr,#54,LB,4.0,48,10.0,20.0,18.0,70.6,59.9,70.5,52.8,82.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,5.0,5.0,3.0,5.0,0.0,0.0,0.0,87.5,0 (0),37.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,37.0
7.0,Josh Metellus,#44,S,17.0,"1,063",391.0,116.0,556.0,69.2,67.8,67.5,75.8,64.5,29.0,3.0,7.0,19.0,0.0,86.0,21.0,11.0,9.3,45.0,4.0,97.0,84.0,86.6,747.0,8.9,532.0,60.0,5.0,1.0,3.0,111.6,1 (1),206.0,377.0,55.0,396.0,29.0,0.0,1.0,0.0,205.0
8.0,Harrison Smith,#22,S,17.0,"1,111",419.0,99.0,593.0,68.9,66.2,61.2,58.6,69.5,12.0,3.0,3.0,6.0,1.0,64.0,21.0,12.0,12.4,30.0,3.0,49.0,32.0,65.3,262.0,8.2,173.0,36.0,0.0,0.0,1.0,78.8,1 (0),185.0,390.0,346.0,151.0,39.0,0.0,0.0,0.0,185.0
9.0,Andrew Booth Jr.,#23,CB,10.0,151,52.0,0.0,99.0,68.6,59.8,81.6,-,69.1,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,8.0,4.0,50.0,30.0,7.5,10.0,11.0,0.0,0.0,1.0,59.4,0 (0),0.0,21.0,0.0,9.0,121.0,0.0,0.0,0.0,0.0
10.0,Jay Ward,#20,S,6.0,35,11.0,2.0,22.0,67.8,63.9,78.0,54.6,74.7,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,26.0,13.0,22.0,25.0,1.0,0.0,0.0,158.3,1 (1),1.0,8.0,6.0,17.0,3.0,0.0,0.0,0.0,1.0
