OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Rank,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Player,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_JerseyNumber,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Position,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_GamesPlayed,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnaps.1,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingGrade,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPenalties,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedSacks,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedHits,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedHurries,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotal,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedEfficiency,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnaps.1,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetGrade,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedSacks,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedHits,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedHurries,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotal,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedEfficiency
1.0,Christian Darrisaw,#71,T,15.0,650.0,650.0,100.0,85.3,2 (2),609.0,100.0,6.0,13.0,12.0,31.0,97.0,298.0,298.0,100.0,79.2,283.0,100.0,5.0,10.0,7.0,22.0,95.2
2.0,Kene Nwangwu,#26,HB,3.0,8.0,3.0,37.5,78.9,0 (0),3.0,37.5,0.0,0.0,0.0,0.0,100.0,2.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
3.0,Brandon Powell,#04,WR,13.0,305.0,5.0,1.6,76.7,1 (1),4.0,1.4,0.0,0.0,0.0,0.0,100.0,181.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
4.0,C.J. Ham,#30,FB,17.0,154.0,57.0,37.0,74.8,0 (0),54.0,37.8,1.0,0.0,4.0,5.0,94.4,89.0,40.0,44.9,81.4,38.0,44.7,0.0,0.0,3.0,3.0,96.1
5.0,K.J. Osborn,#17,WR,16.0,594.0,2.0,0.3,73.6,2 (0),2.0,0.4,0.0,0.0,0.0,0.0,100.0,287.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
6.0,Brian O'Neill,#75,T,14.0,590.0,590.0,100.0,73.4,3 (1),551.0,100.0,6.0,2.0,25.0,33.0,96.5,270.0,270.0,100.0,67.6,254.0,100.0,5.0,2.0,21.0,28.0,93.5
7.0,Chris Reed,#62,G,1.0,2.0,2.0,100.0,72.3,0 (0),2.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
7.0,Austin Schlottmann,#65,C,6.0,178.0,178.0,100.0,72.3,1 (0),167.0,100.0,1.0,1.0,5.0,7.0,97.6,80.0,80.0,100.0,66.7,74.0,100.0,0.0,1.0,4.0,5.0,96.6
7.0,Ezra Cleveland,#72,G,6.0,265.0,265.0,100.0,72.3,1 (0),247.0,100.0,1.0,3.0,6.0,10.0,97.8,119.0,119.0,100.0,65.5,111.0,100.0,0.0,3.0,4.0,7.0,96.8
10.0,Cam Akers,#31,HB,6.0,67.0,17.0,25.4,70.6,0 (0),17.0,27.4,0.0,1.0,0.0,1.0,97.1,24.0,5.0,20.8,64.5,5.0,22.7,0.0,0.0,0.0,0.0,100.0
11.0,David Quessenberry,#76,T,6.0,231.0,231.0,100.0,68.3,0 (0),220.0,100.0,1.0,4.0,11.0,16.0,96.1,110.0,110.0,100.0,62.8,104.0,100.0,1.0,3.0,8.0,12.0,93.7
12.0,Dalton Risner,#66,G,12.0,485.0,485.0,100.0,67.4,0 (0),457.0,100.0,0.0,11.0,19.0,30.0,96.7,227.0,227.0,100.0,64.6,216.0,100.0,0.0,6.0,13.0,19.0,95.6
13.0,T.J. Hockenson,#87,TE,15.0,563.0,26.0,4.6,65.6,0 (0),25.0,4.7,0.0,1.0,3.0,4.0,92.0,272.0,2.0,0.7,49.6,2.0,0.8,0.0,0.0,1.0,1.0,75.0
14.0,Ed Ingram,#67,G,15.0,640.0,640.0,100.0,60.9,4 (1),597.0,100.0,5.0,15.0,22.0,42.0,96.1,287.0,287.0,100.0,44.8,270.0,100.0,4.0,12.0,15.0,31.0,93.5
15.0,Josh Oliver,#84,TE,17.0,224.0,70.0,31.3,57.6,2 (1),64.0,31.1,2.0,3.0,1.0,6.0,93.7,31.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
16.0,Garrett Bradbury,#56,C,14.0,578.0,578.0,100.0,56.8,1 (1),543.0,100.0,3.0,5.0,14.0,22.0,97.7,268.0,268.0,100.0,52.4,255.0,100.0,3.0,4.0,10.0,17.0,96.1
17.0,Johnny Mundt,#86,TE,16.0,131.0,10.0,7.6,56.1,0 (0),9.0,7.3,0.0,0.0,0.0,0.0,100.0,70.0,1.0,1.4,69.8,0.0,0.0,0.0,0.0,0.0,0.0,
18.0,Blake Brandel,#64,G,3.0,114.0,114.0,100.0,52.2,0 (0),111.0,100.0,1.0,2.0,5.0,8.0,95.9,60.0,60.0,100.0,36.8,58.0,100.0,1.0,2.0,5.0,8.0,92.2
19.0,Olisaemeka Udoh,#74,T,2.0,37.0,37.0,100.0,49.8,0 (0),36.0,100.0,1.0,1.0,1.0,3.0,94.4,16.0,16.0,100.0,33.1,15.0,100.0,1.0,1.0,1.0,3.0,86.7
20.0,Alexander Mattison,#02,HB,16.0,376.0,82.0,21.8,49.5,0 (0),76.0,21.6,4.0,3.0,2.0,9.0,91.4,163.0,21.0,12.9,28.1,19.0,12.4,1.0,2.0,2.0,5.0,84.2
21.0,Ty Chandler,#32,HB,12.0,193.0,62.0,32.1,49.3,0 (0),60.0,33.0,4.0,2.0,3.0,9.0,89.2,74.0,20.0,27.0,36.3,19.0,27.1,1.0,2.0,2.0,5.0,84.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
