RECEIVING_2023_RECEIVING_2023_Rank,RECEIVING_2023_RECEIVING_2023_Player,RECEIVING_2023_RECEIVING_2023_JerseyNumber,RECEIVING_2023_RECEIVING_2023_Position,RECEIVING_2023_RECEIVING_2023_GamesPlayed,RECEIVING_2023_RECEIVING_2023_ReceivingTargets,RECEIVING_2023_RECEIVING_2023_ReceivingReceptions,RECEIVING_2023_RECEIVING_2023_ReceivingReceptionPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingYards,RECEIVING_2023_RECEIVING_2023_ReceivingYardsPerReception,RECEIVING_2023_RECEIVING_2023_ReceivingTouchdowns,RECEIVING_2023_RECEIVING_2023_ReceivingOverallGrade,RECEIVING_2023_RECEIVING_2023_ReceivingGrade,RECEIVING_2023_RECEIVING_2023_ReceivingDrops,RECEIVING_2023_RECEIVING_2023_ReceivingFumbles,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingGrade,RECEIVING_2023_RECEIVING_2023_ReceivingPassSnaps,RECEIVING_2023_RECEIVING_2023_ReceivingRoutesRun,RECEIVING_2023_RECEIVING_2023_ReceivingTargetPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingSnaps,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingSnapsPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInTheSlot,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInTheSlotPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsWide,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsWidePercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInline,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInlinePercentage,RECEIVING_2023_RECEIVING_2023_ReceivingYardsAfterCatch,RECEIVING_2023_RECEIVING_2023_ReceivingYardsAfterCatchPerReception,RECEIVING_2023_RECEIVING_2023_ReceivingYardsPerRouteRun,RECEIVING_2023_RECEIVING_2023_ReceivingAverageDepthOfTarget,RECEIVING_2023_RECEIVING_2023_ReceivingLongestReception,RECEIVING_2023_RECEIVING_2023_ReceivingDrops.1,RECEIVING_2023_RECEIVING_2023_ReceivingDropPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingContestedTargets,RECEIVING_2023_RECEIVING_2023_ReceivingContestedCatches,RECEIVING_2023_RECEIVING_2023_ReceivingContestedCatchPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingInterceptionsThrownWhenTargeted,RECEIVING_2023_RECEIVING_2023_ReceivingFumbles.1,RECEIVING_2023_RECEIVING_2023_ReceivingMissedTacklesForced,RECEIVING_2023_RECEIVING_2023_ReceivingFirstDowns,RECEIVING_2023_RECEIVING_2023_ReceivingPasserRatingWhenTargeted,RECEIVING_2023_RECEIVING_2023_ReceivingPenalties
1.0,Justin Jefferson,#18,WR,10.0,98.0,68.0,69.4,"1,074",15.8,5.0,91.1,91.2,86.5,48.1,-,391.0,369.0,94.4,0.0,0.0,118.0,30.2,272.0,69.6,0.0,0.0,263.0,3.9,2.91,13.5,52.0,2.0,2.9,22.0,9.0,40.9,3.0,1.0,10.0,51.0,109.8,1 (1)
2.0,Nick Muse,#34,TE,1.0,1.0,1.0,100.0,22,22.0,0.0,89.2,90.4,64.7,61.2,-,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,10.0,10.0,22.0,12.0,22.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,118.8,0 (0)
3.0,T.J. Hockenson,#87,TE,15.0,124.0,95.0,76.6,960,10.1,5.0,78.8,82.4,79.7,56.6,65.6,563.0,508.0,90.2,26.0,4.6,215.0,38.2,68.0,12.1,280.0,49.7,342.0,3.6,1.89,7.6,29.0,5.0,5.0,25.0,8.0,32.0,1.0,1.0,7.0,48.0,108.3,3 (0)
4.0,Cam Akers,#31,HB,6.0,12.0,11.0,91.7,70,6.4,0.0,69.5,77.4,79.4,82.2,70.6,67.0,44.0,65.7,17.0,25.4,1.0,1.5,4.0,6.0,2.0,3.0,79.0,7.2,1.59,-1.2,30.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,2.0,2.0,91.0,0 (0)
5.0,Ty Chandler,#32,HB,12.0,24.0,21.0,87.5,159,7.6,0.0,76.3,72.9,72.1,89.0,49.3,193.0,122.0,63.2,62.0,32.1,5.0,2.6,2.0,1.0,5.0,2.6,208.0,9.9,1.3,-1.8,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,7.0,94.3,0 (0)
6.0,Johnny Mundt,#86,TE,16.0,23.0,17.0,73.9,172,10.1,1.0,70.8,72.5,69.9,74.1,56.1,131.0,115.0,87.8,10.0,7.6,33.0,25.2,14.0,10.7,84.0,64.1,95.0,5.6,1.5,5.4,32.0,1.0,5.6,4.0,1.0,25.0,1.0,0.0,2.0,8.0,91.2,1 (0)
7.0,Jordan Addison,#03,WR,17.0,104.0,70.0,67.3,911,13.0,10.0,68.6,69.7,80.3,81.4,-,642.0,606.0,94.4,0.0,0.0,185.0,28.8,454.0,70.7,0.0,0.0,267.0,3.8,1.5,12.5,62.0,3.0,4.1,22.0,9.0,40.9,7.0,0.0,5.0,38.0,98.7,1 (1)
8.0,Josh Oliver,#84,TE,17.0,26.0,22.0,84.6,213,9.7,2.0,75.1,67.9,72.1,25.0,57.6,224.0,142.0,63.4,70.0,31.3,11.0,4.9,9.0,4.0,204.0,91.1,160.0,7.3,1.5,2.9,33.0,1.0,4.3,2.0,1.0,50.0,0.0,1.0,3.0,12.0,126.4,4 (1)
9.0,Brandon Powell,#04,WR,13.0,43.0,29.0,67.4,324,11.2,1.0,61.7,63.6,57.2,64.2,76.7,305.0,287.0,94.1,5.0,1.6,194.0,63.6,111.0,36.4,0.0,0.0,102.0,3.5,1.13,8.4,28.0,3.0,9.4,7.0,2.0,28.6,2.0,0.0,3.0,18.0,78.1,3 (1)
10.0,Trishton Jackson,#09,WR,4.0,4.0,2.0,50.0,9,4.5,0.0,54.7,54.3,70.5,65.8,-,53.0,52.0,98.1,0.0,0.0,18.0,34.0,35.0,66.0,0.0,0.0,7.0,3.5,0.17,3.8,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,56.3,0 (0)
10.0,K.J. Osborn,#17,WR,16.0,73.0,48.0,65.8,540,11.3,3.0,53.9,54.3,35.7,79.0,73.6,594.0,558.0,93.9,2.0,0.3,210.0,35.4,384.0,64.6,0.0,0.0,186.0,3.9,0.97,9.2,47.0,7.0,12.7,12.0,3.0,25.0,3.0,1.0,1.0,28.0,84.3,2 (0)
