SCHEDULE_2023_SCHEDULE_2023_Week,SCHEDULE_2023_SCHEDULE_2023_Away,SCHEDULE_2023_SCHEDULE_2023_Opponent,SCHEDULE_2023_SCHEDULE_2023_Date,SCHEDULE_2023_SCHEDULE_2023_Time,SCHEDULE_2023_SCHEDULE_2023_Result,SCHEDULE_2023_SCHEDULE_2023_PointsFor,SCHEDULE_2023_SCHEDULE_2023_PointsAgainst,SCHEDULE_2023_SCHEDULE_2023_OverallGrade,SCHEDULE_2023_SCHEDULE_2023_OffenseGrade,SCHEDULE_2023_SCHEDULE_2023_PassingGrade,SCHEDULE_2023_SCHEDULE_2023_PassBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_ReceivingGrade,SCHEDULE_2023_SCHEDULE_2023_RushingGrade,SCHEDULE_2023_SCHEDULE_2023_RunBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_DefenseGrade,SCHEDULE_2023_SCHEDULE_2023_RunDefenseGrade,SCHEDULE_2023_SCHEDULE_2023_TacklingGrade,SCHEDULE_2023_SCHEDULE_2023_PassRushGrade,SCHEDULE_2023_SCHEDULE_2023_CoverageGrade,SCHEDULE_2023_SCHEDULE_2023_SpecialTeamsGrade,SCHEDULE_2023_SCHEDULE_2023_GameReports
1.0,,Tampa Bay Buccaneers,09/10,1:00pm,L,17.0,20.0,70.8,68.9,66.2,73.4,70.6,52.6,59.1,66.7,65.6,69.5,56.6,69.9,65.3,Game Reports
2.0,@,Philadelphia Eagles,09/14,8:15pm,L,28.0,34.0,69.5,74.7,81.1,66.5,72.9,53.2,51.2,58.6,38.1,58.0,55.1,82.6,73.4,Game Reports
3.0,,Los Angeles Chargers,09/24,1:00pm,L,24.0,28.0,76.9,75.4,71.0,72.8,66.7,72.0,82.0,70.9,77.8,67.2,54.1,71.3,65.2,Game Reports
4.0,@,Carolina Panthers,10/01,1:00pm,W,21.0,13.0,80.1,77.5,58.5,68.6,73.5,65.0,84.2,74.4,81.5,51.2,63.7,64.8,56.7,Game Reports
5.0,,Kansas City Chiefs,10/08,4:25pm,L,20.0,27.0,69.6,72.1,73.3,80.4,58.7,66.6,79.0,60.4,77.7,55.4,53.2,53.3,65.1,Game Reports
6.0,@,Chicago Bears,10/15,1:00pm,W,19.0,13.0,71.3,69.7,82.8,73.6,53.8,65.6,69.8,70.8,61.6,58.6,66.3,72.1,47.3,Game Reports
7.0,,San Francisco 49ers,10/23,8:15pm,W,22.0,17.0,73.9,76.9,78.5,68.4,79.6,56.4,65.0,63.5,65.1,66.3,67.9,57.1,67.6,Game Reports
8.0,@,Green Bay Packers,10/29,1:00pm,W,24.0,10.0,72.5,70.2,89.0,66.1,70.0,60.1,43.7,68.9,80.7,83.3,57.4,67.8,56.6,Game Reports
9.0,@,Atlanta Falcons,11/05,1:00pm,W,31.0,28.0,68.2,69.2,66.3,84.7,66.4,75.2,49.2,60.7,44.2,39.0,49.3,76.3,70.6,Game Reports
10.0,,New Orleans Saints,11/12,1:00pm,W,27.0,19.0,76.9,76.0,63.4,77.5,76.1,62.9,72.7,69.5,58.7,69.0,63.2,73.9,68.3,Game Reports
11.0,@,Denver Broncos,11/19,8:20pm,L,20.0,21.0,72.6,69.7,74.0,70.6,71.5,67.9,53.1,68.8,80.7,76.4,56.6,63.2,68.6,Game Reports
12.0,,Chicago Bears,11/27,8:15pm,L,10.0,12.0,64.4,61.5,55.3,56.8,59.9,67.1,64.3,65.0,43.6,45.0,62.8,73.9,63.3,Game Reports
14.0,@,Las Vegas Raiders,12/10,4:05pm,W,3.0,0.0,71.3,59.7,68.4,76.7,49.2,77.6,52.4,86.1,76.7,54.7,63.0,87.9,46.3,Game Reports
15.0,@,Cincinnati Bengals,12/16,1:00pm,L,24.0,27.0,73.9,78.2,64.3,82.9,82.9,73.8,57.4,58.0,67.3,60.8,62.7,48.5,82.9,Game Reports
16.0,,Detroit Lions,12/24,1:00pm,L,24.0,30.0,57.5,66.4,43.4,73.6,78.8,52.2,63.3,45.4,37.2,47.8,59.2,51.9,75.4,Game Reports
17.0,,Green Bay Packers,12/31,8:20pm,L,10.0,33.0,57.4,58.7,59.0,46.3,62.5,56.1,61.4,51.8,62.4,38.8,68.0,35.5,73.1,Game Reports
18.0,@,Detroit Lions,01/07,1:00pm,L,20.0,30.0,60.4,69.1,68.3,48.5,73.8,72.7,55.6,44.8,54.3,29.9,63.9,32.7,56.7,Game Reports
,,,,,,,,,,,,,,,,,,,,,
