Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
Theo Jackson,#25,S,15.0,259.0,68.0,73.0,57.0,51.0,10.0,0.0,86.4,-,-,-,0 (0),4.0,0.0,0.0
Andrew DePaola,#42,LS,17.0,128.0,0.0,0.0,0.0,60.0,0.0,68.0,79.6,-,-,-,1 (1),2.0,0.0,0.0
Troy Dye,#45,LB,15.0,294.0,68.0,73.0,52.0,51.0,50.0,0.0,76.5,-,-,-,2 (0),4.0,0.0,2.0
Nick Muse,#34,TE,2.0,29.0,13.0,0.0,2.0,8.0,0.0,6.0,74.6,-,-,-,0 (0),1.0,0.0,0.0
Ivan Pace Jr.,#40,LB,16.0,249.0,64.0,62.0,31.0,20.0,72.0,0.0,74.3,-,-,-,1 (0),4.0,1.0,1.0
NaJee Thompson,#11,CB,15.0,193.0,19.0,66.0,42.0,53.0,13.0,0.0,72.9,-,-,-,2 (0),7.0,1.0,3.0
D.J. Wonnum,#98,ED,15.0,98.0,0.0,0.0,24.0,21.0,53.0,0.0,70.7,-,-,-,0 (0),1.0,1.0,0.0
Ty Chandler,#32,HB,15.0,117.0,37.0,30.0,17.0,33.0,0.0,0.0,70.4,67.6,-,-,0 (0),1.0,0.0,0.0
Lewis Cine,#06,S,7.0,84.0,35.0,26.0,16.0,7.0,0.0,0.0,69.7,-,-,-,0 (0),0.0,0.0,0.0
Nick Vigil,#59,LB,8.0,115.0,38.0,39.0,26.0,12.0,0.0,0.0,66.2,-,-,-,0 (0),0.0,0.0,0.0
Josh Metellus,#44,S,17.0,193.0,2.0,70.0,53.0,17.0,51.0,0.0,66.1,-,-,-,1 (1),4.0,0.0,0.0
N'Keal Harry,#13,WR,9.0,49.0,40.0,0.0,9.0,0.0,0.0,0.0,65.8,-,-,-,0 (0),0.0,0.0,0.0
Pat Jones II,#91,ED,17.0,173.0,9.0,16.0,45.0,36.0,67.0,0.0,65.8,-,-,-,1 (1),1.0,0.0,0.0
Andrew Booth Jr.,#23,CB,17.0,121.0,31.0,17.0,69.0,0.0,4.0,0.0,65.3,-,-,-,0 (0),0.0,0.0,0.0
Benton Whitley,#51,ED,1.0,6.0,1.0,4.0,1.0,0.0,0.0,0.0,64.3,-,-,-,0 (0),0.0,0.0,0.0
Dalton Risner,#66,G,14.0,56.0,0.0,0.0,0.0,1.0,0.0,55.0,64.1,-,-,-,0 (0),0.0,0.0,0.0
Jordan Hicks,#58,LB,11.0,33.0,0.0,0.0,11.0,0.0,22.0,0.0,64.1,-,-,-,0 (0),0.0,0.0,0.0
Ryan Wright,#14,P,17.0,129.0,0.0,1.0,0.0,60.0,0.0,68.0,63.3,60.0,68.3,-,1 (0),0.0,0.0,0.0
Byron Murphy Jr.,#07,CB,13.0,56.0,0.0,0.0,0.0,0.0,56.0,0.0,63.2,-,-,-,0 (0),0.0,0.0,0.0
