player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Mac Jones,2021,4,15.58634,3.896585,15.58634,0.021,21.812336,5.453084,21.812336,00-0036972,2023,NE,QB,QB,10.0,1998-09-05,NE,15.0,25.0
Matt Corral,2022,4,2.094246,1.273562,0.884904,0.006,2.569022,1.562285,1.085516,00-0038132,2023,NE,QB,QB,19.0,1999-01-31,CAR,94.0,25.0
Bailey Zappe,2023,3,2.955,0.985,0.0,0.004,3.357238,1.119079,0.0,00-0038108,2023,NE,QB,QB,4.0,1999-04-26,NE,137.0,24.0
Nathan Rourke,2023,3,2.7,0.9,0.221,0.004,3.067527,1.022509,0.251083,00-0038150,2023,NE,QB,QB,13.0,1998-05-24,,,25.0
Ezekiel Elliott,2023,1,3.0,3.0,1.1,0.013,3.408363,3.408363,1.249733,00-0033045,2023,NE,RB,RB,15.0,1995-07-22,DAL,4.0,28.0
Ty Montgomery,2023,1,1.7,1.7,0.0,0.008,1.931406,1.931406,0.0,00-0032200,2023,NE,WR,WR,14.0,1993-01-22,GB,94.0,31.0
JaMycal Hasty,2023,2,2.9,1.45,0.3,0.006,3.294751,1.647375,0.340836,00-0035806,2023,NE,RB,RB,39.0,1996-09-12,,,27.0
Ke'Shawn Vaughn,2023,1,0.2898,0.2898,0.0,0.001,0.329248,0.329248,0.0,00-0036450,2023,NE,RB,RB,21.0,1997-05-04,TB,76.0,26.0
Rhamondre Stevenson,2021,4,4.22906,1.057265,0.74906,0.006,5.918367,1.479592,1.048274,00-0036875,2023,NE,RB,RB,38.0,1998-02-23,NE,120.0,26.0
Kevin Harris,2023,2,1.855,0.9275,0.0,0.004,2.107504,1.053752,0.0,00-0037286,2023,NE,RB,RB,36.0,2000-11-17,NE,183.0,23.0
CJ Marable,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0036706,2023,NE,RB,RB,37.0,,,,
DeVante Parker,2023,2,10.8,5.4,9.1,0.024,12.270107,6.135053,10.338701,00-0031547,2023,NE,WR,WR,1.0,1993-01-20,MIA,14.0,31.0
JuJu Smith-Schuster,2023,3,25.5,8.5,16.0,0.038,28.971085,9.657028,18.177936,00-0033857,2023,NE,WR,WR,7.0,1996-11-22,PIT,62.0,27.0
Kendrick Bourne,2021,3,15.0,5.0,5.25,0.027,20.991781,6.99726,7.347123,00-0033307,2023,NE,WR,WR,84.0,1995-08-04,,,28.0
Jalen Reagor,2023,1,1.01,1.01,0.0,0.004,1.147482,1.147482,0.0,00-0036387,2023,NE,WR,WR,83.0,1999-01-02,PHI,21.0,25.0
Matt Slater,2023,1,2.6675,2.6675,2.6675,0.012,3.030603,3.030603,3.030603,00-0026293,2023,NE,WR,WR,18.0,1985-09-09,NE,153.0,38.0
Tyquan Thornton,2022,4,7.05386,1.763465,4.04071,0.008,8.653006,2.163251,4.95676,00-0038104,2023,NE,WR,WR,11.0,2000-08-07,NE,50.0,23.0
Jalen Hurd,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0034971,2023,NE,WR,WR,14.0,1996-01-23,SF,67.0,28.0
Tre Nixon,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0036536,2023,NE,WR,WR,82.0,1998-01-26,NE,242.0,26.0
Kayshon Boutte,2023,4,4.027274,1.006819,0.187274,0.004,4.575471,1.143868,0.212766,00-0038608,2023,NE,WR,WR,80.0,2002-05-07,NE,187.0,21.0
Mathew Sexton,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0036471,2023,NE,WR,WR,14.0,1997-10-17,,,26.0
Demario Douglas,2023,4,3.973332,0.993333,0.133332,0.004,4.514186,1.128546,0.151481,00-0038621,2023,NE,WR,WR,81.0,2000-12-08,NE,210.0,23.0
T.J. Luther,2023,3,2.705,0.901667,0.045,0.004,3.073207,1.024403,0.051125,00-0038502,2023,NE,WR,WR,82.0,2000-05-13,,,23.0
Hunter Henry,2021,3,37.5,12.5,25.0,0.068,52.479452,17.493151,34.986301,00-0033090,2023,NE,TE,TE,85.0,1994-12-07,SD,35.0,29.0
Mike Gesicki,2023,1,4.5,4.5,3.55,0.02,5.112544,5.112544,4.03323,00-0034829,2023,NE,TE,TE,88.0,1995-10-03,MIA,42.0,28.0
Pharaoh Brown,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0033439,2023,NE,TE,TE,86.0,1994-05-04,,,29.0
Matt Sokol,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0035436,2023,NE,TE,TE,87.0,1995-11-09,,,28.0
Riley Reiff,2023,1,5.0,5.0,4.15,0.022,5.680605,5.680605,4.714902,00-0029672,2023,NE,OL,T,74.0,1988-12-01,DET,23.0,35.0
Trent Brown,2023,1,6.5,6.5,4.0,0.029,7.384786,7.384786,4.544484,00-0032071,2023,NE,OL,T,77.0,1993-04-13,SF,244.0,31.0
Calvin Anderson,2023,2,7.0,3.5,4.0,0.016,7.952847,3.976423,4.544484,00-0034957,2023,NE,OL,T,76.0,1996-03-25,,,28.0
Joe Giles-Harris,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0035363,2023,NE,LB,OLB,44.0,1997-04-01,,,27.0
Vederian Lowe,2022,4,3.857872,0.964468,0.197872,0.005,4.732471,1.183118,0.242731,00-0037287,2023,NE,OL,T,59.0,1999-04-17,MIN,184.0,25.0
Cole Strange,2022,4,12.255972,3.063993,12.255972,0.015,15.034463,3.758616,15.034463,00-0038103,2023,NE,OL,G,69.0,1998-07-31,NE,29.0,25.0
James Ferentz,2023,1,1.215,1.215,0.2,0.005,1.380387,1.380387,0.227224,00-0031039,2023,NE,OL,C,65.0,1989-06-05,,,34.0
Atonio Mafi,2023,4,4.17554,1.043885,0.33554,0.005,4.743919,1.18598,0.381214,00-0038586,2023,NE,OL,G,68.0,2000-10-20,NE,144.0,23.0
David Andrews,2021,4,19.0,4.75,6.5,0.026,26.589589,6.647397,9.096438,00-0031852,2023,NE,OL,C,60.0,1992-07-10,,,31.0
Jake Andrews,2023,4,4.648344,1.162086,0.808344,0.005,5.281081,1.32027,0.918377,00-0039030,2023,NE,OL,C,67.0,1999-11-11,NE,107.0,24.0
Kody Russey,2023,1,0.216,0.216,0.0,0.001,0.245402,0.245402,0.0,00-0037204,2023,NE,OL,C,66.0,1998-05-14,,,25.0
Conor McDermott,2023,2,3.6,1.8,0.7,0.008,4.090036,2.045018,0.795285,00-0033300,2023,NE,OL,T,75.0,1992-10-19,NE,211.0,31.0
Sidy Sow,2023,4,4.604116,1.151029,0.764116,0.005,5.230833,1.307708,0.868128,00-0038569,2023,NE,OL,T,62.0,1998-06-10,NE,117.0,25.0
Micah Vanterpool,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,00-0039189,2023,NE,OL,T,72.0,,,,
Andrew Stueber,2023,1,0.275334,0.275334,0.0,0.001,0.312813,0.312813,0.0,00-0037620,2023,NE,OL,T,64.0,1999-07-01,NE,245.0,24.0
Tyrone Wheatley Jr.,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0036966,2023,NE,OL,T,72.0,1997-02-04,,,27.0
Michael Onwenu,2020,4,3.497468,0.874367,0.202468,0.004,4.506828,1.126707,0.2609,00-0036198,2023,NE,OL,G,71.0,1997-12-10,NE,182.0,26.0
Davon Godchaux,2022,2,20.8,10.4,17.85,0.05,25.515466,12.757733,21.896686,00-0033860,2023,NE,DL,NT,92.0,1994-11-11,MIA,178.0,29.0
Lawrence Guy,2021,4,11.5,2.875,3.075,0.016,16.093699,4.023425,4.303315,00-0028171,2023,NE,DL,DT,93.0,1990-03-17,GB,233.0,34.0
Christian Barmore,2021,4,8.522268,2.130567,5.552388,0.012,11.926505,2.981626,7.770301,00-0036981,2023,NE,DL,DT,90.0,1999-07-28,NE,38.0,24.0
Daniel Ekuale,2023,2,4.0,2.0,1.0,0.009,4.544484,2.272242,1.136121,00-0034251,2023,NE,DL,DT,95.0,1994-01-13,,,30.0
Trysten Hill,2023,1,1.2325,1.2325,0.3,0.005,1.400269,1.400269,0.340836,00-0035247,2023,NE,DL,DT,97.0,1998-03-25,DAL,58.0,26.0
