Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,CoverageSnaps,CoverageSnapsPercentage,CoverageGrade,CoveragePenalties,CoverageTargets,CoverageReceptionsAllowed,CoverageReceptionPercentage,CoverageYardsAllowed,CoverageYardsPerReceptionAllowed,CoverageYardsAfterCatchAllowed,CoverageAverageDepthOfTarget,CoverageLongestReceptionAllowed,CoverageForcedIncompletions,CoverageForcedIncompletionPercentage,CoveragePassBreakups,CoverageInterceptions,CoverageDrops,CoverageTouchdownsAllowed,CoveragePasserRatingAllowed,CoverageSnapsPerTarget,CoverageSnapsPerReceptionAllowed,CoverageTackles,CoverageAssists,CoverageMissedTackles,CoverageMissedTacklePercentage,CoverageStops
Mack Wilson Sr.,#03,LB,16.0,210.0,102.0,48.6,86.9,0 (0),8.0,7.0,87.5,45.0,6.4,26.0,3.0,7.0,2.0,25.0,2.0,0.0,1.0,0.0,90.1,12.5,14.3,12.0,2.0,1.0,6.7,8.0
Keion White,#99,ED,16.0,311.0,10.0,3.2,83.8,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,6.0,0.0,1.0,14.3,5.0
Jabrill Peppers,#05,S,15.0,565.0,526.0,93.1,83.2,1 (0),34.0,20.0,58.8,132.0,6.6,101.0,6.2,25.0,6.0,18.0,5.0,2.0,0.0,1.0,52.6,14.6,24.9,24.0,8.0,6.0,15.8,11.0
Jahlani Tavai,#48,LB,17.0,419.0,333.0,79.5,82.7,2 (0),35.0,27.0,77.1,186.0,6.9,150.0,3.1,29.0,4.0,11.0,3.0,2.0,0.0,1.0,74.2,9.0,11.6,26.0,8.0,8.0,19.0,11.0
Christian Gonzalez,#06,CB,4.0,129.0,127.0,98.4,79.3,0 (0),24.0,16.0,66.7,157.0,9.8,49.0,11.0,23.0,3.0,13.0,2.0,1.0,1.0,0.0,67.5,5.0,7.5,13.0,2.0,1.0,6.3,5.0
Matthew Judon,#09,ED,4.0,115.0,21.0,18.3,76.2,0 (0),3.0,3.0,100.0,24.0,8.0,8.0,5.3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,6.7,6.7,2.0,2.0,1.0,20.0,4.0
Jonathan Jones,#31,CB,14.0,424.0,423.0,99.8,75.1,1 (1),54.0,31.0,57.4,387.0,12.5,118.0,14.1,48.0,8.0,15.0,5.0,0.0,0.0,1.0,86.0,7.4,12.8,32.0,0.0,2.0,5.9,9.0
Deatrich Wise Jr.,#91,ED,16.0,392.0,1.0,0.3,67.3,4 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,6.0,1.0,1.0,12.5,9.0
Brenden Schooler,#41,S,3.0,3.0,2.0,66.7,66.9,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
Calvin Munson,#43,LB,1.0,7.0,6.0,85.7,66.8,0 (0),1.0,1.0,100.0,7.0,7.0,8.0,-1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8,5.0,5.0,1.0,0.0,0.0,0.0,0.0
