Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,PassRushTotalSnaps,PassRushSnapsPercentage,PassRushGrade,PassRushPenalties,PassRushTotalPressures,PassRushSacks,PassRushHits,PassRushHurries,PassRushPressureRate,PassRushWinPercentage,PassRushBattedPasses,TruePassSetSnaps,TruePassSetTotalSnaps,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetTotalPressures,TruePassSetSacks,TruePassSetHits,TruePassSetHurries,TruePassSetPressureRate,TruePassSetWinPercentage,TruePassSetBattedPasses
Christian Barmore,#90,DI,17.0,478.0,478.0,100.0,84.9,3 (1),49.0,8.0,7.0,34.0,6.2,13.3,5.0,233.0,233.0,100.0,90.7,36.0,6.0,4.0,26.0,9.3,21.3,2.0
Christian Gonzalez,#06,CB,4.0,129.0,2.0,1.6,75.1,0 (0),1.0,1.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Jack Jones,#13,CB,4.0,90.0,2.0,2.2,69.4,3 (1),1.0,0.0,1.0,0.0,50.0,0.0,0.0,32.0,1.0,3.1,59.1,0.0,0.0,0.0,0.0,,,0.0
Jeremiah Pharms Jr.,#70,DI,12.0,42.0,42.0,100.0,68.9,0 (0),3.0,0.0,0.0,3.0,3.8,12.8,0.0,21.0,21.0,100.0,74.6,3.0,0.0,0.0,3.0,7.5,25.0,0.0
Joshua Uche,#55,ED,15.0,265.0,227.0,85.7,66.8,1 (0),37.0,3.0,6.0,28.0,9.2,11.1,0.0,168.0,147.0,87.5,70.5,29.0,2.0,4.0,23.0,11.2,14.4,0.0
Kyle Dugger,#23,S,17.0,671.0,55.0,8.2,66.5,2 (0),15.0,2.0,3.0,10.0,16.3,15.4,0.0,300.0,29.0,9.7,67.1,10.0,1.0,3.0,6.0,19.0,20.7,0.0
Jalen Mills,#02,S,17.0,315.0,12.0,3.8,65.5,2 (0),4.0,0.0,1.0,3.0,16.7,8.3,0.0,173.0,6.0,3.5,61.1,3.0,0.0,0.0,3.0,25.0,16.7,0.0
Ja'Whaun Bentley,#08,LB,16.0,587.0,126.0,21.5,63.8,0 (0),22.0,4.0,7.0,11.0,10.7,4.1,1.0,265.0,76.0,28.7,65.3,19.0,4.0,6.0,9.0,15.8,6.8,0.0
Jahlani Tavai,#48,LB,17.0,419.0,86.0,20.5,63.5,2 (0),13.0,1.0,4.0,8.0,9.0,9.0,0.0,150.0,26.0,17.3,64.4,6.0,0.0,2.0,4.0,12.5,20.8,0.0
Mack Wilson Sr.,#03,LB,16.0,210.0,108.0,51.4,63.2,0 (0),15.0,5.0,1.0,9.0,9.6,7.7,1.0,117.0,73.0,62.4,63.0,13.0,5.0,1.0,7.0,12.5,8.3,0.0
Matthew Judon,#09,ED,4.0,115.0,94.0,81.7,60.4,0 (0),16.0,4.0,5.0,7.0,11.1,8.9,0.0,49.0,43.0,87.8,58.3,8.0,3.0,0.0,5.0,13.8,12.5,0.0
Sam Roberts,#96,DI,6.0,56.0,56.0,100.0,60.0,0 (0),5.0,1.0,0.0,4.0,5.8,11.5,0.0,30.0,30.0,100.0,57.6,3.0,1.0,0.0,2.0,7.1,10.7,0.0
Chris Board,#45,LB,2.0,2.0,1.0,50.0,60.0,0 (0),0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,-,0.0,0.0,0.0,0.0,,,0.0
Brenden Schooler,#41,S,3.0,3.0,1.0,33.3,60.0,0 (0),0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,-,0.0,0.0,0.0,0.0,,,0.0
Matthew Slater,#18,WR,2.0,2.0,1.0,50.0,60.0,0 (0),0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,-,0.0,0.0,0.0,0.0,,,0.0
Calvin Munson,#43,LB,1.0,7.0,1.0,14.3,59.9,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Marte Mapu,#30,S,13.0,112.0,7.0,6.3,59.5,2 (0),0.0,0.0,0.0,0.0,0.0,14.3,0.0,34.0,2.0,5.9,67.3,0.0,0.0,0.0,0.0,0.0,50.0,0.0
Jonathan Jones,#31,CB,14.0,424.0,1.0,0.2,59.1,1 (1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Deatrich Wise Jr.,#91,ED,16.0,392.0,391.0,99.7,59.0,4 (0),36.0,5.0,2.0,29.0,5.7,9.4,1.0,183.0,182.0,99.5,63.1,21.0,3.0,1.0,17.0,7.1,13.6,1.0
Trysten Hill,#97,DI,1.0,2.0,2.0,100.0,58.7,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,59.1,0.0,0.0,0.0,0.0,,,0.0
J.C. Jackson,#29,CB,8.0,277.0,2.0,0.7,56.2,4 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,1.0,0.8,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anfernee Jennings,#33,ED,15.0,333.0,275.0,82.6,55.3,2 (0),21.0,2.0,2.0,17.0,4.4,6.5,0.0,108.0,90.0,83.3,62.0,10.0,1.0,0.0,9.0,6.6,13.3,0.0
Jabrill Peppers,#05,S,15.0,565.0,39.0,6.9,54.0,1 (0),5.0,1.0,1.0,3.0,7.7,7.7,0.0,250.0,13.0,5.2,58.2,2.0,0.0,1.0,1.0,7.7,7.7,0.0
Myles Bryant,#27,CB,17.0,562.0,17.0,3.0,52.9,2 (0),6.0,1.0,0.0,5.0,23.3,13.3,0.0,272.0,11.0,4.0,57.4,6.0,1.0,0.0,5.0,31.8,18.2,0.0
Keion White,#99,ED,16.0,311.0,301.0,96.8,52.3,0 (0),20.0,1.0,4.0,15.0,3.6,6.2,2.0,139.0,136.0,97.8,53.5,15.0,1.0,4.0,10.0,6.1,9.2,1.0
Daniel Ekuale,#95,DI,3.0,38.0,38.0,100.0,51.8,0 (0),0.0,0.0,0.0,0.0,0.0,2.8,0.0,18.0,18.0,100.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davon Godchaux,#92,DI,17.0,334.0,332.0,99.4,50.0,1 (0),7.0,0.0,0.0,7.0,1.1,3.2,0.0,108.0,107.0,99.1,51.2,4.0,0.0,0.0,4.0,2.1,4.1,0.0
Lawrence Guy Sr.,#93,DI,17.0,221.0,221.0,100.0,44.9,0 (0),6.0,0.0,0.0,6.0,1.5,1.0,1.0,63.0,63.0,100.0,47.8,4.0,0.0,0.0,4.0,3.6,1.8,1.0
Adrian Phillips,#21,S,13.0,94.0,11.0,11.7,39.5,0 (0),1.0,0.0,0.0,1.0,5.0,0.0,0.0,37.0,5.0,13.5,39.4,1.0,0.0,0.0,1.0,10.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
