DEFENSE-RUN_2023_DEFENSE-RUN_2023_Rank,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Player,DEFENSE-RUN_2023_DEFENSE-RUN_2023_JerseyNumber,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Position,DEFENSE-RUN_2023_DEFENSE-RUN_2023_GamesPlayed,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseSnaps,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseGrade,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAssists,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTacklePercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStops,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStopPercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseForcedFumbles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAverageDepthOfTackle,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefensePenalties
1.0,Jabrill Peppers,#05,S,15.0,390.0,90.7,30.0,10.0,6.0,13.0,17.0,4.5,1.0,3.9,1 (0)
2.0,Jahlani Tavai,#48,LB,17.0,419.0,86.2,47.0,22.0,3.0,4.2,24.0,5.9,1.0,3.3,2 (0)
3.0,Anfernee Jennings,#33,ED,15.0,344.0,85.9,42.0,10.0,8.0,13.3,38.0,11.3,0.0,0.5,2 (0)
4.0,Myles Bryant,#27,CB,17.0,290.0,84.3,9.0,2.0,1.0,8.3,4.0,1.4,1.0,8.1,2 (0)
5.0,Jalen Mills,#02,S,17.0,144.0,84.1,8.0,9.0,1.0,5.6,4.0,2.8,0.0,4.9,2 (0)
6.0,Kyle Dugger,#23,S,17.0,445.0,79.6,27.0,18.0,5.0,10.0,12.0,2.8,0.0,5.3,2 (0)
7.0,Jonathan Jones,#31,CB,14.0,300.0,74.0,10.0,2.0,0.0,0.0,6.0,2.0,0.0,3.1,1 (1)
8.0,Shaun Wade,#26,CB,11.0,135.0,73.2,3.0,0.0,0.0,0.0,2.0,1.5,0.0,6.0,1 (0)
9.0,Marcus Jones,#25,CB,2.0,14.0,72.9,1.0,0.0,0.0,0.0,1.0,7.1,0.0,3.0,0 (0)
10.0,Daniel Ekuale,#95,DI,3.0,15.0,72.0,2.0,1.0,0.0,0.0,1.0,7.1,1.0,2.0,0 (0)
11.0,Mack Wilson Sr.,#03,LB,14.0,95.0,71.7,8.0,8.0,2.0,11.1,4.0,4.3,0.0,4.0,0 (0)
12.0,Christian Gonzalez,#06,CB,4.0,80.0,71.3,2.0,1.0,0.0,0.0,1.0,1.3,0.0,4.0,0 (0)
13.0,Ameer Speed,#37,CB,1.0,9.0,71.0,1.0,0.0,0.0,0.0,1.0,11.1,0.0,2.0,0 (0)
14.0,Jack Jones,#13,CB,4.0,37.0,68.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3 (1)
15.0,Christian Barmore,#90,DI,17.0,272.0,67.8,43.0,10.0,3.0,5.4,32.0,12.2,0.0,2.1,3 (1)
15.0,Keion White,#99,ED,16.0,211.0,67.8,16.0,6.0,3.0,12.0,14.0,6.9,0.0,1.9,0 (0)
17.0,Ja'Whaun Bentley,#08,LB,16.0,397.0,67.7,42.0,27.0,9.0,11.5,25.0,6.5,0.0,3.4,0 (0)
18.0,Matthew Judon,#09,ED,4.0,69.0,67.3,2.0,4.0,1.0,14.3,2.0,3.0,0.0,2.0,0 (0)
19.0,Adrian Phillips,#21,S,12.0,45.0,64.3,5.0,2.0,1.0,12.5,3.0,7.0,0.0,6.2,0 (0)
20.0,Alex Austin,#28,CB,5.0,90.0,62.1,4.0,0.0,0.0,0.0,1.0,1.1,0.0,8.5,2 (0)
21.0,Marco Wilson,#19,CB,1.0,7.0,61.7,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
22.0,Joshua Uche,#55,ED,15.0,66.0,61.5,4.0,6.0,1.0,9.1,2.0,3.1,0.0,4.3,1 (0)
23.0,Trysten Hill,#97,DI,1.0,2.0,60.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
24.0,Jeremiah Pharms Jr.,#70,DI,12.0,48.0,59.5,5.0,3.0,1.0,11.1,3.0,6.7,0.0,2.8,0 (0)
25.0,J.C. Jackson,#29,CB,8.0,162.0,58.0,4.0,0.0,0.0,0.0,1.0,0.6,0.0,5.8,4 (0)
26.0,Calvin Munson,#43,LB,1.0,4.0,53.4,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
27.0,Davon Godchaux,#92,DI,17.0,351.0,51.6,36.0,18.0,3.0,5.3,23.0,6.7,0.0,2.6,1 (0)
28.0,Marte Mapu,#30,S,12.0,92.0,51.4,2.0,1.0,0.0,0.0,1.0,1.1,0.0,8.5,2 (0)
29.0,Deatrich Wise Jr.,#91,ED,16.0,223.0,49.7,23.0,18.0,1.0,2.4,15.0,6.8,0.0,3.8,4 (0)
30.0,Lawrence Guy Sr.,#93,DI,17.0,301.0,47.3,21.0,18.0,1.0,2.5,19.0,6.5,0.0,2.2,0 (0)
31.0,Sam Roberts,#96,DI,7.0,45.0,39.7,3.0,2.0,1.0,16.7,2.0,4.4,0.0,2.7,0 (0)
,,,,,,,,,,,,,,,
