"season","game_type","team","week","gsis_id","position","full_name","first_name","last_name","report_primary_injury","report_secondary_injury","report_status","practice_primary_injury","practice_secondary_injury","practice_status","date_modified"
2023,"REG","NE",1,"00-0032071","T","Trenton Brown","Trenton","Brown",NA,NA,NA,"Illness",NA,"Limited Participation in Practice",2023-09-06 20:06:28
2023,"REG","NE",1,"00-0038039","CB","Jack Jones","Jack","Jones","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2023-09-08 20:05:36
2023,"REG","NE",1,"00-0038132","QB","Matt Corral","Matt","Corral","Not injury related - personal matter",NA,"Questionable","Not Injury Related",NA,"Did Not Participate In Practice",2023-09-08 21:16:04
2023,"REG","NE",1,"00-0036875","RB","Rhamondre Stevenson","Rhamondre","Stevenson","Illness",NA,"Questionable","Illness",NA,"Did Not Participate In Practice",2023-09-08 20:05:24
2023,"REG","NE",1,"00-0036198","G","Michael Onwenu","Michael","Onwenu","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-09-08 20:05:24
2023,"REG","NE",1,"00-0031547","WR","DeVante Parker","DeVante","Parker","Knee",NA,"Questionable","Knee",NA,"Limited Participation in Practice",2023-09-08 20:05:24
2023,"REG","NE",1,"00-0038103","G","Cole Strange","Cole","Strange","Knee",NA,"Questionable","Knee",NA,"Limited Participation in Practice",2023-09-08 20:05:24
2023,"REG","NE",2,"00-0031852","C","David Andrews","David","Andrews",NA,NA,NA,"Hamstring",NA,"Limited Participation in Practice",2023-09-14 19:52:11
2023,"REG","NE",2,"00-0038608","WR","Kayshon Boutte","Kayshon","Boutte",NA,NA,NA,"Hamstring",NA,"Limited Participation in Practice",2023-09-14 19:52:11
2023,"REG","NE",2,"00-0032071","T","Trenton Brown","Trenton","Brown","Concussion",NA,"Questionable","Concussion",NA,"Did Not Participate In Practice",2023-09-15 19:31:23
2023,"REG","NE",2,"00-0032580","CB","Jonathan Jones","Jonathan","Jones","Ankle",NA,"Questionable","Ankle",NA,"Did Not Participate In Practice",2023-09-15 19:31:23
2023,"REG","NE",2,"00-0038569","T","Sidy Sow","Sidy","Sow","Concussion",NA,"Questionable","Concussion",NA,"Did Not Participate In Practice",2023-09-15 19:31:23
2023,"REG","NE",2,"00-0036198","G","Michael Onwenu","Michael","Onwenu","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-09-15 19:31:23
2023,"REG","NE",2,"00-0031547","WR","DeVante Parker","DeVante","Parker","Knee",NA,"Questionable","Knee",NA,"Limited Participation in Practice",2023-09-15 19:31:23
2023,"REG","NE",2,"00-0038103","G","Cole Strange","Cole","Strange","Knee",NA,"Questionable","Knee",NA,"Limited Participation in Practice",2023-09-15 19:31:23
2023,"REG","NE",3,"00-0033860","DT","Davon Godchaux","Davon","Godchaux",NA,NA,NA,"Not injury related - personal matter",NA,"Did Not Participate In Practice",2023-09-20 19:50:29
2023,"REG","NE",3,"00-0037253","CB","Marcus Jones","Marcus","Jones",NA,NA,NA,"Shoulder",NA,"Did Not Participate In Practice",2023-09-21 19:41:24
2023,"REG","NE",3,"00-0032071","T","Trenton Brown","Trenton","Brown",NA,NA,NA,"Concussion",NA,"Limited Participation in Practice",2023-09-21 19:41:24
2023,"REG","NE",3,"00-0031547","WR","DeVante Parker","DeVante","Parker",NA,NA,NA,"Knee",NA,"Limited Participation in Practice",2023-09-21 19:41:24
2023,"REG","NE",3,"00-0036981","DT","Christian Barmore","Christian","Barmore","Knee",NA,"Questionable","Knee",NA,"Limited Participation in Practice",2023-09-22 19:46:30
2023,"REG","NE",3,"00-0032580","CB","Jonathan Jones","Jonathan","Jones","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-09-22 19:46:30
2023,"REG","NE",3,"00-0036198","G","Michael Onwenu","Michael","Onwenu","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-09-22 19:46:30
2023,"REG","NE",3,"00-0038569","T","Sidy Sow","Sidy","Sow","Concussion",NA,"Questionable","Concussion",NA,"Limited Participation in Practice",2023-09-22 19:46:30
2023,"REG","NE",3,"00-0038103","G","Cole Strange","Cole","Strange","Knee",NA,"Questionable","Knee",NA,"Limited Participation in Practice",2023-09-22 19:46:30
2023,"REG","NE",4,"00-0038569","T","Sidy Sow","Sidy","Sow",NA,NA,NA,"Concussion",NA,"Limited Participation in Practice",2023-09-28 19:58:53
2023,"REG","NE",4,"00-0036981","DT","Christian Barmore","Christian","Barmore","Knee",NA,"Questionable","Knee",NA,"Limited Participation in Practice",2023-09-29 19:09:37
2023,"REG","NE",4,"00-0033860","DT","Davon Godchaux","Davon","Godchaux","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-09-29 19:09:37
2023,"REG","NE",4,"00-0032580","CB","Jonathan Jones","Jonathan","Jones","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-09-29 19:09:37
2023,"REG","NE",4,"00-0038103","G","Cole Strange","Cole","Strange","Knee",NA,"Questionable","Knee",NA,"Limited Participation in Practice",2023-09-29 19:09:37
2023,"REG","NE",4,"00-0036559","CB","Shaun Wade","Shaun","Wade","Shoulder",NA,"Questionable","Shoulder",NA,"Limited Participation in Practice",2023-09-29 19:09:37
2023,"REG","NE",5,"00-0032200","RB","Ty Montgomery","Ty","Montgomery",NA,NA,NA,"Illness",NA,"Limited Participation in Practice",2023-10-05 19:59:15
2023,"REG","NE",5,"00-0039147","CB","Christian Gonzalez","Christian","Gonzalez","Shoulder",NA,"Questionable","Shoulder",NA,"Did Not Participate In Practice",2023-10-06 19:35:31
2023,"REG","NE",5,"00-0032415","LB","Matt Judon","Matt","Judon","Elbow",NA,"Questionable","Elbow",NA,"Did Not Participate In Practice",2023-10-06 19:35:31
2023,"REG","NE",5,"00-0036981","DT","Christian Barmore","Christian","Barmore","Knee",NA,"Questionable","Knee",NA,"Limited Participation in Practice",2023-10-06 19:35:31
2023,"REG","NE",5,"00-0032071","T","Trenton Brown","Trenton","Brown","Chest",NA,"Questionable","Chest",NA,"Limited Participation in Practice",2023-10-06 19:35:31
2023,"REG","NE",5,"00-0029764","S","Cody Davis","Cody","Davis","Knee",NA,"Questionable","Knee",NA,"Limited Participation in Practice",2023-10-06 19:35:31
2023,"REG","NE",5,"00-0031566","DE","Trey Flowers","Trey","Flowers","Foot",NA,"Questionable","Foot",NA,"Limited Participation in Practice",2023-10-06 19:35:31
2023,"REG","NE",5,"00-0033860","DT","Davon Godchaux","Davon","Godchaux","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-10-06 19:35:31
2023,"REG","NE",5,"00-0032580","CB","Jonathan Jones","Jonathan","Jones","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-10-06 19:35:31
2023,"REG","NE",5,"00-0029672","T","Riley Reiff","Riley","Reiff","Knee",NA,"Questionable","Knee",NA,"Limited Participation in Practice",2023-10-06 19:35:31
2023,"REG","NE",5,"00-0036875","RB","Rhamondre Stevenson","Rhamondre","Stevenson","Thigh",NA,"Questionable","Thigh",NA,"Limited Participation in Practice",2023-10-06 19:35:31
2023,"REG","NE",5,"00-0038103","G","Cole Strange","Cole","Strange","Knee",NA,"Questionable","Knee",NA,"Limited Participation in Practice",2023-10-06 19:35:31
2023,"REG","NE",5,"00-0036559","CB","Shaun Wade","Shaun","Wade","Shoulder",NA,"Questionable","Shoulder",NA,"Limited Participation in Practice",2023-10-06 19:35:31
2023,"REG","NE",6,"00-0038621","WR","Demario Douglas","Demario","Douglas","Concussion",NA,"Out","Concussion",NA,"Did Not Participate In Practice",2023-10-13 18:27:08
2023,"REG","NE",6,"00-0032415","LB","Matt Judon","Matt","Judon","Elbow",NA,"Out","Elbow",NA,"Did Not Participate In Practice",2023-10-13 18:27:17
2023,"REG","NE",6,"00-0033857","WR","JuJu Smith-Schuster","JuJu","Smith-Schuster","Concussion",NA,"Out","Concussion",NA,"Did Not Participate In Practice",2023-10-13 18:27:37
