Player,JerseyNumber,Position,GamesPlayed,PassBlockingTotalSnaps,PassBlockingTotalSnaps.1,PassBlockingTotalSnapsPercentage,PassBlockingGrade,PassBlockingPenalties,PassBlockingPressuresAllowedTotalSnaps,PassBlockingPressuresAllowedTotalSnapsPercentage,PassBlockingPressuresAllowedSacks,PassBlockingPressuresAllowedHits,PassBlockingPressuresAllowedHurries,PassBlockingPressuresAllowedTotal,PassBlockingPressuresAllowedEfficiency,TruePassSetSnaps,TruePassSetSnaps.1,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetPressuresAllowedTotalSnaps,TruePassSetPressuresAllowedTotalSnapsPercentage,TruePassSetPressuresAllowedSacks,TruePassSetPressuresAllowedHits,TruePassSetPressuresAllowedHurries,TruePassSetPressuresAllowedTotal,TruePassSetPressuresAllowedEfficiency
Mike Gesicki,#88,TE,17.0,354.0,4.0,1.1,78.7,0 (0),4.0,1.2,0.0,0.0,0.0,0.0,100.0,174.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Kevin Harris,#36,HB,4.0,16.0,3.0,18.8,77.3,0 (0),3.0,18.8,0.0,0.0,0.0,0.0,100.0,4.0,2.0,50.0,77.1,2.0,50.0,0.0,0.0,0.0,0.0,100.0
Hunter Henry,#85,TE,14.0,414.0,26.0,6.3,74.8,3 (1),25.0,6.3,0.0,0.0,0.0,0.0,100.0,200.0,3.0,1.5,70.0,3.0,1.6,0.0,0.0,0.0,0.0,100.0
Trent Brown,#77,T,11.0,346.0,346.0,100.0,72.8,1 (1),334.0,100.0,3.0,6.0,8.0,17.0,97.0,169.0,169.0,100.0,65.7,163.0,100.0,3.0,5.0,6.0,14.0,94.8
Rhamondre Stevenson,#38,HB,12.0,308.0,50.0,16.2,72.7,0 (0),48.0,16.1,1.0,0.0,3.0,4.0,94.8,147.0,27.0,18.4,81.0,27.0,18.8,1.0,0.0,0.0,1.0,96.3
Matt Sokol,#87,TE,2.0,2.0,1.0,50.0,69.6,0 (0),1.0,50.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Mike Onwenu,#71,T,15.0,505.0,505.0,100.0,68.0,0 (0),489.0,100.0,3.0,2.0,18.0,23.0,97.3,234.0,234.0,100.0,56.5,225.0,100.0,2.0,2.0,13.0,17.0,95.8
Conor McDermott,#75,T,6.0,145.0,145.0,100.0,65.9,2 (0),140.0,100.0,2.0,2.0,10.0,14.0,94.3,71.0,71.0,100.0,60.9,67.0,100.0,0.0,2.0,5.0,7.0,94.8
Riley Reiff,#74,G,1.0,29.0,29.0,100.0,63.4,0 (0),27.0,100.0,0.0,0.0,1.0,1.0,98.1,20.0,20.0,100.0,61.5,18.0,100.0,0.0,0.0,1.0,1.0,97.2
Pharaoh Brown,#86,TE,17.0,157.0,40.0,25.5,60.1,0 (0),39.0,25.5,0.0,0.0,3.0,3.0,96.2,36.0,1.0,2.8,68.1,1.0,2.8,0.0,0.0,0.0,0.0,100.0
Cole Strange,#69,G,10.0,340.0,340.0,100.0,57.7,1 (0),327.0,100.0,3.0,3.0,16.0,22.0,96.2,158.0,158.0,100.0,40.2,152.0,100.0,2.0,3.0,11.0,16.0,94.1
David Andrews,#60,C,17.0,649.0,649.0,100.0,51.2,1 (1),626.0,100.0,6.0,2.0,22.0,30.0,97.1,314.0,314.0,100.0,42.7,303.0,100.0,5.0,1.0,16.0,22.0,95.5
Sidy Sow,#62,G,13.0,486.0,486.0,100.0,46.3,1 (0),470.0,100.0,5.0,4.0,18.0,27.0,96.6,230.0,230.0,100.0,31.4,221.0,100.0,5.0,4.0,13.0,22.0,93.9
Calvin Anderson,#76,T,2.0,110.0,110.0,100.0,38.4,1 (0),105.0,100.0,1.0,2.0,6.0,9.0,95.2,58.0,58.0,100.0,29.4,57.0,100.0,1.0,2.0,6.0,9.0,91.2
Ezekiel Elliott,#15,HB,17.0,326.0,69.0,21.2,37.1,0 (0),67.0,21.4,2.0,3.0,7.0,12.0,89.6,160.0,39.0,24.4,26.3,37.0,24.3,2.0,3.0,4.0,9.0,85.1
Vederian Lowe,#59,T,11.0,290.0,290.0,100.0,36.0,1 (0),279.0,100.0,6.0,3.0,29.0,38.0,92.1,143.0,143.0,100.0,27.2,140.0,100.0,5.0,2.0,24.0,31.0,87.1
Jake Andrews,#67,G,2.0,47.0,47.0,100.0,34.2,0 (0),47.0,100.0,0.0,0.0,4.0,4.0,95.7,27.0,27.0,100.0,10.9,27.0,100.0,0.0,0.0,4.0,4.0,92.6
Atonio Mafi,#68,G,12.0,296.0,296.0,100.0,27.7,5 (2),284.0,100.0,5.0,3.0,24.0,32.0,93.5,146.0,146.0,100.0,14.3,142.0,100.0,5.0,1.0,18.0,24.0,89.8
James Ferentz,#65,G,1.0,2.0,2.0,100.0,0.0,0 (0),2.0,100.0,1.0,0.0,0.0,1.0,50.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
