OFFENSE_2023_OFFENSE_2023_Rank,OFFENSE_2023_OFFENSE_2023_Player,OFFENSE_2023_OFFENSE_2023_JerseyNumber,OFFENSE_2023_OFFENSE_2023_Position,OFFENSE_2023_OFFENSE_2023_GamesPlayed,OFFENSE_2023_OFFENSE_2023_OffenseTotalSnaps,OFFENSE_2023_OFFENSE_2023_OffensePassingSnaps,OFFENSE_2023_OFFENSE_2023_OffensePassBlockingSnaps,OFFENSE_2023_OFFENSE_2023_OffenseRushingSnaps,OFFENSE_2023_OFFENSE_2023_OffenseRunBlockingSnaps,OFFENSE_2023_OFFENSE_2023_OffenseOverallGrade,OFFENSE_2023_OFFENSE_2023_OffensePassingGrade,OFFENSE_2023_OFFENSE_2023_OffensePassBlockingGrade,OFFENSE_2023_OFFENSE_2023_OffenseRushingGrade,OFFENSE_2023_OFFENSE_2023_OffenseRunBlockingGrade,OFFENSE_2023_OFFENSE_2023_OffensePenalties
1.0,Trent Brown,#77,T,11.0,579,0.0,346.0,0.0,233.0,80.2,-,72.8,-,80.7,2 (1)
2.0,Kevin Harris,#36,HB,4.0,34,13.0,3.0,16.0,2.0,76.5,84.6,77.3,73.2,46.2,0 (0)
3.0,Demario Douglas,#81,WR,14.0,482,337.0,0.0,8.0,137.0,74.4,75.6,-,58.7,58.5,2 (0)
4.0,Pharaoh Brown,#86,TE,17.0,399,117.0,40.0,0.0,242.0,73.3,76.5,60.1,-,63.3,0 (0)
5.0,Mike Onwenu,#71,T,15.0,850,0.0,505.0,0.0,345.0,71.5,-,68.0,-,72.2,4 (0)
6.0,Rhamondre Stevenson,#38,HB,12.0,484,258.0,50.0,159.0,17.0,71.3,51.2,72.7,78.7,29.3,0 (0)
7.0,David Andrews,#60,C,17.0,"1,050",0.0,649.0,0.0,401.0,71.2,-,51.2,-,78.0,1 (1)
8.0,Hunter Henry,#85,TE,14.0,663,388.0,26.0,0.0,249.0,69.3,72.2,74.8,-,55.8,5 (1)
9.0,Conor McDermott,#75,T,6.0,227,0.0,145.0,0.0,82.0,67.8,-,65.9,-,68.0,3 (0)
10.0,Ezekiel Elliott,#15,HB,17.0,540,257.0,69.0,188.0,26.0,67.6,66.3,37.1,69.2,55.7,0 (0)
11.0,Kendrick Bourne,#84,WR,8.0,371,247.0,0.0,1.0,123.0,67.2,69.7,-,62.0,46.5,3 (0)
12.0,Cole Strange,#69,G,10.0,564,0.0,340.0,0.0,224.0,64.6,-,57.7,-,66.2,2 (0)
13.0,Sidy Sow,#62,G,13.0,772,0.0,486.0,0.0,286.0,64.4,-,46.3,-,71.3,2 (0)
14.0,DeVante Parker,#01,WR,13.0,579,362.0,0.0,0.0,217.0,61.2,62.5,-,-,44.4,1 (0)
15.0,Riley Reiff,#74,G,1.0,45,0.0,29.0,0.0,16.0,60.0,-,63.4,-,57.0,0 (0)
16.0,Marcus Jones,#25,CB,1.0,1,1.0,0.0,0.0,0.0,57.7,59.3,-,-,-,0 (0)
17.0,Tyquan Thornton,#11,WR,9.0,224,141.0,0.0,3.0,80.0,57.6,54.4,-,73.6,65.9,0 (0)
18.0,JuJu Smith-Schuster,#07,WR,11.0,459,256.0,0.0,0.0,203.0,57.0,59.0,-,-,52.1,4 (0)
19.0,Mike Gesicki,#88,TE,17.0,528,350.0,4.0,0.0,174.0,55.7,58.3,78.7,-,35.1,0 (0)
20.0,Ty Montgomery,#14,WR,10.0,42,32.0,0.0,3.0,7.0,55.5,55.1,-,61.4,47.8,1 (0)
21.0,Malik Cunningham,#16,QB,1.0,6,4.0,0.0,0.0,2.0,53.7,56.9,-,-,60.0,0 (0)
22.0,Jake Andrews,#67,G,2.0,71,0.0,47.0,0.0,24.0,53.0,-,34.2,-,60.8,0 (0)
23.0,Bailey Zappe,#04,QB,10.0,413,253.0,0.0,7.0,153.0,52.2,51.1,-,63.3,60.1,1 (0)
23.0,Mac Jones,#10,QB,11.0,634,395.0,0.0,15.0,224.0,52.2,52.2,-,61.3,60.1,4 (0)
25.0,Jalen Reagor,#83,WR,11.0,309,204.0,0.0,1.0,104.0,51.4,53.5,-,63.1,33.5,1 (0)
26.0,Kayshon Boutte,#80,WR,5.0,117,85.0,0.0,0.0,32.0,47.1,47.4,-,-,51.7,0 (0)
27.0,Calvin Anderson,#76,T,2.0,154,0.0,110.0,0.0,44.0,44.6,-,38.4,-,49.1,1 (0)
28.0,Vederian Lowe,#59,T,11.0,476,0.0,290.0,0.0,186.0,41.7,-,36.0,-,49.3,2 (0)
28.0,Matt Sokol,#87,TE,3.0,14,1.0,1.0,0.0,12.0,41.7,56.6,69.6,-,47.3,0 (0)
30.0,James Ferentz,#65,G,1.0,4,0.0,2.0,0.0,2.0,40.6,-,0.0,-,60.0,0 (0)
31.0,Atonio Mafi,#68,G,12.0,458,0.0,296.0,0.0,162.0,32.3,-,27.7,-,39.9,7 (2)
,,,,,,,,,,,,,,,
