Player,JerseyNumber,Position,GamesPlayed,RushingTotalSnaps,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingFumbles,RushingOverallGrade,RushingGrade,RushingFumbles.1,RushingRunBlockingGrade,RushingYardsAfterContact,RushingYardsAfterContactPerAttempt,RushingMissedTacklesForced,RushingLongestRush,Rushing10PlusYardRuns,RushingYardsInZoneScheme,RushingYardsInGapScheme,RushingScrambles,RushingScrambleYards,RushingDesignedYards,Rushing15PlusYardRuns,RushingBreakawayYards,RushingBreakawayPercentage,RushingFirstDowns,RushingPenalties,RushingReceivingGrade,RushingPassBlockingGrade,RushingTargets,RushingReceptions,RushingReceivingYards,RushingReceivingSnaps,RushingYardsPerRouteRun,RushingDrops,RushingElusiveRating
Rhamondre Stevenson,#38,HB,12.0,176.0,156.0,619.0,4.0,4.0,1.0,71.3,78.7,77.3,29.3,437.0,2.8,30.0,64.0,10.0,66.0,81.0,0.0,0.0,619.0,3.0,94.0,15.2,36.0,0 (0),51.2,72.7,48.0,38.0,238.0,251.0,0.95,4.0,54.9
Tyquan Thornton,#11,WR,9.0,83.0,3.0,51.0,17.0,0.0,0.0,57.6,73.6,73.8,65.9,47.0,15.67,2.0,39.0,1.0,0.0,0.0,0.0,0.0,51.0,1.0,39.0,76.5,1.0,0 (0),54.4,-,22.0,13.0,91.0,137.0,0.66,2.0,195.8
Kevin Harris,#36,HB,4.0,18.0,16.0,65.0,4.1,1.0,0.0,76.5,73.2,76.9,46.2,40.0,2.5,1.0,18.0,2.0,3.0,13.0,0.0,0.0,65.0,2.0,33.0,50.8,2.0,0 (0),84.6,77.3,3.0,3.0,58.0,13.0,4.46,0.0,13.2
Ezekiel Elliott,#15,HB,17.0,214.0,184.0,642.0,3.5,3.0,2.0,67.6,69.2,55.2,55.7,466.0,2.53,24.0,17.0,8.0,69.0,104.0,0.0,0.0,642.0,1.0,17.0,2.6,32.0,0 (0),66.3,37.1,61.0,51.0,313.0,247.0,1.27,3.0,36.6
Bailey Zappe,#04,QB,10.0,160.0,17.0,83.0,4.9,1.0,2.0,52.2,63.3,62.2,60.1,33.0,1.94,1.0,18.0,3.0,0.0,0.0,10.0,76.0,7.0,0.0,0.0,0.0,6.0,1 (0),-,-,0.0,0.0,0.0,0.0,,0.0,0.0
Jalen Reagor,#83,WR,11.0,105.0,1.0,17.0,17.0,0.0,0.0,51.4,63.1,75.7,33.5,8.0,8.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,17.0,1.0,17.0,100.0,1.0,1 (0),53.5,-,22.0,7.0,138.0,198.0,0.7,1.0,0.0
Kendrick Bourne,#84,WR,8.0,124.0,1.0,4.0,4.0,0.0,1.0,67.2,62.0,29.3,46.5,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,3 (0),69.7,-,55.0,37.0,406.0,235.0,1.73,0.0,84.2
Ty Montgomery,#14,WR,10.0,10.0,3.0,9.0,3.0,0.0,0.0,55.5,61.4,77.0,47.8,4.0,1.33,0.0,7.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1 (0),55.1,-,11.0,5.0,40.0,32.0,1.25,2.0,0.0
Mac Jones,#10,QB,11.0,239.0,26.0,96.0,3.7,0.0,3.0,52.2,61.3,53.8,60.1,23.0,0.88,2.0,18.0,2.0,0.0,0.0,12.0,85.0,11.0,0.0,0.0,0.0,11.0,4 (0),-,-,0.0,0.0,0.0,0.0,,0.0,0.0
Demario Douglas,#81,WR,14.0,145.0,8.0,41.0,5.1,0.0,1.0,74.4,58.7,57.6,58.5,30.0,3.75,2.0,20.0,1.0,0.0,0.0,0.0,0.0,41.0,1.0,20.0,48.8,2.0,2 (0),75.6,-,76.0,49.0,561.0,330.0,1.7,2.0,92.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
