season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2023,NE,WR,WR,18.0,ACT,Matt Slater,Matthew,Slater,1985-09-09,72.0,205,UCLA,00-0026293,11387.0,9d404288-65c5-414f-8ea5-ceb97eccaea0,8930.0,5786.0,4467.0,SlatMa00,7651.0,312.0,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cs1ojdzhxjuanbw6vflv",,18,REG,A01,Matt,SLA420538,33234,3200534c-4142-0538-6b7d-15160d047894,2008,2008.0,NE,153.0
2023,NE,DB,FS,32.0,RET,Devin McCourty,Devin,McCourty,1987-08-13,70.0,195,Rutgers,00-0027647,13236.0,88d2dbf4-3b9f-43ea-bac6-a8722cb24f43,24002.0,6621.0,5552.0,McCoDe99,10978.0,518.0,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ykgtrwxckxvxdvadgqjf",,18,REG,R02,Devin,MCC600258,35466,32004d43-4360-0258-e4c2-62745bb56c73,2010,2010.0,NE,27.0
2023,NE,DL,DT,93.0,ACT,Lawrence Guy,Lawrence,Guy,1990-03-17,76.0,315,Arizona State,00-0028171,14185.0,0861a57d-b468-4c21-ba3a-7523b6838ed0,25020.0,7472.0,6385.0,GuyxLa00,14743.0,1288.0,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jyc3hf6lyt5js3b7oon8",EDGE,18,REG,A01,Lawrence,GUY230716,37308,32004755-5923-0716-9c19-5d5221f839e8,2011,2011.0,GB,233.0
2023,NE,OL,T,74.0,RES,Riley Reiff,Riley,Reiff,1988-12-01,78.0,305,Iowa,00-0029672,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o7mwtkt8hoi05yvuijzc",,18,REG,R01,Riley,REI392998,38553,32005245-4939-2998-df0a-597d7cb2faca,2012,2012.0,DET,23.0
2023,NE,DB,FS,22.0,ACT,Cody Davis,Cody,Davis,1989-06-06,74.0,203,Texas Tech,00-0029764,16286.0,4f454037-be8e-4575-b332-5e40f4788970,27105.0,9173.0,8458.0,,15208.0,1565.0,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pdijtrs1tnltal8g6cmx",,18,REG,A01,Cody,DAV247918,40217,32004441-5624-7918-7ceb-9a12194677dc,2013,2013.0,,
2023,NE,OL,C,65.0,ACT,James Ferentz,James,Ferentz,1989-06-05,74.0,300,Iowa,00-0031039,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/m0pbykgz2kfnrpjfj8sa",,18,REG,A01,James,FER026916,41069,32004645-5202-6916-80b1-b8cb27d18783,2014,2014.0,,
2023,NE,DB,FS,21.0,ACT,Adrian Phillips,Adrian,Phillips,1992-03-28,71.0,210,Texas,00-0031404,17487.0,3c119ef7-fe68-439d-93e4-89ab4fd1df44,28303.0,10002.0,9177.0,,16724.0,2287.0,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bfbt4o1jp3ttsm18v0ur",,18,REG,A01,Adrian,PHI113173,42116,32005048-4911-3173-b663-47be73764dc8,2014,2014.0,,
2023,NE,WR,WR,1.0,ACT,DeVante Parker,DeVante,Parker,1993-01-20,75.0,216,Louisville,00-0031547,2576623.0,e9ee9209-dd8f-4e4a-be3c-407756a2749c,28402.0,10152.0,9447.0,ParkDe01,16775.0,2319.0,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/beuyfjou6kckaoqqpa96",WR,18,REG,A01,DeVante,PAR226609,42357,32005041-5222-6609-dc38-38b3aae27410,2015,2015.0,MIA,14.0
2023,NE,LB,OLB,58.0,CUT,Trey Flowers,Trey,Flowers,1993-08-16,74.0,265,Arkansas,00-0031566,2574519.0,57deb6ba-ce26-4ccc-a859-adf0564fb78e,28489.0,10323.0,9534.0,FlowTr00,16862.0,2406.0,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jxfkoekid7f3z5l3qxbx",,8,REG,R04,Trey,FLO572739,42444,3200464c-4f57-2739-d4c4-68015d49f058,2015,2015.0,NE,101.0
2023,NE,OL,C,60.0,ACT,David Andrews,Jams,Andrews,1992-07-10,75.0,300,Georgia,00-0031852,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wgk8dyj0opob0dgutfz6",C,18,REG,A01,David,AND652945,42883,3200414e-4465-2945-5c46-ad9c6f0fca0d,2015,2015.0,,
