player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Derek Carr,2023,4,150.0,37.5,100.0,0.167,170.418149,42.604537,113.6121,00-0031280,2023,NO,QB,QB,4.0,1991-03-28,OAK,36.0,33.0
Jameis Winston,2023,1,4.0,4.0,4.0,0.018,4.544484,4.544484,4.544484,00-0031503,2023,NO,QB,QB,2.0,1994-01-06,TB,1.0,30.0
Taysom Hill,2021,4,40.0,10.0,21.5,0.055,55.978082,13.994521,30.088219,00-0033357,2023,NO,QB,QB,7.0,1990-08-23,,,33.0
Jake Haener,2023,4,4.544812,1.136203,0.704812,0.005,5.163456,1.290864,0.800752,00-0038998,2023,NO,QB,QB,3.0,1999-03-10,NO,127.0,25.0
Alvin Kamara,2020,5,75.0,15.0,34.333333,0.076,96.644803,19.328961,44.241843,00-0033906,2023,NO,RB,RB,41.0,1995-07-25,NO,67.0,28.0
Jamaal Williams,2023,3,12.0,4.0,8.15,0.018,13.633452,4.544484,9.259386,00-0033948,2023,NO,RB,RB,21.0,1995-04-03,GB,134.0,29.0
James Robinson,2023,2,4.0,2.0,0.15,0.009,4.544484,2.272242,0.170418,00-0035831,2023,NO,RB,RB,26.0,1998-08-09,,,25.0
Darrel Williams,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0034301,2023,NO,RB,RB,34.0,1995-04-15,,,29.0
Kendre Miller,2023,4,5.654312,1.413578,1.112228,0.006,6.423983,1.605996,1.263626,00-0038551,2023,NO,RB,RB,25.0,2002-06-11,NO,71.0,21.0
Lynn Bowden,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0036364,2023,NO,WR,WR,5.0,1997-10-14,LV,80.0,26.0
Eno Benjamin,2020,4,3.397716,0.849429,0.102716,0.004,4.378288,1.094572,0.13236,00-0036383,2023,NO,RB,RB,26.0,1999-04-13,ARI,222.0,25.0
Jordan Mims,2023,3,2.707,0.902333,0.012,0.004,3.07548,1.025159,0.013633,00-0038678,2023,NO,RB,RB,33.0,1999-06-16,,,24.0
Adam Prentice,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0036727,2023,NO,RB,FB,46.0,1997-01-16,,,27.0
Jake Bargas,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0035975,2023,NO,RB,RB,47.0,1996-11-28,,,27.0
Michael Thomas,2023,1,10.0,10.0,6.26,0.044,11.36121,11.36121,7.112117,00-0032765,2023,NO,WR,WR,13.0,1993-03-03,NO,47.0,31.0
Chris Olave,2022,4,19.271872,4.817968,19.271872,0.023,23.640904,5.910226,23.640904,00-0037239,2023,NO,WR,WR,12.0,2000-06-27,NO,11.0,23.0
Marquez Callaway,2023,1,1.135,1.135,0.3025,0.005,1.289497,1.289497,0.343677,00-0036219,2023,NO,WR,WR,10.0,1998-03-27,,,26.0
Kawaan Baker,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0036939,2023,NO,WR,WR,15.0,,NO,255.0,
Keith Kirkwood,2023,1,1.01,1.01,0.0,0.004,1.147482,1.147482,0.0,00-0034317,2023,NO,WR,WR,18.0,1994-12-26,,,29.0
A.T. Perry,2023,4,4.016364,1.004091,0.176364,0.004,4.563075,1.140769,0.200371,00-0038612,2023,NO,WR,WR,17.0,1999-10-26,NO,195.0,24.0
Kirk Merritt,2023,1,0.216,0.216,0.0,0.001,0.245402,0.245402,0.0,00-0035844,2023,NO,WR,WR,33.0,1997-01-05,,,27.0
Jontre Kirklin,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037553,2023,NO,WR,WR,85.0,1998-10-09,,,25.0
Rashid Shaheed,2022,3,2.575,0.858333,0.222,0.004,3.158766,1.052921,0.272329,00-0037545,2023,NO,WR,WR,22.0,1998-08-31,,,25.0
Shaq Davis,2023,3,2.705,0.901667,0.226,0.004,3.073207,1.024403,0.256763,00-0038902,2023,NO,WR,WR,88.0,2000-02-08,,,24.0
Juwan Johnson,2023,2,12.01,6.005,8.51,0.027,13.644813,6.822407,9.66839,00-0036040,2023,NO,TE,TE,83.0,1996-09-13,,,27.0
Jimmy Graham,2023,1,1.3175,1.3175,0.1525,0.006,1.496839,1.496839,0.173258,00-0027696,2023,NO,TE,TE,80.0,1986-11-24,NO,95.0,37.0
Foster Moreau,2023,3,12.234,4.078,8.02,0.018,13.899304,4.633101,9.11169,00-0034981,2023,NO,TE,TE,87.0,1997-05-06,OAK,137.0,26.0
J.P. Holtz,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0032986,2023,NO,TE,TE,86.0,1993-08-28,,,30.0
Michael Jacobson,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037022,2023,NO,TE,TE,86.0,1997-04-04,,,27.0
Tommy Hudson,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0036173,2023,NO,TE,TE,89.0,1997-02-22,,,27.0
Andrus Peat,2023,1,5.5,5.5,5.5,0.024,6.248665,6.248665,6.248665,00-0032203,2023,NO,OL,G,75.0,1993-11-04,NO,13.0,30.0
Trevor Penning,2022,4,14.143316,3.535829,14.143316,0.017,17.349678,4.337419,17.349678,00-0037241,2023,NO,OL,T,70.0,1999-05-15,NO,19.0,24.0
James Hurst,2022,1,3.25,3.25,1.305,0.016,3.986792,3.986792,1.60085,00-0030694,2023,NO,OL,T,74.0,1991-12-17,,,32.0
Nick Saldiveri,2023,4,4.74528,1.18632,0.84228,0.005,5.391212,1.347803,0.956932,00-0038566,2023,NO,OL,G,64.0,2000-08-14,NO,103.0,23.0
Max Garcia,2023,1,1.165,1.165,0.0,0.005,1.323581,1.323581,0.0,00-0032132,2023,NO,OL,G,73.0,1991-11-09,DEN,133.0,32.0
Tommy Kraemer,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0036749,2023,NO,OL,G,62.0,1998-04-16,,,26.0
Mark Evans II,2023,3,2.72,0.906667,0.241,0.004,3.090249,1.030083,0.273805,00-0038903,2023,NO,OL,T,68.0,1999-10-11,,,24.0
Erik McCoy,2022,5,60.0,12.0,33.0,0.058,73.602305,14.720461,40.481268,00-0035242,2023,NO,OL,C,78.0,1997-08-27,NO,48.0,26.0
Alex Pihlstrom,2023,3,2.705,0.901667,0.06,0.004,3.073207,1.024403,0.068167,00-0038909,2023,NO,OL,T,65.0,,,,
Cesar Ruiz,2023,4,44.0,11.0,30.0,0.049,49.989324,12.497331,34.08363,00-0036408,2023,NO,OL,G,51.0,1999-06-14,NO,24.0,24.0
Trai Turner,2023,1,1.3175,1.3175,0.1525,0.006,1.496839,1.496839,0.173258,00-0031362,2023,NO,OL,G,59.0,1993-06-14,CAR,92.0,30.0
