DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_Rank,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_Player,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_JerseyNumber,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_Position,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_GamesPlayed,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushTotalSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushSnapsPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushGrade,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushPenalties,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushTotalPressures,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushSacks,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushHits,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushHurries,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushPressureRate,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushWinPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushBattedPasses,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetTotalSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetSnapsPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetGrade,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetTotalPressures,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetSacks,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetHits,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetHurries,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetPressureRate,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetWinPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetBattedPasses
1.0,Nathan Shepherd,#93,DI,17.0,290.0,286.0,98.6,77.4,2 (0),23.0,4.0,4.0,15.0,5.1,12.8,0.0,101.0,101.0,100.0,69.4,13.0,2.0,1.0,10.0,8.4,16.9,0.0
2.0,Jordan Howden,#31,S,15.0,382.0,9.0,2.4,77.1,1 (0),3.0,1.0,1.0,1.0,22.2,33.3,0.0,218.0,5.0,2.3,61.2,1.0,0.0,0.0,1.0,10.0,40.0,0.0
3.0,Demario Davis,#56,LB,17.0,645.0,78.0,12.1,73.9,1 (1),22.0,7.0,3.0,12.0,19.3,12.0,0.0,303.0,54.0,17.8,68.1,13.0,4.0,1.0,8.0,16.0,11.3,0.0
4.0,Khalen Saunders,#99,DI,17.0,246.0,245.0,99.6,68.7,2 (2),14.0,0.0,2.0,12.0,3.1,7.0,1.0,74.0,74.0,100.0,70.8,5.0,0.0,1.0,4.0,3.8,7.7,0.0
5.0,Bryan Bresee,#90,DI,17.0,391.0,386.0,98.7,67.6,5 (0),31.0,5.0,4.0,22.0,4.9,7.3,5.0,222.0,222.0,100.0,69.2,25.0,5.0,3.0,17.0,7.1,8.6,3.0
6.0,Tanoh Kpassagnon,#92,ED,17.0,267.0,264.0,98.9,65.0,0 (0),34.0,4.0,5.0,25.0,7.6,11.6,0.0,152.0,151.0,99.3,71.0,25.0,4.0,4.0,17.0,10.3,17.7,0.0
7.0,Cameron Jordan,#94,ED,17.0,460.0,449.0,97.6,63.8,1 (0),45.0,3.0,3.0,39.0,5.7,11.0,3.0,198.0,196.0,99.0,72.8,24.0,2.0,2.0,20.0,7.2,18.2,0.0
8.0,Carl Granderson,#96,ED,17.0,542.0,522.0,96.3,63.6,4 (0),58.0,9.0,11.0,38.0,6.9,11.5,1.0,265.0,264.0,99.6,67.8,37.0,7.0,7.0,23.0,9.0,14.8,0.0
8.0,Zack Baun,#53,ED,17.0,193.0,137.0,71.0,63.6,0 (0),15.0,2.0,2.0,11.0,6.4,12.0,1.0,111.0,92.0,82.9,59.1,13.0,2.0,2.0,9.0,8.4,10.1,1.0
10.0,PJ Mustipher,#54,DI,4.0,18.0,18.0,100.0,63.2,0 (0),0.0,0.0,0.0,0.0,0.0,11.8,0.0,7.0,7.0,100.0,63.1,0.0,0.0,0.0,0.0,0.0,14.3,0.0
11.0,Malcolm Roach,#97,DI,12.0,151.0,149.0,98.7,62.9,0 (0),6.0,0.0,2.0,4.0,2.2,4.4,3.0,55.0,55.0,100.0,64.3,2.0,0.0,0.0,2.0,2.1,6.3,2.0
