DEFENSE-RUN_2023_DEFENSE-RUN_2023_Rank,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Player,DEFENSE-RUN_2023_DEFENSE-RUN_2023_JerseyNumber,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Position,DEFENSE-RUN_2023_DEFENSE-RUN_2023_GamesPlayed,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseSnaps,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseGrade,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAssists,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTacklePercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStops,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStopPercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseForcedFumbles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAverageDepthOfTackle,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefensePenalties
1.0,Demario Davis,#56,LB,17.0,429.0,82.8,43.0,26.0,9.0,11.5,26.0,6.3,0.0,3.9,1 (1)
2.0,Nephi Sewell,#45,LB,6.0,32.0,78.2,5.0,1.0,0.0,0.0,5.0,16.1,1.0,-1.0,0 (0)
3.0,Johnathan Abram,#24,S,7.0,74.0,77.8,7.0,4.0,2.0,15.4,5.0,7.0,1.0,4.3,0 (0)
4.0,Isaac Yiadom,#27,CB,13.0,197.0,74.7,9.0,5.0,2.0,12.5,5.0,2.6,0.0,5.6,2 (1)
5.0,Malcolm Roach,#97,DI,12.0,139.0,72.5,26.0,8.0,2.0,5.6,23.0,17.4,0.0,1.5,0 (0)
6.0,D'Marco Jackson,#52,LB,2.0,3.0,72.2,1.0,1.0,0.0,0.0,1.0,33.3,0.0,3.0,0 (0)
7.0,Cameron Jordan,#94,ED,17.0,310.0,72.0,25.0,15.0,3.0,7.0,17.0,5.7,0.0,3.4,1 (0)
8.0,Ugo Amadi,#00,CB,5.0,34.0,71.3,2.0,1.0,1.0,25.0,2.0,6.5,0.0,3.0,0 (0)
9.0,Tyrann Mathieu,#32,S,17.0,432.0,71.1,21.0,9.0,4.0,11.8,7.0,1.7,0.0,7.3,4 (2)
10.0,Carl Granderson,#96,ED,17.0,332.0,70.8,35.0,22.0,5.0,8.1,28.0,8.8,0.0,2.2,4 (0)
