RECEIVING_2023_RECEIVING_2023_Rank,RECEIVING_2023_RECEIVING_2023_Player,RECEIVING_2023_RECEIVING_2023_JerseyNumber,RECEIVING_2023_RECEIVING_2023_Position,RECEIVING_2023_RECEIVING_2023_GamesPlayed,RECEIVING_2023_RECEIVING_2023_ReceivingTargets,RECEIVING_2023_RECEIVING_2023_ReceivingReceptions,RECEIVING_2023_RECEIVING_2023_ReceivingReceptionPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingYards,RECEIVING_2023_RECEIVING_2023_ReceivingYardsPerReception,RECEIVING_2023_RECEIVING_2023_ReceivingTouchdowns,RECEIVING_2023_RECEIVING_2023_ReceivingOverallGrade,RECEIVING_2023_RECEIVING_2023_ReceivingGrade,RECEIVING_2023_RECEIVING_2023_ReceivingDrops,RECEIVING_2023_RECEIVING_2023_ReceivingFumbles,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingGrade,RECEIVING_2023_RECEIVING_2023_ReceivingPassSnaps,RECEIVING_2023_RECEIVING_2023_ReceivingRoutesRun,RECEIVING_2023_RECEIVING_2023_ReceivingTargetPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingSnaps,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingSnapsPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInTheSlot,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInTheSlotPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsWide,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsWidePercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInline,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInlinePercentage,RECEIVING_2023_RECEIVING_2023_ReceivingYardsAfterCatch,RECEIVING_2023_RECEIVING_2023_ReceivingYardsAfterCatchPerReception,RECEIVING_2023_RECEIVING_2023_ReceivingYardsPerRouteRun,RECEIVING_2023_RECEIVING_2023_ReceivingAverageDepthOfTarget,RECEIVING_2023_RECEIVING_2023_ReceivingLongestReception,RECEIVING_2023_RECEIVING_2023_ReceivingDrops.1,RECEIVING_2023_RECEIVING_2023_ReceivingDropPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingContestedTargets,RECEIVING_2023_RECEIVING_2023_ReceivingContestedCatches,RECEIVING_2023_RECEIVING_2023_ReceivingContestedCatchPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingInterceptionsThrownWhenTargeted,RECEIVING_2023_RECEIVING_2023_ReceivingFumbles.1,RECEIVING_2023_RECEIVING_2023_ReceivingMissedTacklesForced,RECEIVING_2023_RECEIVING_2023_ReceivingFirstDowns,RECEIVING_2023_RECEIVING_2023_ReceivingPasserRatingWhenTargeted,RECEIVING_2023_RECEIVING_2023_ReceivingPenalties
1.0,Chris Olave,#12,WR,16.0,138.0,87.0,63.0,"1,123",12.9,5.0,82.5,82.9,71.2,82.7,-,562.0,542.0,96.4,0.0,0.0,221.0,39.3,336.0,59.8,0.0,0.0,355.0,4.1,2.07,13.9,51.0,6.0,6.5,25.0,10.0,40.0,3.0,0.0,4.0,57.0,91.5,1 (0)
2.0,Alvin Kamara,#41,HB,13.0,86.0,75.0,87.2,466,6.2,1.0,74.1,78.4,82.8,90.8,19.2,347.0,269.0,77.5,65.0,18.7,18.0,5.2,18.0,5.2,1.0,0.3,495.0,6.6,1.73,0.1,25.0,3.0,3.8,3.0,1.0,33.3,0.0,0.0,13.0,23.0,93.1,0 (0)
3.0,Kendre Miller,#25,HB,8.0,11.0,10.0,90.9,117,11.7,0.0,74.1,72.7,58.5,82.5,27.4,60.0,54.0,90.0,6.0,10.0,1.0,1.7,3.0,5.0,0.0,0.0,129.0,12.9,2.17,-0.8,33.0,1.0,9.1,0.0,0.0,,0.0,0.0,1.0,5.0,111.0,0 (0)
4.0,Rashid Shaheed,#22,WR,15.0,71.0,46.0,64.8,719,15.6,5.0,69.0,69.4,77.0,71.6,-,446.0,431.0,96.6,0.0,0.0,210.0,47.1,233.0,52.2,0.0,0.0,155.0,3.4,1.67,14.6,58.0,2.0,4.2,9.0,5.0,55.6,3.0,0.0,4.0,27.0,104.1,3 (0)
5.0,Jimmy Graham,#80,TE,12.0,7.0,6.0,85.7,39,6.5,4.0,62.5,68.0,74.6,68.8,27.0,80.0,73.0,91.3,3.0,3.8,39.0,48.8,21.0,26.3,20.0,25.0,4.0,0.7,0.53,8.3,12.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,6.0,129.5,1 (0)
6.0,Michael Thomas,#13,WR,10.0,63.0,39.0,61.9,448,11.5,1.0,67.4,67.8,81.8,77.9,-,333.0,324.0,97.3,0.0,0.0,95.0,28.5,238.0,71.5,0.0,0.0,106.0,2.7,1.38,10.7,31.0,1.0,2.5,17.0,8.0,47.1,1.0,0.0,4.0,21.0,82.0,2 (1)
7.0,Taysom Hill,#07,TE,16.0,39.0,33.0,84.6,291,8.8,2.0,75.3,66.4,79.4,67.7,60.1,256.0,224.0,87.5,4.0,1.6,114.0,44.5,64.0,25.0,55.0,21.5,136.0,4.1,1.3,5.7,36.0,1.0,2.9,5.0,2.0,40.0,0.0,0.0,5.0,11.0,114.9,0 (0)
8.0,Juwan Johnson,#83,TE,13.0,58.0,37.0,63.8,368,9.9,4.0,58.8,66.3,63.4,77.6,46.8,346.0,309.0,89.3,27.0,7.8,198.0,57.2,53.0,15.3,93.0,26.9,149.0,4.0,1.19,8.0,32.0,3.0,7.5,14.0,9.0,64.3,4.0,0.0,5.0,23.0,75.9,5 (2)
9.0,Foster Moreau,#87,TE,15.0,25.0,21.0,84.0,193,9.2,1.0,55.3,61.8,71.3,75.2,52.3,207.0,154.0,74.4,47.0,22.7,51.0,24.6,34.0,16.4,119.0,57.5,101.0,4.8,1.25,4.7,23.0,1.0,4.5,2.0,0.0,0.0,0.0,0.0,1.0,9.0,112.2,4 (0)
10.0,A.T. Perry,#17,WR,10.0,18.0,12.0,66.7,246,20.5,4.0,61.0,61.5,61.8,71.9,-,215.0,208.0,96.7,0.0,0.0,54.0,25.1,161.0,74.9,0.0,0.0,19.0,1.6,1.18,17.3,44.0,1.0,7.7,6.0,4.0,66.7,0.0,0.0,0.0,10.0,149.3,0 (0)
