DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_Rank,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_Player,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_JerseyNumber,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_Position,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_GamesPlayed,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushTotalSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushSnapsPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushGrade,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushPenalties,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushTotalPressures,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushSacks,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushHits,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushHurries,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushPressureRate,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushWinPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_PassRushBattedPasses,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetTotalSnaps,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetSnapsPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetGrade,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetTotalPressures,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetSacks,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetHits,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetHurries,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetPressureRate,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetWinPercentage,DEFENSE-PASS-RUSH_2023_DEFENSE-PASS-RUSH_2023_TruePassSetBattedPasses
1.0,Dexter Lawrence,#97,DI,16.0,451.0,446.0,98.9,92.6,1 (1),65.0,6.0,14.0,45.0,8.4,20.2,1.0,176.0,176.0,100.0,92.9,38.0,5.0,6.0,27.0,13.4,31.1,1.0
2.0,Leonard Williams,#99,DI,8.0,222.0,221.0,99.5,77.2,4 (2),22.0,2.0,4.0,16.0,5.7,12.4,1.0,85.0,85.0,100.0,80.3,14.0,2.0,3.0,9.0,10.7,22.7,0.0
3.0,D.J. Davidson,#98,DI,15.0,113.0,113.0,100.0,68.1,2 (0),4.0,1.0,0.0,3.0,2.3,4.6,3.0,21.0,21.0,100.0,63.0,1.0,1.0,0.0,0.0,5.3,0.0,1.0
4.0,Jason Pinnock,#27,S,16.0,587.0,40.0,6.8,66.2,1 (0),10.0,2.0,2.0,6.0,15.8,15.8,0.0,199.0,13.0,6.5,82.1,5.0,2.0,1.0,2.0,29.2,33.3,0.0
5.0,Benton Whitley,#48,ED,2.0,7.0,6.0,85.7,65.3,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,50.0,59.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,Micah McFadden,#41,LB,16.0,360.0,86.0,23.9,64.2,0 (0),14.0,2.0,4.0,8.0,9.9,11.1,0.0,84.0,31.0,36.9,58.2,8.0,1.0,2.0,5.0,15.5,13.8,0.0
7.0,Oshane Ximines,#53,ED,3.0,33.0,20.0,60.6,63.9,1 (1),3.0,0.0,1.0,2.0,7.9,15.8,0.0,12.0,6.0,50.0,66.7,1.0,0.0,1.0,0.0,10.0,20.0,0.0
8.0,Kayvon Thibodeaux,#05,ED,17.0,604.0,520.0,86.1,62.9,4 (2),43.0,13.0,4.0,26.0,5.6,6.4,2.0,220.0,193.0,87.7,73.2,26.0,9.0,3.0,14.0,9.8,10.6,0.0
9.0,Dane Belton,#24,S,17.0,179.0,14.0,7.8,61.1,0 (0),4.0,1.0,1.0,2.0,19.2,0.0,0.0,63.0,7.0,11.1,57.7,3.0,1.0,0.0,2.0,33.3,0.0,0.0
10.0,Bobby Okereke,#58,LB,17.0,663.0,137.0,20.7,58.9,7 (1),20.0,3.0,3.0,14.0,9.1,7.9,1.0,232.0,62.0,26.7,56.4,11.0,2.0,3.0,6.0,12.0,9.3,0.0
11.0,Xavier McKinney,#29,S,17.0,663.0,49.0,7.4,58.5,2 (0),4.0,0.0,0.0,4.0,4.5,2.3,2.0,232.0,16.0,6.9,54.8,2.0,0.0,0.0,2.0,7.1,7.1,0.0
