Player,JerseyNumber,Position,GamesPlayed,RushingTotalSnaps,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingFumbles,RushingOverallGrade,RushingGrade,RushingFumbles.1,RushingRunBlockingGrade,RushingYardsAfterContact,RushingYardsAfterContactPerAttempt,RushingMissedTacklesForced,RushingLongestRush,Rushing10PlusYardRuns,RushingYardsInZoneScheme,RushingYardsInGapScheme,RushingScrambles,RushingScrambleYards,RushingDesignedYards,Rushing15PlusYardRuns,RushingBreakawayYards,RushingBreakawayPercentage,RushingFirstDowns,RushingPenalties,RushingReceivingGrade,RushingPassBlockingGrade,RushingTargets,RushingReceptions,RushingReceivingYards,RushingReceivingSnaps,RushingYardsPerRouteRun,RushingDrops,RushingElusiveRating
Daniel Jones,#08,QB,6.0,105.0,40.0,206.0,5.2,1.0,4.0,63.0,82.2,45.3,60.0,65.0,1.63,1.0,17.0,8.0,7.0,5.0,19.0,159.0,47.0,0.0,0.0,0.0,15.0,0 (0),58.9,-,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Saquon Barkley,#26,HB,14.0,295.0,247.0,962.0,3.9,6.0,2.0,70.2,70.6,74.1,56.4,719.0,2.91,31.0,36.0,26.0,148.0,93.0,0.0,0.0,962.0,12.0,305.0,31.7,51.0,1 (0),60.6,76.6,58.0,41.0,280.0,306.0,0.92,5.0,37.4
Wan'Dale Robinson,#17,WR,15.0,218.0,9.0,87.0,9.7,1.0,0.0,65.5,68.9,81.6,42.0,28.0,3.11,2.0,32.0,3.0,0.0,2.0,0.0,0.0,87.0,2.0,56.0,64.4,4.0,2 (2),67.0,-,76.0,60.0,525.0,402.0,1.31,3.0,58.6
Gary Brightwell,#23,HB,4.0,12.0,9.0,19.0,2.1,0.0,0.0,64.4,60.4,74.3,58.3,19.0,2.11,1.0,5.0,0.0,5.0,4.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0 (0),72.1,-,6.0,5.0,47.0,27.0,1.74,1.0,60.3
Matt Breida,#31,HB,17.0,86.0,55.0,151.0,2.7,1.0,1.0,52.4,60.3,54.1,56.5,121.0,2.2,7.0,9.0,0.0,31.0,22.0,0.0,0.0,151.0,0.0,0.0,0.0,7.0,0 (0),37.0,63.3,20.0,17.0,88.0,156.0,0.56,2.0,30.6
Jashaun Corbin,#35,HB,1.0,2.0,1.0,1.0,1.0,0.0,0.0,76.7,60.0,67.4,60.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0 (0),79.3,73.3,3.0,3.0,12.0,10.0,1.2,0.0,0.0
Deon Jackson,#34,HB,1.0,1.0,1.0,2.0,2.0,0.0,0.0,54.8,57.7,61.9,-,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0 (0),-,-,0.0,0.0,0.0,0.0,,0.0,0.0
Eric Gray,#20,HB,7.0,21.0,17.0,48.0,2.8,0.0,1.0,57.2,56.7,38.6,60.0,33.0,1.94,3.0,12.0,1.0,10.0,5.0,0.0,0.0,48.0,0.0,0.0,0.0,2.0,0 (0),61.3,28.1,7.0,6.0,22.0,40.0,0.55,0.0,25.3
Tyrod Taylor,#02,QB,11.0,131.0,38.0,197.0,5.2,0.0,4.0,71.4,54.5,44.1,60.5,102.0,2.68,6.0,31.0,5.0,1.0,1.0,26.0,143.0,54.0,2.0,37.0,18.8,10.0,0 (0),-,-,0.0,0.0,0.0,0.0,,0.0,19.4
Tommy DeVito,#15,QB,9.0,161.0,36.0,195.0,5.4,1.0,2.0,62.0,50.9,77.3,60.7,97.0,2.69,6.0,26.0,6.0,6.0,1.0,22.0,123.0,72.0,1.0,26.0,13.3,7.0,3 (0),60.0,-,0.0,0.0,0.0,0.0,,0.0,29.6
Sterling Shepard,#03,WR,15.0,45.0,1.0,6.0,6.0,0.0,0.0,50.1,-,76.3,34.4,5.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0 (0),52.6,-,21.0,10.0,57.0,90.0,0.63,3.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
