Week,Away,Opponent,Date,Time,Result,PointsFor,PointsAgainst,OverallGrade,OffenseGrade,PassingGrade,PassBlockingGrade,ReceivingGrade,RushingGrade,RunBlockingGrade,DefenseGrade,RunDefenseGrade,TacklingGrade,PassRushGrade,CoverageGrade,SpecialTeamsGrade,GameReports
1.0,,Dallas Cowboys,09/10,8:20pm,L,0.0,40.0,45.4,44.2,44.0,35.4,45.4,59.3,57.7,57.9,58.4,86.1,58.1,55.7,51.9,Game Reports
2.0,@,Arizona Cardinals,09/17,4:05pm,W,31.0,28.0,74.8,81.1,86.1,73.0,72.1,84.2,63.0,57.9,50.4,40.5,69.7,59.0,58.9,Game Reports
3.0,@,San Francisco 49ers,09/21,8:15pm,L,12.0,30.0,49.6,44.9,49.4,15.7,59.4,67.1,37.0,54.2,53.5,29.7,67.9,51.9,59.9,Game Reports
4.0,,Seattle Seahawks,10/02,8:15pm,L,3.0,24.0,51.4,50.0,31.2,53.4,57.8,60.3,47.0,63.5,54.5,44.8,82.4,57.7,39.4,Game Reports
5.0,@,Miami Dolphins,10/08,1:00pm,L,16.0,31.0,51.8,50.6,69.1,16.9,63.5,60.9,33.7,56.4,41.0,62.7,57.2,66.0,68.5,Game Reports
6.0,@,Buffalo Bills,10/15,8:20pm,L,9.0,14.0,66.1,67.4,75.8,53.1,67.7,73.2,51.4,58.6,71.2,71.9,55.4,58.3,62.3,Game Reports
7.0,,Washington Commanders,10/22,1:00pm,W,14.0,7.0,66.9,66.2,73.2,54.3,69.1,54.7,57.1,69.1,67.6,74.9,69.6,63.5,69.5,Game Reports
8.0,,New York Jets,10/29,1:00pm,L,10.0,13.0,56.5,44.2,40.9,38.7,44.8,56.1,48.1,79.9,88.7,63.3,84.7,61.6,66.8,Game Reports
9.0,@,Las Vegas Raiders,11/05,4:25pm,L,6.0,30.0,63.4,62.0,60.5,50.9,56.9,68.1,71.5,62.0,67.6,61.4,53.1,55.9,64.0,Game Reports
10.0,@,Dallas Cowboys,11/12,4:25pm,L,17.0,49.0,51.9,46.9,37.5,48.2,54.9,62.1,44.3,57.5,51.3,50.0,62.1,57.6,71.3,Game Reports
11.0,@,Washington Commanders,11/19,1:00pm,W,31.0,19.0,73.9,62.7,71.6,60.1,62.5,57.4,48.8,77.2,64.6,49.3,62.3,87.2,70.9,Game Reports
12.0,,New England Patriots,11/26,1:00pm,W,10.0,7.0,69.4,66.2,71.7,71.5,63.9,49.2,66.9,67.8,45.7,53.6,56.1,85.2,67.6,Game Reports
14.0,,Green Bay Packers,12/11,8:15pm,W,24.0,22.0,72.5,67.3,68.6,55.1,69.8,69.1,56.5,74.5,73.3,49.2,64.2,72.1,73.7,Game Reports
15.0,@,New Orleans Saints,12/17,1:00pm,L,6.0,24.0,53.1,51.1,59.2,61.5,52.9,54.5,41.6,54.3,68.3,59.9,50.5,45.0,72.4,Game Reports
16.0,@,Philadelphia Eagles,12/25,4:30pm,L,25.0,33.0,50.2,58.0,68.9,47.2,60.9,73.6,34.4,49.4,42.4,35.5,47.9,61.5,51.7,Game Reports
17.0,,Los Angeles Rams,12/31,1:00pm,L,25.0,26.0,51.1,57.4,67.7,40.3,60.6,68.0,39.7,49.6,55.0,48.7,54.3,46.6,59.5,Game Reports
18.0,,Philadelphia Eagles,01/07,4:25pm,W,27.0,10.0,80.2,73.0,75.8,74.9,71.3,61.7,57.7,83.4,61.3,63.4,65.8,90.2,52.8,Game Reports
,,,,,,,,,,,,,,,,,,,,,
