Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
Leonard Williams,#99,DI,8.0,50.0,0.0,0.0,15.0,0.0,35.0,0.0,90.1,-,-,-,0 (0),0.0,0.0,0.0
Casey Kreiter,#59,LS,17.0,154.0,0.0,0.0,0.0,97.0,0.0,57.0,81.7,-,-,-,1 (0),4.0,0.0,0.0
Isaiah Simmons,#19,LB,17.0,224.0,87.0,57.0,45.0,34.0,1.0,0.0,75.4,-,-,-,2 (0),3.0,1.0,1.0
Gunner Olszewski,#80,WR,10.0,76.0,26.0,0.0,44.0,5.0,0.0,1.0,70.9,53.8,56.9,-,0 (0),1.0,0.0,0.0
Tomon Fox,#94,ED,1.0,12.0,0.0,5.0,2.0,5.0,0.0,0.0,70.0,-,-,-,0 (0),1.0,0.0,0.0
Carter Coughlin,#52,LB,17.0,397.0,87.0,64.0,73.0,96.0,77.0,0.0,69.8,-,-,-,1 (0),9.0,0.0,4.0
Deon Jackson,#34,HB,1.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0,68.9,-,-,-,0 (0),0.0,0.0,0.0
Benton Whitley,#48,ED,3.0,26.0,0.0,9.0,7.0,10.0,0.0,0.0,68.6,-,-,-,0 (0),0.0,1.0,0.0
Micah McFadden,#41,LB,16.0,172.0,13.0,5.0,31.0,93.0,30.0,0.0,65.7,-,-,-,0 (0),2.0,1.0,1.0
Darnay Holmes,#30,CB,16.0,194.0,4.0,50.0,42.0,87.0,11.0,0.0,65.5,60.0,-,-,2 (0),5.0,0.0,3.0
Cam Brown,#47,LB,16.0,367.0,79.0,64.0,70.0,94.0,60.0,0.0,65.3,-,-,-,3 (1),5.0,0.0,3.0
Eric Gray,#20,HB,13.0,88.0,63.0,8.0,17.0,0.0,0.0,0.0,64.9,53.2,28.9,-,0 (0),0.0,0.0,0.0
Jason Pinnock,#27,S,15.0,128.0,7.0,0.0,49.0,0.0,72.0,0.0,64.7,-,-,-,0 (0),0.0,0.0,0.0
Matt Breida,#31,HB,14.0,135.0,52.0,38.0,33.0,12.0,0.0,0.0,64.6,-,-,-,0 (0),2.0,0.0,1.0
Justin Pugh,#67,G,11.0,42.0,0.0,0.0,0.0,0.0,0.0,42.0,63.1,-,-,-,0 (0),0.0,0.0,0.0
Marcus McKethan,#60,G,16.0,53.0,0.0,0.0,0.0,0.0,0.0,53.0,63.0,-,-,-,0 (0),0.0,0.0,0.0
Boogie Basham,#45,ED,10.0,81.0,43.0,23.0,0.0,4.0,11.0,0.0,62.7,-,-,-,0 (0),0.0,0.0,0.0
Sean Harlow,#65,C,7.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,62.7,-,-,-,0 (0),0.0,0.0,0.0
Deonte Banks,#25,CB,13.0,57.0,0.0,0.0,7.0,0.0,50.0,0.0,62.3,-,-,-,0 (0),0.0,0.0,0.0
Matt Peart,#74,T,8.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,62.1,-,-,-,0 (0),0.0,0.0,0.0
Evan Neal,#73,T,6.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,61.9,-,-,-,0 (0),0.0,0.0,0.0
Ben Bredeson,#68,G,15.0,51.0,0.0,0.0,0.0,0.0,0.0,51.0,61.9,-,-,-,0 (0),0.0,0.0,0.0
Tyre Phillips,#79,T,9.0,31.0,0.0,0.0,0.0,0.0,0.0,31.0,61.7,-,-,-,0 (0),0.0,0.0,0.0
Mark Glowinski,#64,G,4.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,61.7,-,-,-,0 (0),0.0,0.0,0.0
John Michael Schmitz Jr.,#61,C,10.0,35.0,0.0,0.0,0.0,0.0,0.0,35.0,61.6,-,-,-,0 (0),0.0,0.0,0.0
Rakeem Nunez-Roches,#93,DI,16.0,113.0,0.0,0.0,26.0,0.0,70.0,17.0,61.6,-,-,-,0 (0),0.0,0.0,0.0
Dexter Lawrence,#97,DI,8.0,29.0,0.0,0.0,18.0,0.0,11.0,0.0,61.2,-,-,-,0 (0),0.0,0.0,0.0
Jalen Mayfield,#62,G,3.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,61.1,-,-,-,0 (0),0.0,0.0,0.0
Shane Lemieux,#66,G,4.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,61.0,-,-,-,0 (0),0.0,0.0,0.0
Tre Hawkins III,#37,CB,14.0,156.0,46.0,38.0,50.0,16.0,6.0,0.0,60.7,-,-,-,0 (0),1.0,0.0,0.0
Daniel Bellinger,#82,TE,17.0,193.0,45.0,0.0,5.0,92.0,0.0,51.0,60.7,-,-,-,0 (0),1.0,1.0,0.0
