season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2023,NYG,K,K,21.0,ACT,Mason Crosby,Mason,Crosby,1984-09-03,73.0,207,Colorado,00-0025580,10636.0,e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8,8447.0,5363.0,3809.0,CrosMa20,1694.0,59.0,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/usbwgcjsdcugjafgjzvt",,18,REG,A01,Mason,CRO369933,32386,32004352-4f36-9933-a863-d4bf2cc5772e,2007,2007.0,GB,193.0
2023,NYG,K,K,9.0,RES,Graham Gano,Graham,Gano,1987-04-09,74.0,202,Florida State,00-0026858,12460.0,63f8a401-f308-4463-9d0b-4335b98da682,9526.0,6045.0,5443.0,,10333.0,503.0,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nwzlekrz3rsoqlm1rcao",,18,REG,R01,Graham,GAN308500,35102,32004741-4e30-8500-b62f-cb2bc1d26244,2009,2009.0,,
2023,NYG,RB,RB,36.0,CUT,Taiwan Jones,Taiwan,Jones,1988-07-26,72.0,195,Eastern Washington,00-0028063,14167.0,adadafa1-dc37-486d-8538-7db1e1b5f71e,24912.0,7324.0,6277.0,JoneTa00,13063.0,886.0,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/va09vgfr7bdc2wb6ikq4",,5,REG,P07,Taiwan,JON731670,37200,32004a4f-4e73-1670-c97b-fc6f9ff14f6c,2011,2011.0,OAK,125.0
2023,NYG,QB,QB,2.0,ACT,Tyrod Taylor,Tyrod,Taylor,1989-08-03,73.0,215,Virginia Tech,00-0028118,14163.0,7f3ef024-eb34-46af-8b9e-544cdf09378f,24967.0,7357.0,6332.0,TaylTy00,12831.0,827.0,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qx6t1lqmc9ws9ledobzn",QB,18,REG,A01,Tyrod,TAY764868,37255,32005441-5976-4868-b81d-df31fbb7fe72,2011,2011.0,BAL,180.0
2023,NYG,WR,WR,9.0,CUT,Cole Beasley,Cole,Beasley,1989-04-26,68.0,174,Southern Methodist,00-0029000,15349.0,7092bb09-a161-4ab9-8d19-fdcf1a91bb3d,26060.0,8249.0,7330.0,BeasCo00,14141.0,1144.0,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/y5r0fhwctl6ljwvmktvu",,7,REG,P07,Cole,BEA434808,38947,32004245-4143-4808-b9d8-45a5d1a5ad73,2012,2012.0,,
2023,NYG,K,K,46.0,RES,Randy Bullock,Randol,Bullock,1989-12-16,69.0,210,Texas A&amp;M,00-0029421,15091.0,c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e,25871.0,8222.0,,BullRa00,13961.0,1099.0,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pim6xbwsdnk5xwhlwde8",,18,REG,R01,Randy,BUL521842,38691,32004255-4c52-1842-b35e-9d2f6350e85f,2012,2012.0,HOU,161.0
2023,NYG,OL,G,67.0,ACT,Justin Pugh,Justin,Pugh,1990-08-15,77.0,311,Syracuse,00-0030585,,,,,,,,,10,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vjpj5hrfb568u8ni8bvs",G,18,REG,A01,Justin,PUG243645,39965,32005055-4724-3645-b43d-c9bf6229b7dd,2013,2013.0,NYG,19.0
2023,NYG,LS,LS,59.0,ACT,Casey Kreiter,Casey,Kreiter,1990-08-13,73.0,250,Iowa,00-0030957,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jku51dz0crpiieloc1de",,18,REG,A01,Casey,KRE233600,41797,32004b52-4523-3600-312f-642e8b6af048,2014,2014.0,,
2023,NYG,OL,G,64.0,ACT,Mark Glowinski,Mark,Glowinski,1992-05-03,76.0,310,West Virginia,00-0031581,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ldqr5jlk57a6nrha4u8w",G,18,REG,A01,Mark,GLO738436,42477,3200474c-4f73-8436-a1e9-e344d00ab8e6,2015,2015.0,SEA,134.0
2023,NYG,DB,SS,21.0,CUT,Bobby McCain,Bobby,McCain,1993-08-18,69.0,192,Memphis,00-0031587,2575606.0,7f32c3e6-113f-4922-b51d-a1a5a1d43bcf,28533.0,10422.0,9578.0,McCaBo01,16905.0,2448.0,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pc682fa6jgogwbo6szpy",,15,REG,W03,Bobby,MCC050868,42488,32004d43-4305-0868-e824-2f8ef4ae600c,2015,2015.0,MIA,145.0
2023,NYG,TE,TE,12.0,ACT,Darren Waller,Darren,Waller,1992-09-13,78.0,255,Georgia Tech,00-0031610,2576925.0,14c97c9f-26e8-4944-9299-f90de6aeada3,28592.0,10215.0,9637.0,WallDa01,16964.0,2505.0,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qqzht46a66zbi9xyylf4",TE,18,REG,A01,Darren,WAL509040,42547,32005741-4c50-9040-67d6-042691fb535a,2015,2015.0,BAL,204.0
2023,NYG,DL,NT,93.0,ACT,Rakeem Nunez-Roches,Rakeem,Nunez-Roches,1993-07-03,74.0,307,Southern Mississippi,00-0031957,2575453.0,d6ce0b64-9526-4983-8c3c-7f14f2918f8e,28605.0,10339.0,9650.0,NuneRa00,17512.0,2993.0,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/npr1srt57gl9p8caixpo",INTERIOR_LINE,18,REG,A01,Rakeem,NUN250521,42560,32004e55-4e25-0521-92d6-3fde26feb3fc,2015,2015.0,KC,217.0
2023,NYG,WR,WR,3.0,ACT,Sterling Shepard,Sterling,Shepard,1993-02-10,70.0,201,Oklahoma,00-0032385,2976592.0,1ffc735b-74d8-44d2-ab32-00c5485c799f,29274.0,10988.0,10674.0,ShepSt00,17961.0,3200.0,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qbsz1nkk6lnudmcwimer",WR,18,REG,A01,Sterling,SHE495754,43329,32005348-4549-5754-5697-2a8312edc489,2016,2016.0,NYG,40.0
2023,NYG,DL,DT,91.0,ACT,A'Shawn Robinson,A'Shawn,Robinson,1995-03-21,75.0,330,Alabama,00-0032889,3054857.0,3f44e069-a9c7-40dc-bfa9-cd403ee9cdbd,29280.0,11162.0,10680.0,RobiAS00,17979.0,3218.0,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qgiwxchd1lmgszfunys8",INTERIOR_LINE,18,REG,A01,A'Shawn,ROB367960,43335,3200524f-4236-7960-bf20-bc060ac0f49c,2016,2016.0,DET,46.0
2023,NYG,DL,DT,96.0,CUT,Vernon Butler,Vernon,Butler,1994-06-14,76.0,330,Louisiana Tech,00-0032967,2971883.0,73e84e89-4bd3-480e-b862-68502c8c295a,29264.0,10931.0,10664.0,ButlVe00,17944.0,3183.0,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/spxzurteytkysxgspmze",,1,REG,R01,Vernon,BUT599965,43319,32004255-5459-9965-a779-9f97c4e4b972,2016,2016.0,CAR,30.0
2023,NYG,DL,DE,55.0,ACT,Jihad Ward,Jihad,Ward,1994-05-11,77.0,287,Illinois,00-0033046,3115914.0,852b00dd-fd1c-4edb-809d-912a6472cd07,29278.0,10891.0,10678.0,WardJi02,17978.0,3217.0,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/woivzfnzublubulaiox1",EDGE,18,REG,A01,Jihad,WAR208421,43333,32005741-5220-8421-e203-445db831af6b,2016,2016.0,OAK,44.0
2023,NYG,RB,RB,31.0,ACT,Matt Breida,Matthew,Breida,1995-02-28,70.0,190,Georgia Southern,00-0033308,3049916.0,6249d2c0-75dc-4586-943b-1c103a9eb419,30552.0,12289.0,12271.0,BreiMa00,19319.0,4455.0,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rc4m1xw0xmtsrxswd0bg",RB,18,REG,A01,Matt,BRE256819,45186,32004252-4525-6819-f4e3-f343a391cdbd,2017,2017.0,,
2023,NYG,OL,C,65.0,ACT,Sean Harlow,Sean,Harlow,1995-03-28,76.0,284,Oregon State,00-0033511,,,,,,,,,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zumjqygjzqrwtccm5jco",,18,REG,A01,Sean,HAR186238,44949,32004841-5218-6238-b778-0fcf6913d5ff,2017,2017.0,ATL,136.0
2023,NYG,LB,ILB,57.0,RES,Jarrad Davis,Jarrad,Davis,1994-11-16,73.0,245,Florida,00-0033539,3054951.0,808fe9a2-51dc-4d22-8f09-da1857b5a699,30134.0,11966.0,11776.0,DaviJa01,18913.0,4067.0,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/aojjnufhksozv3ztodf2",,18,REG,R01,Jarrad,DAV429215,44833,32004441-5642-9215-2cff-c5c8b72a9f33,2017,2017.0,DET,21.0
2023,NYG,DB,CB,22.0,ACT,Adoree' Jackson,Adoree',Jackson,1995-09-18,71.0,185,Southern California,00-0033878,3120347.0,6db40c6e-7d09-486e-b80d-1d8008547250,30131.0,12018.0,11773.0,JackAd00,18924.0,4078.0,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wz7ftjbrza2khve21rpl",CB,18,REG,A01,Adoree',JAC014782,44830,32004a41-4301-4782-dca8-226b6841f848,2017,2017.0,TEN,18.0
2023,NYG,OL,C,63.0,RES,J.C. Hassenauer,James,Hassenauer,1995-09-15,74.0,295,Alabama,00-0034142,,,,,,,,,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wdpmn7lpbhcwmpkhomn1",,18,REG,R01,J.C.,HAS586176,46404,32004841-5358-6176-f51b-0b172808e017,2018,2018.0,,
2023,NYG,RB,RB,26.0,ACT,Saquon Barkley,Saquon,Barkley,1997-02-09,72.0,233,Penn State,00-0034844,3929630.0,9811b753-347c-467a-b3cb-85937e71e2b9,30972.0,12507.0,45791.0,BarkSa00,19766.0,4866.0,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o8tlhps5u1tvnaaxlpjk",RB,18,REG,A01,Saquon,BAR192674,46071,32004241-5219-2674-af43-1519254e563d,2018,2018.0,NYG,2.0
2023,NYG,P,P,6.0,ACT,Jamie Gillan,Jamie,Gillan,1997-07-04,73.0,207,Arkansas-Pine Bluff,00-0035042,3936185.0,bc63567a-81e7-44c9-a85f-8aa9532ab4fd,32277.0,14147.0,63303.0,,21279.0,6452.0,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fhwbrytkidc2slpjlazg",,18,REG,A01,Jamie,GIL360851,48139,32004749-4c36-0851-b4c7-2a00f630b4d8,2019,2019.0,,
2023,NYG,OL,T,70.0,ACT,Yodny Cajuste,Yodny,Cajuste,1996-02-21,77.0,310,West Virginia,00-0035252,,,,,,,,,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rv5oywbqixdc6eoubqgy",,18,REG,A01,Yodny,CAJ333394,47884,32004341-4a33-3394-bb4f-0a3343b45ede,2019,2019.0,NE,101.0
2023,NYG,TE,TE,89.0,RES,Tommy Sweeney,Tommy,Sweeney,1995-07-01,77.0,251,Boston College,00-0035308,3122818.0,ec63ee49-3a03-44ca-a083-3916f0bccd76,32060.0,13667.0,47216.0,SweeTo00,20957.0,6137.0,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tw1tgrqwyiadl4kweuf6",,12,REG,R27,Tommy,SWE393041,48011,32005357-4539-3041-578e-743d87b9a544,2019,2019.0,BUF,228.0
2023,NYG,OL,T,77.0,DEV,Joshua Miles,Joshua,Miles,1996-01-04,77.0,314,Morgan State,00-0035317,,,,,,,,,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nhjr6xamemtgfue5eaui",,18,REG,P07,Joshua,MIL052714,48031,32004d49-4c05-2714-f8cb-fbbd020b89ca,2019,2019.0,ARI,248.0
2023,NYG,TE,TE,85.0,CUT,Chris Myarick,Chris,Myarick,1995-10-06,77.0,255,Temple,00-0035345,3138744.0,002adaa8-5dc2-4b4b-95bc-53a38dce3849,32442.0,14282.0,47358.0,,21531.0,6529.0,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/exwqvc1wszmrf44sp1us",,11,REG,W03,Chris,MYA415291,48475,32004d59-4141-5291-44ca-755f5b2afd68,2019,2019.0,,
2023,NYG,TE,TE,84.0,INA,Tyree Jackson,Tyree,Jackson,1997-11-07,79.0,249,Buffalo,00-0035356,3916564.0,2fc1c9f1-9e85-449a-9a87-fa8203e8e8f9,32415.0,13551.0,46481.0,,20823.0,6040.0,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kv3usy5bsdwz0nvo7x0v",,18,REG,A01,Tyree,JAC611082,48486,3200474f-5204-5716-a75e-4ec8e313a651,2019,2019.0,,
2023,NYG,WR,WR,86.0,ACT,Darius Slayton,Darius,Slayton,1997-01-12,73.0,190,Auburn,00-0035535,3916945.0,82ed30a5-54a8-4ed0-b040-99c3a78fb055,32003.0,13522.0,25578.0,SlayDa01,20943.0,6149.0,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/emmy86blz71njkcr496b",WR,18,REG,A01,Darius,SLA500077,47954,3200534c-4150-0077-315f-47cff2877b23,2019,2019.0,NYG,171.0
2023,NYG,WR,WR,0.0,INA,Parris Campbell,Parris,Campbell,1997-07-16,72.0,205,Ohio State,00-0035639,3121410.0,db0c3b1c-8d18-435a-864a-cdd696f963b6,31891.0,13525.0,47940.0,CampPa00,21005.0,5880.0,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/plnptpz1flhijayvb0qv",,18,REG,A01,Parris,CAM230411,47842,32004341-4d23-0411-19c3-b6e460708ae9,2019,2019.0,IND,59.0
2023,NYG,WR,WR,80.0,ACT,Gunner Olszewski,Kaleb,Olszewski,1996-11-26,72.0,190,Bemidji State,00-0035645,4424106.0,625a1777-dd9a-48c6-b512-c450b0914450,32612.0,14318.0,95015.0,OlszGu00,21601.0,6699.0,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/asw7wncrfj1rzeknctpd",SLOT_WR,18,REG,A01,Gunner,OLS746941,48988,32004f4c-5374-6941-75b1-22a2662014a2,2019,2019.0,,
2023,NYG,DL,NT,97.0,ACT,Dexter Lawrence,Dexter,Lawrence,1997-11-12,76.0,342,Clemson,00-0035683,4035483.0,31bd7a4c-8eaf-4ea3-871c-b44420c804f8,31849.0,13568.0,25991.0,LawrDe03,20852.0,5847.0,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mq1gfsw7gfz3jithkivb",INTERIOR_LINE,18,REG,A01,Dexter,LAW288048,47800,32004c41-5728-8048-d62b-e09e0d1d71d6,2019,2019.0,NYG,17.0
