player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Aaron Rodgers,2023,3,112.5,37.5,75.0,0.167,127.813612,42.604537,85.209075,00-0023459,2023,NYJ,QB,QB,8.0,1983-12-02,GB,24.0,40.0
Zach Wilson,2021,4,35.15068,8.787695,35.15068,0.048,49.191691,12.297958,49.191691,00-0037013,2023,NYJ,QB,QB,2.0,1999-08-03,NYJ,2.0,24.0
Trevor Siemian,2023,1,1.3175,1.3175,0.1525,0.006,1.496839,1.496839,0.173258,00-0032156,2023,NYJ,QB,QB,14.0,1991-12-26,DEN,250.0,32.0
Brett Rypien,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0034955,2023,NYJ,QB,QB,15.0,1996-07-09,,,27.0
Breece Hall,2022,4,9.014768,2.253692,7.080482,0.011,11.058462,2.764615,8.685663,00-0038120,2023,NYJ,RB,RB,20.0,2001-05-31,NYJ,36.0,22.0
Israel Abanikanda,2023,4,4.17638,1.044095,0.33638,0.005,4.744873,1.186218,0.382168,00-0038389,2023,NYJ,RB,RB,25.0,2002-10-05,NYJ,143.0,21.0
Jacques Patrick,2023,1,1.855,0.9275,0.0,0.004,2.107504,1.053752,0.0,00-0035760,2023,NYJ,RB,RB,38.0,1997-01-07,,,27.0
Travis Dye,2023,3,2.7025,0.900833,0.0625,0.004,3.070367,1.023455,0.071008,00-0038495,2023,NYJ,RB,RB,35.0,,,,
Nick Bawden,2023,2,2.195,1.0975,0.2,0.005,2.493786,1.246893,0.227224,00-0034433,2023,NYJ,RB,FB,48.0,1996-06-22,DET,237.0,27.0
Corey Davis,2021,3,37.5,12.5,27.0,0.068,52.479452,17.493151,37.785205,00-0033871,2023,NYJ,WR,WR,84.0,1995-01-11,TEN,5.0,29.0
Allen Lazard,2023,4,44.0,11.0,22.0,0.049,49.989324,12.497331,24.994662,00-0034521,2023,NYJ,WR,WR,10.0,1995-12-11,,,28.0
Randall Cobb,2023,1,3.0,3.0,0.25,0.013,3.408363,3.408363,0.28403,00-0028002,2023,NYJ,WR,WR,18.0,1990-08-22,GB,64.0,33.0
Garrett Wilson,2022,4,20.554006,5.138502,20.554006,0.025,25.213704,6.303427,25.213704,00-0037740,2023,NYJ,WR,WR,17.0,2000-07-22,NYJ,10.0,23.0
Javelin Guidry,2023,1,1.01,1.01,0.0,0.004,1.147482,1.147482,0.0,00-0036149,2023,NYJ,DB,CB,40.0,1998-08-06,,,25.0
Malik Taylor,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0035480,2023,NYJ,WR,WR,86.0,1995-12-21,,,28.0
Lance McCutcheon,2023,1,0.216,0.216,0.0,0.001,0.245402,0.245402,0.0,00-0037055,2023,NYJ,WR,WR,14.0,1999-02-28,,,25.0
Irvin Charles,2023,2,1.665,0.8325,0.0,0.004,1.891641,0.945821,0.0,00-0037156,2023,NYJ,WR,WR,19.0,1997-04-13,,,27.0
Jason Brownlee,2023,3,2.725,0.908333,0.246,0.004,3.09593,1.031976,0.279486,00-0038492,2023,NYJ,WR,WR,16.0,1999-01-30,,,25.0
Xavier Gipson,2023,3,2.71,0.903333,0.165,0.004,3.078888,1.026296,0.18746,00-0038496,2023,NYJ,WR,WR,82.0,2001-03-08,,,23.0
Jerome Kapp,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,00-0039033,2023,NYJ,WR,WR,31.0,,,,
C.J. Uzomah,2022,3,24.0,8.0,15.0,0.038,29.440922,9.813641,18.400576,00-0032134,2023,NYJ,TE,TE,87.0,1993-01-14,CIN,157.0,31.0
Tyler Conklin,2022,3,20.25,6.75,10.0,0.032,24.840778,8.280259,12.267051,00-0034270,2023,NYJ,TE,TE,83.0,1995-07-30,MIN,157.0,28.0
Jeremy Ruckert,2022,4,5.044903,1.261226,0.84902,0.006,6.188608,1.547152,1.041497,00-0037805,2023,NYJ,TE,TE,89.0,2000-08-11,NYJ,101.0,23.0
Kenny Yeboah,2022,2,1.815,0.9075,0.05,0.004,2.22647,1.113235,0.061335,00-0036510,2023,NYJ,TE,TE,88.0,1998-10-30,,,25.0
Zack Kuntz,2023,4,3.954388,0.988597,0.114388,0.004,4.492663,1.123166,0.129959,00-0038406,2023,NYJ,TE,TE,81.0,1999-06-09,NYJ,220.0,24.0
Duane Brown,2022,2,20.0,10.0,9.0,0.048,24.534102,12.267051,11.040346,00-0026166,2023,NYJ,OL,T,76.0,1985-08-30,HOU,26.0,38.0
Cedric Ogbuehi,2023,1,1.47,1.47,0.05,0.007,1.670098,1.670098,0.056806,00-0032233,2023,NYJ,OL,T,75.0,1992-04-25,CIN,21.0,32.0
Carter Warren,2023,4,4.58432,1.14608,0.74432,0.005,5.208342,1.302086,0.845638,00-0039004,2023,NYJ,OL,T,67.0,1999-01-19,NYJ,120.0,25.0
Greg Senat,2022,1,0.895,0.895,0.0,0.004,1.097901,1.097901,0.0,00-0034280,2023,NYJ,OL,T,68.0,1994-09-08,BAL,212.0,29.0
Grant Hermanns,2023,2,1.855,0.9275,0.0,0.004,2.107504,1.053752,0.0,00-0036513,2023,NYJ,OL,T,70.0,,,,
Obinna Eze,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037440,2023,NYJ,OL,T,65.0,1998-06-12,,,25.0
Laken Tomlinson,2022,3,40.0,13.333333,27.0,0.064,49.068204,16.356067,33.121037,00-0032234,2023,NYJ,OL,G,78.0,1992-02-09,DET,28.0,32.0
Jason Poe,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037529,2023,NYJ,OL,G,51.0,1998-07-27,,,25.0
Xavier Newman-Johnson,2023,1,0.276999,0.276999,0.0,0.001,0.314704,0.314704,0.0,00-0037601,2023,NYJ,OL,G,65.0,1999-08-04,,,24.0
Connor McGovern,2023,1,1.915,1.915,1.25,0.009,2.175672,2.175672,1.420151,00-0033011,2023,NYJ,OL,C,60.0,1993-04-27,DEN,144.0,30.0
Wes Schweitzer,2023,2,5.0,2.5,3.165,0.011,5.680605,2.840302,3.595823,00-0032432,2023,NYJ,OL,G,71.0,1993-09-11,ATL,195.0,30.0
Joe Tippmann,2023,4,8.359604,2.089901,6.167665,0.009,9.497522,2.37438,7.007214,00-0039145,2023,NYJ,OL,C,66.0,2001-03-24,NYJ,43.0,23.0
Jake Hanson,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0036273,2023,NYJ,OL,C,62.0,1997-04-29,GB,208.0,26.0
Vitaliy Gurman,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037625,2023,NYJ,OL,T,73.0,1998-08-04,,,25.0
Chris Glaser,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,00-0037225,2023,NYJ,OL,G,63.0,1999-10-01,,,24.0
Billy Turner,2023,1,1.65,1.65,1.0,0.007,1.8746,1.8746,1.136121,00-0031433,2023,NYJ,OL,T,54.0,1991-10-17,MIA,67.0,32.0
Dennis Kelly,2023,1,1.265,1.265,0.025,0.006,1.437193,1.437193,0.028403,00-0029419,2023,NYJ,OL,T,68.0,1990-01-16,PHI,153.0,34.0
Mekhi Becton,2020,4,18.446046,4.611512,18.446046,0.023,23.769526,5.942382,23.769526,00-0036284,2023,NYJ,OL,T,77.0,1999-04-18,NYJ,11.0,25.0
Alijah Vera-Tucker,2021,4,15.885034,3.971259,15.885034,0.022,22.230343,5.557587,22.230343,00-0036979,2023,NYJ,OL,G,75.0,1999-06-17,NYJ,14.0,24.0
Max Mitchell,2022,4,4.456028,1.114007,0.796028,0.005,5.466232,1.366558,0.976492,00-0038114,2023,NYJ,OL,T,61.0,1999-10-12,NYJ,111.0,24.0
Austin Deculus,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0037302,2023,NYJ,OL,T,64.0,1999-03-12,HOU,205.0,25.0
Quinnen Williams,2023,4,96.0,24.0,66.0,0.107,109.067616,27.266904,74.983986,00-0035718,2023,NYJ,DL,NT,95.0,1997-12-21,NYJ,3.0,26.0
Quinton Jefferson,2023,1,3.6,3.6,2.75,0.016,4.090036,4.090036,3.124333,00-0032416,2023,NYJ,DL,DE,70.0,1993-03-31,SEA,147.0,31.0
Al Woods,2023,1,2.25,2.25,1.0,0.01,2.556272,2.556272,1.136121,00-0027723,2023,NYJ,DL,NT,96.0,1987-03-25,NO,123.0,37.0
Solomon Thomas,2023,1,2.35,2.35,2.01,0.01,2.669884,2.669884,2.283603,00-0033870,2023,NYJ,DL,DT,94.0,1995-08-26,SF,3.0,28.0
Perrion Winfrey,2023,1,0.216,0.216,0.0,0.001,0.245402,0.245402,0.0,00-0038126,2023,NYJ,DL,DT,92.0,2000-08-15,CLE,108.0,23.0
Jalyn Holmes,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0034264,2023,NYJ,DL,DE,97.0,1996-01-25,MIN,102.0,28.0
Bruce Hector,2023,2,2.065,1.0325,0.0,0.005,2.34609,1.173045,0.0,00-0034461,2023,NYJ,DL,DT,98.0,1994-10-07,,,29.0
Tanzel Smart,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0033963,2023,NYJ,DL,DT,79.0,1994-11-06,LA,189.0,29.0
Marquiss Spencer,2023,2,1.655,0.8325,0.0,0.004,1.88028,0.945821,0.0,00-0036668,2023,NYJ,DL,DE,51.0,1997-07-16,DEN,253.0,26.0
