Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,CoverageSnaps,CoverageSnapsPercentage,CoverageGrade,CoveragePenalties,CoverageTargets,CoverageReceptionsAllowed,CoverageReceptionPercentage,CoverageYardsAllowed,CoverageYardsPerReceptionAllowed,CoverageYardsAfterCatchAllowed,CoverageAverageDepthOfTarget,CoverageLongestReceptionAllowed,CoverageForcedIncompletions,CoverageForcedIncompletionPercentage,CoveragePassBreakups,CoverageInterceptions,CoverageDrops,CoverageTouchdownsAllowed,CoveragePasserRatingAllowed,CoverageSnapsPerTarget,CoverageSnapsPerReceptionAllowed,CoverageTackles,CoverageAssists,CoverageMissedTackles,CoverageMissedTacklePercentage,CoverageStops
Jermaine Johnson,#11,ED,17.0,452.0,7.0,1.5,95.1,3 (0),1.0,0.0,0.0,0.0,,0.0,1.0,,1.0,100.0,1.0,1.0,0.0,0.0,0.0,7.0,,7.0,0.0,2.0,22.2,11.0
Sauce Gardner,#01,CB,16.0,586.0,583.0,99.5,90.8,5 (0),51.0,29.0,56.9,251.0,8.7,90.0,10.6,32.0,11.0,22.0,10.0,0.0,3.0,1.0,76.5,10.8,18.9,32.0,5.0,7.0,15.9,13.0
C.J. Mosley,#57,LB,17.0,641.0,600.0,93.6,90.6,4 (0),66.0,53.0,80.3,570.0,10.8,416.0,3.3,43.0,5.0,8.0,5.0,1.0,4.0,1.0,101.4,8.6,10.8,58.0,16.0,8.0,9.8,28.0
Quincy Williams,#56,LB,17.0,617.0,576.0,93.4,88.7,5 (1),92.0,67.0,72.8,516.0,7.7,454.0,2.2,50.0,9.0,10.0,8.0,1.0,1.0,4.0,96.1,5.9,8.2,43.0,6.0,8.0,14.0,28.0
Michael Carter II,#30,CB,15.0,452.0,434.0,96.0,83.3,1 (0),57.0,32.0,56.1,258.0,8.1,178.0,9.0,29.0,8.0,14.0,4.0,0.0,2.0,1.0,73.6,7.3,12.9,28.0,3.0,5.0,13.9,11.0
Craig James,#31,CB,1.0,27.0,27.0,100.0,79.8,0 (0),2.0,0.0,0.0,0.0,,0.0,10.5,,1.0,50.0,1.0,0.0,0.0,0.0,39.6,13.0,,1.0,0.0,0.0,0.0,1.0
D.J. Reed,#04,CB,15.0,544.0,542.0,99.6,79.5,8 (2),70.0,43.0,61.4,475.0,11.0,183.0,11.1,60.0,10.0,14.0,6.0,1.0,0.0,2.0,85.1,7.3,11.9,42.0,5.0,4.0,7.8,11.0
John Franklin-Myers,#91,ED,17.0,363.0,4.0,1.1,77.4,2 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,4.0,3.0,42.9,3.0
Ashtyn Davis,#21,S,17.0,113.0,110.0,97.3,75.2,0 (0),22.0,13.0,59.1,107.0,8.2,86.0,7.0,15.0,4.0,18.0,4.0,3.0,0.0,0.0,32.0,4.8,8.1,8.0,2.0,3.0,23.1,3.0
Jordan Whitehead,#03,S,17.0,603.0,598.0,99.2,68.9,1 (0),32.0,20.0,62.5,349.0,17.5,195.0,10.9,81.0,3.0,9.0,3.0,4.0,1.0,7.0,99.6,17.6,28.2,31.0,3.0,10.0,22.7,6.0
