Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,PassRushTotalSnaps,PassRushSnapsPercentage,PassRushGrade,PassRushPenalties,PassRushTotalPressures,PassRushSacks,PassRushHits,PassRushHurries,PassRushPressureRate,PassRushWinPercentage,PassRushBattedPasses,TruePassSetSnaps,TruePassSetTotalSnaps,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetTotalPressures,TruePassSetSacks,TruePassSetHits,TruePassSetHurries,TruePassSetPressureRate,TruePassSetWinPercentage,TruePassSetBattedPasses
Bryce Huff,#47,ED,17.0,347.0,334.0,96.3,86.8,3 (0),67.0,10.0,12.0,45.0,12.2,22.9,0.0,205.0,201.0,98.0,89.7,51.0,7.0,12.0,32.0,15.3,29.1,0.0
Quinnen Williams,#95,DI,17.0,471.0,465.0,98.7,84.5,5 (2),70.0,6.0,11.0,53.0,8.7,19.5,1.0,239.0,239.0,100.0,84.5,55.0,6.0,9.0,40.0,13.7,25.1,0.0
Jamien Sherwood,#44,LB,15.0,52.0,7.0,13.5,79.4,0 (0),1.0,0.0,0.0,1.0,7.1,14.3,1.0,7.0,1.0,14.3,59.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashtyn Davis,#21,S,17.0,113.0,3.0,2.7,76.4,0 (0),1.0,0.0,0.0,1.0,16.7,0.0,1.0,40.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Jermaine Johnson,#11,ED,17.0,452.0,445.0,98.5,73.7,3 (0),56.0,9.0,7.0,40.0,7.7,12.4,3.0,220.0,218.0,99.1,69.1,38.0,7.0,5.0,26.0,10.9,16.4,0.0
Quinton Jefferson,#70,DI,14.0,243.0,240.0,98.8,73.2,2 (0),29.0,8.0,5.0,16.0,8.1,14.0,0.0,99.0,99.0,100.0,78.2,18.0,5.0,2.0,11.0,12.4,20.4,0.0
C.J. Mosley,#57,LB,17.0,641.0,41.0,6.4,72.9,4 (0),7.0,1.0,2.0,4.0,11.1,8.3,2.0,301.0,26.0,8.6,77.2,4.0,0.0,1.0,3.0,9.1,13.6,2.0
Quincy Williams,#56,LB,17.0,617.0,41.0,6.6,69.2,5 (1),7.0,2.0,2.0,3.0,11.5,10.3,0.0,284.0,25.0,8.8,75.4,5.0,2.0,0.0,3.0,15.2,17.4,0.0
Will McDonald IV,#99,ED,15.0,101.0,99.0,98.0,68.9,0 (0),12.0,4.0,1.0,7.0,8.5,16.0,0.0,47.0,47.0,100.0,73.4,8.0,3.0,0.0,5.0,12.5,22.7,0.0
John Franklin-Myers,#91,ED,17.0,363.0,359.0,98.9,67.4,2 (0),50.0,3.0,12.0,35.0,7.9,14.0,2.0,185.0,185.0,100.0,68.2,34.0,3.0,8.0,23.0,10.8,18.7,0.0
Solomon Thomas,#94,DI,17.0,227.0,223.0,98.2,62.0,4 (0),17.0,6.0,1.0,10.0,5.4,7.5,1.0,84.0,84.0,100.0,61.1,10.0,4.0,0.0,6.0,8.4,8.4,0.0
Brandin Echols,#26,CB,11.0,96.0,2.0,2.1,58.2,3 (1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
