Player,JerseyNumber,Position,GamesPlayed,RunDefenseSnaps,RunDefenseGrade,RunDefenseTackles,RunDefenseAssists,RunDefenseMissedTackles,RunDefenseMissedTacklePercentage,RunDefenseStops,RunDefenseStopPercentage,RunDefenseForcedFumbles,RunDefenseAverageDepthOfTackle,RunDefensePenalties
Quinnen Williams,#95,DI,17.0,307.0,90.4,39.0,11.0,5.0,9.1,35.0,11.7,1.0,0.8,5 (2)
Adrian Amos,#00,S,8.0,138.0,88.0,12.0,2.0,0.0,0.0,5.0,3.8,0.0,4.9,0 (0)
Brandin Echols,#26,CB,8.0,47.0,80.6,1.0,2.0,0.0,0.0,1.0,2.2,0.0,0.0,3 (1)
Bryce Hall,#37,CB,2.0,37.0,80.3,1.0,2.0,0.0,0.0,1.0,2.9,0.0,3.0,1 (0)
Jamien Sherwood,#44,LB,16.0,141.0,78.9,17.0,5.0,2.0,8.3,8.0,5.9,1.0,5.2,0 (0)
Chazz Surratt,#55,LB,3.0,9.0,71.2,1.0,1.0,0.0,0.0,1.0,11.1,0.0,0.0,0 (0)
Jermaine Johnson,#11,ED,17.0,296.0,71.0,29.0,13.0,2.0,4.5,20.0,7.0,0.0,2.9,3 (0)
Quincy Williams,#56,LB,17.0,475.0,70.4,63.0,19.0,12.0,12.8,52.0,11.3,1.0,2.3,5 (1)
D.J. Reed,#04,CB,15.0,449.0,70.2,21.0,6.0,4.0,12.9,9.0,2.1,0.0,6.0,8 (2)
Tony Adams,#22,S,15.0,365.0,69.7,35.0,21.0,8.0,12.5,16.0,4.5,0.0,6.1,2 (0)
Micheal Clemons,#72,ED,16.0,210.0,66.3,18.0,8.0,5.0,16.1,11.0,5.4,1.0,3.4,1 (0)
Jordan Whitehead,#03,S,17.0,473.0,66.1,43.0,14.0,10.0,14.9,20.0,4.3,0.0,6.3,1 (0)
Sam Eguavoen,#52,LB,5.0,12.0,65.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1 (1)
Carl Lawson,#58,ED,6.0,42.0,64.8,4.0,1.0,0.0,0.0,3.0,7.3,0.0,0.8,0 (0)
John Franklin-Myers,#91,ED,17.0,263.0,64.3,15.0,12.0,3.0,10.0,8.0,3.1,0.0,3.3,2 (0)
C.J. Mosley,#57,LB,17.0,486.0,63.8,47.0,34.0,7.0,8.0,32.0,6.8,0.0,3.5,4 (0)
Michael Carter II,#30,CB,15.0,219.0,63.5,16.0,4.0,1.0,4.8,8.0,3.7,1.0,7.9,1 (0)
Craig James,#31,CB,2.0,15.0,63.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Will McDonald IV,#99,ED,15.0,82.0,63.2,6.0,2.0,1.0,11.1,4.0,4.9,0.0,2.5,0 (0)
Bruce Hector,#98,DI,2.0,24.0,63.1,4.0,0.0,0.0,0.0,4.0,16.7,0.0,1.3,0 (0)
Jarrick Bernard-Converse,#29,S,2.0,4.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Sauce Gardner,#01,CB,16.0,463.0,57.0,15.0,5.0,4.0,16.7,7.0,1.6,0.0,5.4,5 (0)
Ashtyn Davis,#21,S,15.0,105.0,56.4,5.0,6.0,1.0,8.3,3.0,2.9,0.0,5.0,0 (0)
Al Woods,#96,DI,6.0,74.0,55.4,3.0,2.0,0.0,0.0,3.0,4.3,0.0,1.0,0 (0)
Bryce Huff,#47,ED,17.0,134.0,48.0,9.0,2.0,0.0,0.0,7.0,5.3,0.0,3.0,3 (0)
Quinton Jefferson,#70,DI,14.0,225.0,38.7,18.0,6.0,3.0,11.1,14.0,6.5,0.0,3.1,2 (0)
Solomon Thomas,#94,DI,17.0,256.0,32.2,16.0,11.0,2.0,6.9,14.0,5.6,0.0,1.4,4 (0)
Perrion Winfrey,#92,DI,1.0,9.0,31.8,2.0,0.0,0.0,0.0,1.0,12.5,0.0,3.5,1 (0)
Jalyn Holmes,#97,DI,5.0,46.0,29.8,2.0,3.0,1.0,16.7,2.0,4.5,0.0,0.5,2 (0)
Tanzel Smart,#79,DI,4.0,38.0,28.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0 (0)
,,,,,,,,,,,,,,
