"season","game_type","team","week","gsis_id","position","full_name","first_name","last_name","report_primary_injury","report_secondary_injury","report_status","practice_primary_injury","practice_secondary_injury","practice_status","date_modified"
2023,"REG","NYJ",1,"00-0036501","CB","Michael Carter","Michael","Carter",NA,NA,NA,"Elbow",NA,"Full Participation in Practice",2023-09-09 19:00:26
2023,"REG","NYJ",1,"00-0036284","T","Mekhi Becton","Mekhi","Becton","Knee","Illness","Questionable","Knee","Illness","Full Participation in Practice",2023-09-09 19:00:40
2023,"REG","NYJ",1,"00-0026166","T","Duane Brown","Duane","Brown","Shoulder",NA,"Questionable","Shoulder",NA,"Full Participation in Practice",2023-09-09 19:00:40
2023,"REG","NYJ",1,"00-0038120","RB","Breece Hall","Breece","Hall","Knee",NA,"Questionable","Knee",NA,"Full Participation in Practice",2023-09-09 19:00:40
2023,"REG","NYJ",2,"00-0029621","K","Greg Zuerlein","Greg","Zuerlein","right Groin",NA,"Questionable","right Groin",NA,"Did Not Participate In Practice",2023-09-15 19:00:22
2023,"REG","NYJ",2,"00-0036284","T","Mekhi Becton","Mekhi","Becton","Knee",NA,"Questionable","Knee",NA,"Full Participation in Practice",2023-09-15 19:00:22
2023,"REG","NYJ",2,"00-0026166","T","Duane Brown","Duane","Brown","Shoulder",NA,"Questionable","Shoulder",NA,"Full Participation in Practice",2023-09-15 19:00:22
2023,"REG","NYJ",2,"00-0038120","RB","Breece Hall","Breece","Hall","Knee",NA,"Questionable","Knee",NA,"Full Participation in Practice",2023-09-15 19:00:22
2023,"REG","NYJ",3,"00-0036284","T","Mekhi Becton","Mekhi","Becton",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-22 19:53:11
2023,"REG","NYJ",3,"00-0036501","CB","Michael Carter","Michael","Carter",NA,NA,NA,"Elbow",NA,"Full Participation in Practice",2023-09-22 19:53:24
2023,"REG","NYJ",3,"00-0038120","RB","Breece Hall","Breece","Hall",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-22 19:53:39
2023,"REG","NYJ",3,"00-0035680","LB","Quincy Williams","Quincy","Williams",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-22 19:53:43
2023,"REG","NYJ",3,"00-0037155","S","Tony Adams","Tony","Adams","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2023-09-22 19:54:26
2023,"REG","NYJ",3,"00-0032432","G","Wes Schweitzer","Wes","Schweitzer","Concussion",NA,"Out","Concussion",NA,"Did Not Participate In Practice",2023-09-22 19:54:57
2023,"REG","NYJ",3,"00-0026166","T","Duane Brown","Duane","Brown","Shoulder","Hip","Questionable","Shoulder","Hip","Did Not Participate In Practice",2023-09-22 19:54:19
2023,"REG","NYJ",3,"00-0034805","DE","John Franklin-Myers","John","Franklin-Myers","Hip",NA,"Questionable","Hip",NA,"Full Participation in Practice",2023-09-22 19:54:19
2023,"REG","NYJ",3,"00-0029621","K","Greg Zuerlein","Greg","Zuerlein","right Groin",NA,"Questionable","right Groin",NA,"Full Participation in Practice",2023-09-22 19:54:19
2023,"REG","NYJ",4,"00-0036284","T","Mekhi Becton","Mekhi","Becton",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-29 19:13:42
2023,"REG","NYJ",4,"00-0038107","DE","Micheal Clemons","Micheal","Clemons",NA,NA,NA,"Elbow",NA,"Full Participation in Practice",2023-09-27 19:37:14
2023,"REG","NYJ",4,"00-0038120","RB","Breece Hall","Breece","Hall",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-29 19:13:42
2023,"REG","NYJ",4,"00-0029621","K","Greg Zuerlein","Greg","Zuerlein",NA,NA,NA,"right Groin",NA,"Full Participation in Practice",2023-09-29 19:13:42
2023,"REG","NYJ",4,"00-0037155","S","Tony Adams","Tony","Adams","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2023-09-29 19:14:39
2023,"REG","NYJ",4,"00-0032432","G","Wes Schweitzer","Wes","Schweitzer","Concussion",NA,"Out","Concussion",NA,"Did Not Participate In Practice",2023-09-29 19:14:44
2023,"REG","NYJ",5,"00-0037155","S","Tony Adams","Tony","Adams",NA,NA,NA,"Hamstring",NA,"Full Participation in Practice",2023-10-06 19:51:55
2023,"REG","NYJ",5,"00-0036284","T","Mekhi Becton","Mekhi","Becton",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-10-06 19:51:55
2023,"REG","NYJ",5,"00-0032432","C","Wes Schweitzer","Wes","Schweitzer",NA,NA,NA,"Concussion",NA,"Full Participation in Practice",2023-10-06 19:51:55
2023,"REG","NYJ",5,"00-0036504","CB","Brandin Echols","Brandin","Echols","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2023-10-06 19:53:11
2023,"REG","NYJ",5,"00-0034384","CB","D.J. Reed","D.J.","Reed","Concussion",NA,"Out","Concussion",NA,"Did Not Participate In Practice",2023-10-06 19:53:03
2023,"REG","NYJ",5,"00-0031433","T","Billy Turner","Billy","Turner","Toe",NA,"Questionable","Toe",NA,"Did Not Participate In Practice",2023-10-06 19:52:41
2023,"REG","NYJ",5,"00-0038401","S","Jarrick Bernard-Converse","Jarrick","Bernard-Converse","Foot",NA,"Questionable","Foot",NA,"Full Participation in Practice",2023-10-06 19:52:59
2023,"REG","NYJ",5,"00-0039004","T","Carter Warren","Carter","Warren","Shoulder",NA,"Questionable","Shoulder",NA,"Full Participation in Practice",2023-10-06 19:52:41
2023,"REG","NYJ",5,"00-0034902","LB","Sam Eguavoen","Sam","Eguavoen","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-10-06 19:52:41
2023,"REG","NYJ",6,"00-0036284","T","Mekhi Becton","Mekhi","Becton",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-10-13 20:14:58
2023,"REG","NYJ",6,"00-0039145","C","Joe Tippmann","Joe","Tippmann",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-10-13 20:11:41
2023,"REG","NYJ",6,"00-0031433","T","Billy Turner","Billy","Turner",NA,NA,NA,"Toe",NA,"Full Participation in Practice",2023-10-13 20:11:51
2023,"REG","NYJ",6,"00-0036504","CB","Brandin Echols","Brandin","Echols","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2023-10-13 20:14:11
2023,"REG","NYJ",6,"00-0033770","CB","Justin Hardee","Justin","Hardee","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2023-10-13 20:14:21
2023,"REG","NYJ",6,"00-0034384","CB","D.J. Reed","D.J.","Reed","Concussion",NA,"Out","Concussion",NA,"Did Not Participate In Practice",2023-10-13 20:14:28
2023,"REG","NYJ",6,"00-0037190","CB","Ahmad Gardner","Ahmad","Gardner","Illness",NA,"Questionable","Illness",NA,"Did Not Participate In Practice",2023-10-13 20:14:00
2023,"REG","NYJ",6,"00-0034433","FB","Nick Bawden","Nick","Bawden","Calf",NA,"Questionable","Calf",NA,"Full Participation in Practice",2023-10-13 20:14:00
2023,"REG","NYJ",6,"00-0038107","DE","Micheal Clemons","Micheal","Clemons","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-10-13 20:14:00
2023,"REG","NYJ",6,"00-0038496","WR","Xavier Gipson","Xavier","Gipson","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-10-13 20:14:00
2023,"REG","NYJ",8,"00-0036284","T","Mekhi Becton","Mekhi","Becton",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-10-27 18:40:24
2023,"REG","NYJ",8,"00-0038107","DE","Micheal Clemons","Micheal","Clemons",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-10-27 18:40:24
2023,"REG","NYJ",8,"00-0036504","CB","Brandin Echols","Brandin","Echols",NA,NA,NA,"Hamstring",NA,"Full Participation in Practice",2023-10-27 18:40:24
