OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Rank,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Player,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_JerseyNumber,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Position,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_GamesPlayed,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_OffenseTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_BlockingTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_BlockingTotalSnapsPercentage,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_RunBlockingSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PassBlockingSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_OffenseOverallGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_RunBlockingGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PassBlockingGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotalSnapsPercentage,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedSacks,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedHits,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedHurries,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotal,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedEfficiency,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Penalties,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtLeftTackle,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtLeftGuard,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtCenter,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtRightGuard,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtRightTackle,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtInlineTightEnd
1.0,Allen Lazard,#10,WR,14.0,685,204,29.8,202.0,2.0,52.7,57.6,74.9,2.0,0.4,0.0,0.0,0.0,0.0,100.0,5 (0),0.0,0,0.0,0.0,0.0,10.0
2.0,Tyler Conklin,#83,TE,17.0,770,270,35.1,233.0,37.0,65.6,54.0,66.6,37.0,7.3,0.0,0.0,3.0,3.0,95.9,1 (0),1.0,0,0.0,0.0,0.0,371.0
3.0,Ashtyn Davis,#21,S,3.0,3,1,33.3,0.0,1.0,61.3,-,63.8,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0,0.0,0.0,0.0,0.0
3.0,Adrian Amos,#00,S,2.0,2,2,100.0,1.0,1.0,60.0,60.0,63.8,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0,0.0,0.0,0.0,0.0
5.0,Marcelino McCrary-Ball,#41,LB,1.0,1,1,100.0,0.0,1.0,60.0,-,62.7,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0,0.0,0.0,0.0,0.0
5.0,Jamien Sherwood,#44,LB,3.0,3,3,100.0,2.0,1.0,60.0,60.0,62.7,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0,0.0,0.0,0.0,0.0
7.0,Thomas Hennessy,#42,LS,3.0,3,3,100.0,2.0,1.0,60.0,60.0,61.5,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0,0.0,0.0,0.0,0.0
8.0,Dalvin Cook,#33,HB,15.0,202,40,19.8,7.0,33.0,54.3,60.0,61.0,31.0,25.8,2.0,1.0,0.0,3.0,91.9,0 (0),0.0,0,0.0,0.0,0.0,5.0
9.0,Mekhi Becton,#77,T,16.0,985,985,100.0,341.0,644.0,53.2,56.3,60.7,610.0,100.0,12.0,8.0,30.0,50.0,94.9,18 (4),883.0,0,0.0,0.0,101.0,1.0
10.0,Laken Tomlinson,#78,G,17.0,"1,099","1,099",100.0,366.0,733.0,55.0,49.6,60.6,692.0,100.0,7.0,10.0,34.0,51.0,95.8,3 (0),0.0,"1,099",0.0,0.0,0.0,0.0
11.0,Wes Schweitzer,#71,G,3.0,149,149,100.0,50.0,99.0,52.7,47.0,60.0,94.0,100.0,1.0,0.0,4.0,5.0,96.8,1 (0),0.0,0,10.0,139.0,0.0,0.0
12.0,Jake Hanson,#62,G,5.0,244,244,100.0,79.0,165.0,51.8,48.7,59.7,154.0,100.0,0.0,1.0,8.0,9.0,97.1,1 (0),0.0,0,0.0,244.0,0.0,0.0
13.0,Chris Glaser,#63,G,3.0,83,83,100.0,32.0,51.0,45.5,52.6,59.5,46.0,100.0,1.0,0.0,1.0,2.0,96.7,2 (0),0.0,0,29.0,54.0,0.0,0.0
14.0,Israel Abanikanda,#25,HB,6.0,77,6,7.8,2.0,4.0,59.0,60.0,59.0,4.0,7.8,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0,0.0,0.0,0.0,3.0
15.0,Alijah Vera-Tucker,#75,T,5.0,250,250,100.0,86.0,164.0,71.7,82.7,56.8,155.0,100.0,2.0,1.0,11.0,14.0,94.8,1 (0),0.0,0,0.0,101.0,149.0,0.0
16.0,Nick Bawden,#48,FB,16.0,130,91,70.0,69.0,22.0,50.8,50.8,55.3,21.0,37.5,0.0,0.0,2.0,2.0,95.2,1 (0),0.0,0,0.0,0.0,0.0,11.0
17.0,Kenny Yeboah,#88,TE,5.0,124,87,70.2,79.0,8.0,57.0,60.8,54.8,8.0,18.6,0.0,0.0,1.0,1.0,93.7,0 (0),0.0,0,0.0,0.0,0.0,103.0
18.0,Breece Hall,#20,HB,17.0,665,82,12.3,26.0,56.0,82.4,57.4,53.9,49.0,12.7,0.0,0.0,2.0,2.0,98.0,0 (0),0.0,0,0.0,0.0,0.0,15.0
19.0,Joe Tippmann,#66,C,14.0,852,852,100.0,274.0,578.0,61.0,67.4,52.7,549.0,100.0,3.0,2.0,15.0,20.0,97.9,8 (3),0.0,0,653.0,199.0,0.0,0.0
20.0,Billy Turner,#54,T,8.0,208,208,100.0,57.0,151.0,50.9,50.2,51.9,143.0,100.0,4.0,2.0,10.0,16.0,93.0,1 (1),7.0,0,0.0,37.0,163.0,1.0
21.0,C.J. Uzomah,#87,TE,12.0,240,129,53.8,106.0,23.0,66.4,74.5,48.9,23.0,18.4,1.0,0.0,2.0,3.0,91.3,3 (0),0.0,0,0.0,0.0,0.0,196.0
22.0,Max Mitchell,#61,T,9.0,474,474,100.0,138.0,336.0,49.3,49.4,47.5,315.0,100.0,6.0,4.0,20.0,30.0,94.3,1 (0),0.0,0,0.0,81.0,392.0,1.0
23.0,Carter Warren,#67,T,6.0,401,401,100.0,143.0,258.0,46.9,49.9,45.5,243.0,100.0,5.0,2.0,13.0,20.0,94.9,2 (0),107.0,0,0.0,0.0,294.0,0.0
24.0,Duane Brown,#76,T,4.0,111,110,99.1,42.0,68.0,47.9,53.5,38.3,63.0,98.4,2.0,3.0,4.0,9.0,91.3,1 (1),101.0,0,0.0,0.0,0.0,10.0
24.0,Xavier Gipson,#82,WR,15.0,494,124,25.1,123.0,1.0,56.2,50.1,38.3,1.0,0.3,0.0,0.0,1.0,1.0,50.0,2 (0),0.0,0,0.0,0.0,0.0,0.0
26.0,Jeremy Ruckert,#89,TE,15.0,313,171,54.6,147.0,24.0,57.5,55.0,36.3,23.0,14.4,0.0,1.0,0.0,1.0,97.8,3 (1),0.0,0,0.0,0.0,0.0,217.0
27.0,Xavier Newman,#65,G,5.0,280,280,100.0,97.0,183.0,48.3,55.9,33.7,175.0,100.0,3.0,3.0,9.0,15.0,94.9,1 (0),0.0,0,36.0,244.0,0.0,0.0
28.0,Connor McGovern,#60,C,7.0,371,371,100.0,131.0,240.0,48.5,62.5,30.5,225.0,100.0,1.0,5.0,12.0,18.0,95.8,6 (2),0.0,0,371.0,0.0,0.0,0.0
29.0,Michael Carter,#32,HB,9.0,142,26,18.3,2.0,24.0,47.9,60.0,30.0,23.0,18.7,0.0,3.0,2.0,5.0,89.1,2 (0),0.0,0,0.0,0.0,0.0,10.0
30.0,Brandin Echols,#26,CB,2.0,2,1,50.0,1.0,0.0,77.5,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0,0.0,0.0,0.0,0.0
30.0,Aaron Rodgers,#08,QB,1.0,4,1,25.0,1.0,0.0,39.4,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0,0.0,0.0,0.0,0.0
30.0,Chazz Surratt,#55,LB,2.0,2,2,100.0,2.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0.0,0,0.0,0.0,0.0,0.0
30.0,Thomas Morstead,#05,P,3.0,3,2,66.7,2.0,0.0,69.8,59.5,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0,0.0,0.0,0.0,0.0
30.0,Zack Kuntz,#81,TE,1.0,2,2,100.0,2.0,0.0,60.1,59.9,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0.0,0,0.0,0.0,0.0,2.0
30.0,Justin Hardee,#34,CB,2.0,2,2,100.0,2.0,0.0,59.9,59.5,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0.0,0,0.0,0.0,0.0,0.0
30.0,Sam Eguavoen,#52,LB,2.0,2,2,100.0,2.0,0.0,60.0,59.8,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0.0,0,0.0,0.0,0.0,0.0
