Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties,Team
Julio Jones,#80,WR,12.0,249,176.0,0.0,0.0,73.0,55.0,54.8,-,-,56.1,0 (0),philadelphia-eagles
Jason Kelce,#62,C,18.0,"1,165",0.0,698.0,0.0,467.0,78.6,60.0,70.9,-,84.3,6 (0),philadelphia-eagles
Lane Johnson,#65,T,17.0,"1,038",0.0,616.0,0.0,422.0,80.1,-,80.0,-,75.8,4 (0),philadelphia-eagles
Marcus Mariota,#08,QB,4.0,46,29.0,0.0,5.0,12.0,66.3,55.6,-,80.7,60.0,1 (0),philadelphia-eagles
Dallas Goedert,#88,TE,15.0,857,494.0,20.0,0.0,343.0,71.0,67.7,79.7,-,73.4,4 (0),philadelphia-eagles
Boston Scott,#35,HB,11.0,68,32.0,6.0,20.0,10.0,60.8,50.5,35.1,69.9,44.0,0 (0),philadelphia-eagles
Jordan Mailata,#68,T,18.0,"1,206",4.0,719.0,0.0,483.0,84.8,47.4,84.5,-,83.9,9 (1),philadelphia-eagles
Rashaad Penny,#23,HB,3.0,31,12.0,5.0,11.0,3.0,44.5,57.4,18.0,49.4,60.0,1 (0),philadelphia-eagles
Fred Johnson,#74,T,3.0,37,0.0,23.0,0.0,14.0,74.8,-,76.2,-,72.9,0 (0),philadelphia-eagles
Olamide Zaccheaus,#13,WR,18.0,510,350.0,0.0,0.0,160.0,51.1,51.8,-,-,44.5,0 (0),philadelphia-eagles
A.J. Brown,#11,WR,17.0,"1,019",604.0,3.0,0.0,412.0,90.0,90.4,80.3,-,51.0,2 (0),philadelphia-eagles
Brett Toth,#64,G,1.0,74,0.0,44.0,0.0,30.0,44.1,-,32.3,-,49.0,1 (0),carolina-panthers
Noah Togiai,#83,TE,1.0,7,3.0,0.0,0.0,4.0,69.5,54.5,-,-,70.7,0 (0),philadelphia-eagles
Quez Watkins,#16,WR,10.0,351,239.0,0.0,0.0,112.0,59.2,59.3,-,-,51.4,0 (0),philadelphia-eagles
D'Andre Swift,#00,HB,17.0,669,320.0,47.0,240.0,62.0,66.5,53.5,48.9,71.6,53.8,1 (0),philadelphia-eagles
Jalen Hurts,#01,QB,18.0,"1,160",694.0,0.0,117.0,349.0,86.7,83.9,-,76.7,60.0,7 (0),philadelphia-eagles
Jack Driscoll,#63,T,8.0,174,0.0,107.0,0.0,67.0,48.5,-,58.6,-,37.2,0 (0),philadelphia-eagles
Albert Okwuegbunam,#85,TE,4.0,57,40.0,0.0,0.0,17.0,47.6,48.1,-,-,57.0,0 (0),philadelphia-eagles
Jack Stoll,#89,TE,18.0,464,159.0,35.0,0.0,270.0,50.8,39.4,51.2,-,63.6,1 (0),philadelphia-eagles
DeVonta Smith,#06,WR,17.0,"1,100",668.0,0.0,0.0,432.0,75.4,77.1,-,-,45.1,1 (0),philadelphia-eagles
Kenneth Gainwell,#14,HB,17.0,461,242.0,71.0,90.0,58.0,55.3,60.4,47.2,52.4,55.4,0 (0),philadelphia-eagles
Landon Dickerson,#69,G,17.0,"1,102",0.0,668.0,0.0,434.0,69.4,-,76.9,-,66.9,9 (2),philadelphia-eagles
Grant Calcaterra,#81,TE,14.0,120,47.0,8.0,0.0,65.0,64.2,63.1,65.9,-,60.2,0 (0),philadelphia-eagles
Britain Covey,#18,WR,9.0,61,37.0,0.0,0.0,24.0,57.8,60.5,-,-,41.1,0 (0),philadelphia-eagles
Cam Jurgens,#51,G,12.0,713,0.0,427.0,0.0,286.0,61.4,-,51.6,-,64.8,3 (1),philadelphia-eagles
Tyler Steen,#56,G,4.0,71,0.0,42.0,0.0,29.0,53.2,-,21.9,-,64.1,0 (0),philadelphia-eagles
