DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_Rank,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_Player,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_JerseyNumber,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_Position,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_GamesPlayed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_PassRushSnaps,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnaps,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnapsPercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageGrade,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoveragePenalties,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageTargets,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageReceptionsAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageReceptionPercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageYardsAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageYardsPerReceptionAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageYardsAfterCatchAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageAverageDepthOfTarget,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageLongestReceptionAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageForcedIncompletions,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageForcedIncompletionPercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoveragePassBreakups,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageInterceptions,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageDrops,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageTouchdownsAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoveragePasserRatingAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnapsPerTarget,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageSnapsPerReceptionAllowed,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageTackles,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageAssists,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageMissedTackles,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageMissedTacklePercentage,DEFENSE-COVERAGE_2023_DEFENSE-COVERAGE_2023_CoverageStops
1.0,Reed Blankenship,#32,S,15.0,626.0,617.0,98.6,78.0,1 (0),50.0,35.0,70.0,367.0,10.5,139.0,10.6,69.0,8.0,16.0,6.0,3.0,1.0,6.0,105.6,11.7,16.7,53.0,11.0,7.0,9.9,13.0
2.0,Ben VanSumeren,#57,LB,2.0,21.0,21.0,100.0,69.7,0 (0),2.0,2.0,100.0,3.0,1.5,7.0,-2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,79.2,9.5,9.5,1.0,1.0,0.0,0.0,0.0
2.0,Josh Sweat,#94,ED,18.0,621.0,24.0,3.9,69.7,6 (0),2.0,2.0,100.0,6.0,3.0,15.0,-4.5,6.0,0.0,0.0,0.0,0.0,1.0,0.0,79.2,11.5,11.5,7.0,0.0,4.0,36.4,11.0
4.0,Brandon Graham,#55,ED,18.0,270.0,22.0,8.1,69.0,1 (0),1.0,0.0,0.0,0.0,,0.0,-7.0,,0.0,0.0,0.0,0.0,0.0,0.0,39.6,22.0,,3.0,0.0,1.0,25.0,4.0
5.0,Kevin Byard,#31,S,11.0,506.0,494.0,97.6,68.5,3 (2),38.0,32.0,84.2,321.0,10.0,125.0,6.6,40.0,1.0,3.0,1.0,1.0,0.0,2.0,108.4,12.3,14.6,36.0,9.0,3.0,6.3,7.0
6.0,Zach Cunningham,#52,LB,14.0,572.0,519.0,90.7,67.9,2 (0),67.0,47.0,70.1,390.0,8.3,297.0,3.7,32.0,8.0,12.0,6.0,0.0,1.0,1.0,89.8,7.3,10.4,38.0,8.0,8.0,14.8,14.0
7.0,Tristin McCollum,#36,S,1.0,19.0,19.0,100.0,65.7,0 (0),2.0,1.0,50.0,6.0,6.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,56.3,9.0,18.0,2.0,0.0,0.0,0.0,1.0
8.0,Darius Slay,#02,CB,13.0,616.0,616.0,100.0,65.4,3 (0),84.0,54.0,64.3,618.0,11.4,252.0,10.3,39.0,13.0,16.0,7.0,2.0,2.0,2.0,84.3,7.0,10.8,49.0,1.0,6.0,10.7,12.0
9.0,Derek Barnett,#96,ED,8.0,60.0,5.0,8.3,65.0,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0
10.0,Sydney Brown,#21,S,13.0,227.0,221.0,97.4,64.9,1 (1),24.0,21.0,87.5,211.0,10.0,105.0,6.3,32.0,1.0,4.0,1.0,1.0,0.0,2.0,113.7,8.7,9.9,19.0,6.0,2.0,7.4,5.0
11.0,Kelee Ringo,#22,CB,7.0,135.0,134.0,99.3,63.5,4 (0),9.0,5.0,55.6,61.0,12.2,20.0,17.9,39.0,1.0,11.0,1.0,1.0,0.0,1.0,74.1,13.6,24.4,9.0,0.0,1.0,10.0,3.0
12.0,Patrick Johnson,#48,ED,2.0,22.0,3.0,13.6,61.7,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,100.0,0.0
13.0,Justin Evans,#30,S,4.0,153.0,152.0,99.3,61.2,0 (0),12.0,5.0,41.7,58.0,11.6,29.0,12.3,24.0,1.0,8.0,1.0,0.0,0.0,1.0,84.7,12.2,29.2,8.0,3.0,0.0,0.0,0.0
14.0,Josiah Scott,#34,CB,1.0,14.0,14.0,100.0,59.3,0 (0),4.0,4.0,100.0,11.0,2.8,9.0,0.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,79.2,3.5,3.5,1.0,0.0,0.0,0.0,0.0
15.0,Terrell Edmunds,#26,S,6.0,218.0,218.0,100.0,58.5,2 (0),10.0,8.0,80.0,101.0,12.6,26.0,11.7,20.0,0.0,0.0,0.0,0.0,1.0,0.0,108.8,20.4,25.5,18.0,2.0,2.0,9.1,3.0
16.0,Shaquille Leonard,#53,LB,5.0,90.0,82.0,91.1,57.2,0 (0),8.0,7.0,87.5,45.0,6.4,50.0,-1.3,8.0,0.0,0.0,0.0,0.0,0.0,1.0,129.7,9.6,11.0,5.0,2.0,1.0,12.5,3.0
17.0,Bradley Roby,#33,CB,10.0,260.0,254.0,97.7,57.0,0 (0),38.0,23.0,60.5,168.0,7.3,122.0,5.9,26.0,0.0,0.0,0.0,0.0,0.0,0.0,70.9,6.4,10.5,19.0,2.0,6.0,22.2,11.0
