"season","game_type","team","week","gsis_id","position","full_name","first_name","last_name","report_primary_injury","report_secondary_injury","report_status","practice_primary_injury","practice_secondary_injury","practice_status","date_modified"
2023,"REG","PHI",1,"00-0037136","CB","Mario Goodrich","Mario","Goodrich",NA,NA,NA,"Illness",NA,"Full Participation in Practice",2023-09-08 19:46:44
2023,"REG","PHI",1,"00-0037137","CB","Josh Jobe","Josh","Jobe",NA,NA,NA,"Illness",NA,"Full Participation in Practice",2023-09-08 19:46:38
2023,"REG","PHI",2,"00-0037615","LB","Nakobe Dean","Nakobe","Dean",NA,NA,NA,"Foot",NA,"Did Not Participate In Practice",2023-09-11 22:10:04
2023,"REG","PHI",2,"00-0037130","S","Reed Blankenship","Reed","Blankenship","Ribs",NA,"Out","Ribs",NA,"Did Not Participate In Practice",2023-09-13 19:51:45
2023,"REG","PHI",2,"00-0032890","CB","James Bradberry","James","Bradberry","Concussion",NA,"Out","Concussion",NA,"Did Not Participate In Practice",2023-09-13 19:51:52
2023,"REG","PHI",2,"00-0036919","RB","Kenneth Gainwell","Kenneth","Gainwell","Ribs",NA,"Out","Ribs",NA,"Did Not Participate In Practice",2023-09-13 19:51:59
2023,"REG","PHI",2,"00-0029653","DT","Fletcher Cox","Fletcher","Cox","Ribs",NA,"Questionable","Ribs",NA,"Limited Participation in Practice",2023-09-13 19:51:38
2023,"REG","PHI",3,"00-0037130","S","Reed Blankenship","Reed","Blankenship",NA,NA,NA,"Ribs",NA,"Full Participation in Practice",2023-09-23 19:47:40
2023,"REG","PHI",3,"00-0032890","CB","James Bradberry","James","Bradberry",NA,NA,NA,"Concussion",NA,"Full Participation in Practice",2023-09-23 19:47:40
2023,"REG","PHI",3,"00-0029653","DT","Fletcher Cox","Fletcher","Cox",NA,NA,NA,"Ribs",NA,"Full Participation in Practice",2023-09-23 19:47:40
2023,"REG","PHI",3,"00-0033547","LB","Zach Cunningham","Zach","Cunningham",NA,NA,NA,"Ribs",NA,"Full Participation in Practice",2023-09-23 19:47:56
2023,"REG","PHI",3,"00-0037073","DT","Jordan Davis","Jordan","Davis",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-23 19:48:04
2023,"REG","PHI",3,"00-0034858","S","Terrell Edmunds","Terrell","Edmunds",NA,NA,NA,"Illness",NA,"Full Participation in Practice",2023-09-23 19:48:12
2023,"REG","PHI",3,"00-0036919","RB","Kenneth Gainwell","Kenneth","Gainwell",NA,NA,NA,"Ribs",NA,"Full Participation in Practice",2023-09-23 19:47:40
2023,"REG","PHI",3,"00-0036912","WR","DeVonta Smith","DeVonta","Smith",NA,NA,NA,"Hamstring","Thigh","Full Participation in Practice",2023-09-23 19:48:22
2023,"REG","PHI",3,"00-0036741","TE","Jack Stoll","Jack","Stoll",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-23 19:48:30
2023,"REG","PHI",3,"00-0034381","DE","Josh Sweat","Josh","Sweat",NA,NA,NA,"Toe",NA,"Full Participation in Practice",2023-09-23 19:48:39
2023,"REG","PHI",3,"00-0036271","WR","Quez Watkins","Quez","Watkins","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2023-09-23 19:49:27
2023,"REG","PHI",3,"00-0034414","RB","Boston Scott","Boston","Scott","Concussion",NA,"Out","Concussion",NA,"Limited Participation in Practice",2023-09-23 19:49:10
2023,"REG","PHI",4,"00-0037132","WR","Britain Covey","Britain","Covey",NA,NA,NA,"Hamstring",NA,"Full Participation in Practice",2023-09-29 19:36:00
2023,"REG","PHI",4,"00-0033547","LB","Zach Cunningham","Zach","Cunningham",NA,NA,NA,"Ribs",NA,"Full Participation in Practice",2023-09-29 19:36:00
2023,"REG","PHI",4,"00-0037002","G","Landon Dickerson","Landon","Dickerson",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-29 19:36:00
2023,"REG","PHI",4,"00-0038112","G","Cam Jurgens","Cam","Jurgens",NA,NA,NA,"Groin",NA,"Full Participation in Practice",2023-09-29 19:36:30
2023,"REG","PHI",4,"00-0034414","RB","Boston Scott","Boston","Scott",NA,NA,NA,"Concussion",NA,"Full Participation in Practice",2023-09-29 19:36:00
2023,"REG","PHI",4,"00-0029653","DT","Fletcher Cox","Fletcher","Cox",NA,NA,NA,"Knee",NA,"Limited Participation in Practice",2023-09-29 19:36:00
2023,"REG","PHI",4,"00-0036912","WR","DeVonta Smith","DeVonta","Smith",NA,NA,NA,"Illness",NA,"Limited Participation in Practice",2023-09-29 19:36:38
2023,"REG","PHI",4,"00-0039002","S","Sydney Brown","Sydney","Brown","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2023-09-29 19:36:50
2023,"REG","PHI",4,"00-0036271","WR","Quez Watkins","Quez","Watkins","Hamstring",NA,"Out","Hamstring",NA,"Limited Participation in Practice",2023-09-29 19:37:11
2023,"REG","PHI",4,"00-0033898","S","Justin Evans","Justin","Evans","Neck",NA,"Questionable","Neck",NA,"Full Participation in Practice",2023-09-29 19:36:45
2023,"REG","PHI",5,"00-0033445","LB","Nicholas Morrow","Nicholas","Morrow",NA,NA,NA,"Not injury related - personal matter",NA,"Did Not Participate In Practice",2023-10-06 19:52:37
2023,"REG","PHI",5,"00-0033898","S","Justin Evans","Justin","Evans",NA,NA,NA,"Neck",NA,"Full Participation in Practice",2023-10-06 19:51:55
2023,"REG","PHI",5,"00-0036271","WR","Quez Watkins","Quez","Watkins",NA,NA,NA,"Hamstring",NA,"Full Participation in Practice",2023-10-06 19:51:55
