OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Rank,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Player,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_JerseyNumber,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Position,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_GamesPlayed,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_OffenseTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_BlockingTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_BlockingTotalSnapsPercentage,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_RunBlockingSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PassBlockingSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_OffenseOverallGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_RunBlockingGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PassBlockingGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotalSnapsPercentage,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedSacks,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedHits,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedHurries,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotal,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedEfficiency,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Penalties,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtLeftTackle,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtLeftGuard,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtCenter,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtRightGuard,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtRightTackle,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtInlineTightEnd
1.0,Jordan Mailata,#68,T,18.0,"1,206","1,202",99.7,483.0,719.0,84.8,83.9,84.5,687.0,99.4,3.0,2.0,41.0,46.0,96.4,9 (1),"1,192",0,0,0.0,0,14.0
2.0,A.J. Brown,#11,WR,17.0,"1,019",415,40.7,412.0,3.0,90.0,51.0,80.3,3.0,0.5,0.0,0.0,0.0,0.0,100.0,2 (0),0,0,0,0.0,0,25.0
3.0,Lane Johnson,#65,T,17.0,"1,038","1,038",100.0,422.0,616.0,80.1,75.8,80.0,586.0,100.0,3.0,2.0,30.0,35.0,96.8,4 (0),9,0,0,0.0,"1,028",0.0
4.0,Dallas Goedert,#88,TE,15.0,857,363,42.4,343.0,20.0,71.0,73.4,79.7,19.0,3.9,0.0,0.0,0.0,0.0,100.0,4 (0),0,0,0,0.0,0,442.0
5.0,Landon Dickerson,#69,G,17.0,"1,102","1,102",100.0,434.0,668.0,69.4,66.9,76.9,638.0,100.0,5.0,5.0,28.0,38.0,96.6,9 (2),0,"1,067",35,0.0,0,0.0
6.0,Fred Johnson,#74,T,3.0,37,37,100.0,14.0,23.0,74.8,72.9,76.2,23.0,100.0,0.0,0.0,1.0,1.0,97.8,0 (0),0,0,0,0.0,37,0.0
7.0,Jason Kelce,#62,C,18.0,"1,165","1,165",100.0,467.0,698.0,78.6,84.3,70.9,666.0,100.0,1.0,1.0,13.0,15.0,98.8,6 (0),0,0,"1,165",0.0,0,0.0
8.0,Grant Calcaterra,#81,TE,14.0,120,73,60.8,65.0,8.0,64.2,60.2,65.9,8.0,14.5,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,0,0.0,0,75.0
9.0,Nolan Smith,#03,ED,1.0,1,1,100.0,0.0,1.0,60.0,-,63.8,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,0,0.0,0,0.0
9.0,Reed Blankenship,#32,S,2.0,4,4,100.0,3.0,1.0,60.0,60.0,63.8,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,0,0.0,0,0.0
11.0,Patrick Johnson,#48,ED,1.0,1,1,100.0,0.0,1.0,60.0,-,62.7,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,0,0.0,0,0.0
