OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_Rank,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_Player,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_JerseyNumber,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_Position,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_GamesPlayed,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnaps,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnaps.1,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnapsPercentage,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingGrade,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingPenalties,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnapsInZoneScheme,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnapsInZoneSchemePercentage,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingGradeInZoneScheme,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnapsInGapScheme,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingTotalSnapsInGapSchemePercentage,OFFENSE-RUN-BLOCKING_2023_OFFENSE-RUN-BLOCKING_2023_RunBlockingGradeInGapScheme
1.0,Jason Kelce,#62,C,18.0,467.0,467.0,100.0,84.3,0 (0),250.0,53.5,83.8,130.0,27.8,72.1
2.0,Jordan Mailata,#68,T,18.0,483.0,483.0,100.0,83.9,2 (1),262.0,54.2,92.7,134.0,27.7,55.7
3.0,Lane Johnson,#65,T,17.0,422.0,422.0,100.0,75.8,0 (0),229.0,54.3,80.4,117.0,27.7,59.4
4.0,Dallas Goedert,#88,TE,15.0,343.0,343.0,100.0,73.4,0 (0),193.0,56.3,72.2,87.0,25.4,51.4
5.0,Fred Johnson,#74,T,3.0,14.0,14.0,100.0,72.9,0 (0),10.0,71.4,66.6,4.0,28.6,71.7
6.0,Noah Togiai,#83,TE,1.0,4.0,4.0,100.0,70.7,0 (0),3.0,75.0,70.5,0.0,0.0,-
7.0,Landon Dickerson,#69,G,17.0,434.0,434.0,100.0,66.9,5 (2),234.0,53.9,65.9,117.0,27.0,63.6
8.0,Cam Jurgens,#51,G,12.0,286.0,286.0,100.0,64.8,0 (0),161.0,56.3,76.9,72.0,25.2,56.9
9.0,Tyler Steen,#56,G,2.0,29.0,29.0,100.0,64.1,0 (0),13.0,44.8,77.0,12.0,41.4,49.6
10.0,Jack Stoll,#89,TE,18.0,270.0,270.0,100.0,63.6,0 (0),145.0,53.7,73.9,75.0,27.8,51.9
11.0,Grant Calcaterra,#81,TE,13.0,65.0,65.0,100.0,60.2,0 (0),27.0,41.5,61.2,28.0,43.1,60.9
12.0,Reed Blankenship,#32,S,1.0,3.0,3.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
12.0,Rashaad Penny,#23,HB,3.0,14.0,3.0,21.4,60.0,0 (0),0.0,0.0,-,1.0,33.3,60.0
12.0,Marcus Mariota,#08,QB,4.0,17.0,12.0,70.6,60.0,0 (0),10.0,83.3,60.0,2.0,16.7,60.0
12.0,Jalen Hurts,#01,QB,18.0,466.0,349.0,74.9,60.0,0 (0),233.0,66.8,60.0,110.0,31.5,60.0
16.0,Albert Okwuegbunam,#85,TE,4.0,17.0,17.0,100.0,57.0,0 (0),4.0,23.5,58.3,3.0,17.6,59.4
17.0,Julio Jones,#80,WR,12.0,73.0,73.0,100.0,56.1,0 (0),37.0,50.7,63.2,22.0,30.1,55.6
18.0,Kenneth Gainwell,#14,HB,17.0,148.0,58.0,39.2,55.4,0 (0),6.0,10.3,58.2,9.0,15.5,67.6
19.0,D'Andre Swift,#00,HB,17.0,302.0,62.0,20.5,53.8,0 (0),15.0,24.2,58.7,12.0,19.4,57.4
20.0,Quez Watkins,#16,WR,10.0,112.0,112.0,100.0,51.4,0 (0),60.0,53.6,71.5,41.0,36.6,48.0
21.0,A.J. Brown,#11,WR,17.0,412.0,412.0,100.0,51.0,0 (0),229.0,55.6,61.3,109.0,26.5,64.9
22.0,Sua Opeta,#78,G,10.0,219.0,219.0,100.0,50.2,0 (0),118.0,53.9,52.9,67.0,30.6,49.3
23.0,DeVonta Smith,#06,WR,17.0,432.0,432.0,100.0,45.1,0 (0),244.0,56.5,66.3,115.0,26.6,56.4
24.0,Olamide Zaccheaus,#13,WR,17.0,160.0,160.0,100.0,44.5,0 (0),85.0,53.1,67.3,46.0,28.8,51.6
25.0,Boston Scott,#35,HB,9.0,30.0,10.0,33.3,44.0,0 (0),4.0,40.0,60.0,4.0,40.0,57.7
26.0,Britain Covey,#18,WR,7.0,24.0,24.0,100.0,41.1,0 (0),15.0,62.5,58.6,6.0,25.0,57.5
27.0,Jack Driscoll,#63,T,8.0,67.0,67.0,100.0,37.2,0 (0),33.0,49.3,40.7,17.0,25.4,44.3
,,,,,,,,,,,,,,,
