Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
Brandon Smith,#47,LB,2.0,31.0,12.0,13.0,4.0,2.0,0.0,0.0,92.1,-,-,-,0 (0),0.0,2.0,0.0
Josh Jobe,#28,CB,18.0,346.0,79.0,88.0,56.0,47.0,76.0,0.0,84.5,-,-,-,1 (0),6.0,0.0,3.0
Justin Evans,#30,S,4.0,36.0,5.0,19.0,0.0,4.0,8.0,0.0,82.9,-,-,-,0 (0),1.0,0.0,0.0
Kelee Ringo,#22,CB,18.0,319.0,68.0,95.0,64.0,15.0,77.0,0.0,82.0,-,-,-,1 (0),3.0,3.0,1.0
Ben VanSumeren,#57,LB,10.0,203.0,50.0,42.0,26.0,37.0,48.0,0.0,77.0,-,-,-,0 (0),3.0,2.0,1.0
Nolan Smith,#03,ED,18.0,268.0,91.0,95.0,52.0,24.0,6.0,0.0,72.1,-,-,-,1 (0),5.0,0.0,1.0
Tristin McCollum,#36,S,4.0,82.0,23.0,21.0,16.0,10.0,12.0,0.0,71.8,-,-,-,0 (0),0.0,0.0,2.0
Boston Scott,#35,HB,16.0,197.0,84.0,75.0,35.0,2.0,1.0,0.0,71.8,46.4,-,-,0 (0),0.0,1.0,0.0
Devon Allen,#82,WR,2.0,23.0,8.0,8.0,3.0,4.0,0.0,0.0,71.1,59.5,-,-,0 (0),0.0,0.0,0.0
Nicholas Morrow,#41,LB,16.0,119.0,30.0,15.0,5.0,51.0,18.0,0.0,70.0,-,-,-,0 (0),2.0,2.0,0.0
Jalen Carter,#98,DI,14.0,64.0,0.0,0.0,4.0,0.0,60.0,0.0,69.7,-,-,-,1 (0),0.0,0.0,0.0
Terrell Edmunds,#26,S,7.0,86.0,11.0,26.0,14.0,18.0,17.0,0.0,68.4,-,-,-,0 (0),2.0,0.0,0.0
