player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Mitchell Trubisky,2023,2,11.25,5.625,6.92,0.025,12.781361,6.390681,7.861957,00-0033869,2023,PIT,QB,QB,10.0,1994-08-20,CHI,2.0,29.0
Mason Rudolph,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0034771,2023,PIT,QB,QB,2.0,1995-06-17,PIT,76.0,28.0
Kenny Pickett,2022,4,14.067904,3.516976,14.067904,0.017,17.257169,4.314292,17.257169,00-0038102,2023,PIT,QB,QB,8.0,1998-06-06,PIT,20.0,25.0
Trace McSorley,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0035146,2023,PIT,QB,QB,10.0,1995-08-23,BAL,197.0,28.0
Najee Harris,2021,4,13.047444,3.261861,13.047444,0.018,18.259272,4.564818,18.259272,00-0036893,2023,PIT,RB,RB,22.0,1998-03-09,PIT,24.0,26.0
"Anthony McFarland, Jr.",2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0036336,2023,PIT,RB,RB,26.0,1999-03-04,PIT,124.0,25.0
Qadree Ollison,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0035273,2023,PIT,RB,RB,41.0,1996-09-08,ATL,152.0,27.0
Godwin Igwebuike,2023,1,1.01,1.01,0.0,0.004,1.147482,1.147482,0.0,00-0034614,2023,PIT,RB,RB,48.0,1994-09-10,,,29.0
Greg Bell,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037437,2023,PIT,RB,RB,38.0,1998-06-16,,,25.0
Jaylen Warren,2022,3,2.572,0.857333,0.012,0.004,3.155085,1.051695,0.01472,00-0037228,2023,PIT,RB,RB,30.0,1998-11-01,,,25.0
Darius Hagans,2023,3,2.715,0.905,0.02,0.004,3.084569,1.02819,0.022722,00-0038433,2023,PIT,RB,RB,25.0,,,,
Allen Robinson,2023,2,15.0,7.5,5.0,0.033,17.041815,8.520907,5.680605,00-0031428,2023,PIT,WR,WR,11.0,1993-08-24,JAX,61.0,30.0
Diontae Johnson,2022,2,36.71,18.355,27.0,0.088,45.032344,22.516172,33.121037,00-0035216,2023,PIT,WR,WR,18.0,1996-07-05,PIT,66.0,27.0
George Pickens,2022,4,6.752188,1.688047,3.867506,0.008,8.282943,2.070736,4.744289,00-0037247,2023,PIT,WR,WR,14.0,2001-03-04,PIT,52.0,23.0
Denzel Mims,2023,1,0.2898,0.2898,0.0,0.001,0.329248,0.329248,0.0,00-0036255,2023,PIT,WR,WR,15.0,1997-10-10,NYJ,59.0,26.0
Dez Fitzpatrick,2023,2,1.855,0.9275,0.0,0.004,2.107504,1.053752,0.0,00-0036627,2023,PIT,WR,WR,82.0,1997-12-17,TEN,109.0,26.0
Calvin Austin III,2022,4,4.164336,1.041084,0.504336,0.005,5.108412,1.277103,0.618672,00-0037837,2023,PIT,WR,WR,19.0,1999-03-24,PIT,138.0,25.0
Miles Boykin,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0035703,2023,PIT,WR,WR,13.0,1996-10-12,BAL,93.0,27.0
Hakeem Butler,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0035529,2023,PIT,TE,TE,21.0,1996-05-16,ARI,103.0,27.0
Duece Watts,2023,3,2.704,0.901333,0.009,0.004,3.072071,1.024023,0.010225,00-0038472,2023,PIT,WR,WR,85.0,1999-12-23,,,24.0
Jordan Byrd,2023,3,2.7025,0.900833,0.0075,0.004,3.070367,1.023455,0.008521,00-0038743,2023,PIT,RB,RB,16.0,,,,
Pat Freiermuth,2021,4,6.02818,1.507045,3.33814,0.008,8.436149,2.109037,4.671567,00-0036894,2023,PIT,TE,TE,88.0,1998-10-25,PIT,55.0,25.0
