DEFENSE_2023_DEFENSE_2023_Rank,DEFENSE_2023_DEFENSE_2023_Player,DEFENSE_2023_DEFENSE_2023_JerseyNumber,DEFENSE_2023_DEFENSE_2023_Position,DEFENSE_2023_DEFENSE_2023_GamesPlayed,DEFENSE_2023_DEFENSE_2023_DefenseTotalSnaps,DEFENSE_2023_DEFENSE_2023_DefenseRunDefenseSnaps,DEFENSE_2023_DEFENSE_2023_DefensePassRushSnaps,DEFENSE_2023_DEFENSE_2023_DefenseCoverageSnaps,DEFENSE_2023_DEFENSE_2023_DefenseOverallGrade,DEFENSE_2023_DEFENSE_2023_DefenseRunDefenseGrade,DEFENSE_2023_DEFENSE_2023_DefenseTacklingGrade,DEFENSE_2023_DEFENSE_2023_DefensePassRushGrade,DEFENSE_2023_DEFENSE_2023_DefenseCoverageGrade,DEFENSE_2023_DEFENSE_2023_DefenseTotalPressures,DEFENSE_2023_DEFENSE_2023_DefenseSacks,DEFENSE_2023_DEFENSE_2023_DefenseHits,DEFENSE_2023_DEFENSE_2023_DefenseHurries,DEFENSE_2023_DEFENSE_2023_DefenseBattedPasses,DEFENSE_2023_DEFENSE_2023_DefenseTackles,DEFENSE_2023_DEFENSE_2023_DefenseAssists,DEFENSE_2023_DEFENSE_2023_DefenseMissedTackles,DEFENSE_2023_DEFENSE_2023_DefenseMissedTacklePercentage,DEFENSE_2023_DEFENSE_2023_DefenseStops,DEFENSE_2023_DEFENSE_2023_DefenseForcedFumbles,DEFENSE_2023_DEFENSE_2023_DefenseTargets,DEFENSE_2023_DEFENSE_2023_DefenseReceptionsAllowed,DEFENSE_2023_DEFENSE_2023_DefenseReceptionPercentageAllowed,DEFENSE_2023_DEFENSE_2023_DefenseYardsAllowed,DEFENSE_2023_DEFENSE_2023_DefenseYardsPerReceptionAllowed,DEFENSE_2023_DEFENSE_2023_DefenseYardsAfterCatchAllowed,DEFENSE_2023_DEFENSE_2023_DefenseLongestReceptionAllowed,DEFENSE_2023_DEFENSE_2023_DefenseTouchdownsAllowed,DEFENSE_2023_DEFENSE_2023_DefenseInterceptions,DEFENSE_2023_DEFENSE_2023_DefensePassBreakups,DEFENSE_2023_DEFENSE_2023_DefensePasserRatingAllowed,DEFENSE_2023_DEFENSE_2023_DefensePenalties,DEFENSE_2023_DEFENSE_2023_DefenseSnapsOnDefensiveLine,DEFENSE_2023_DEFENSE_2023_DefenseSnapsInTheBox,DEFENSE_2023_DEFENSE_2023_DefenseSnapsAtFreeSafety,DEFENSE_2023_DEFENSE_2023_DefenseSnapsInTheSlot,DEFENSE_2023_DEFENSE_2023_DefenseSnapsAtCorner,DEFENSE_2023_DEFENSE_2023_DefenseSnapsAtA-Gap,DEFENSE_2023_DEFENSE_2023_DefenseSnapsAtB-Gap,DEFENSE_2023_DEFENSE_2023_DefenseSnapsOverTackle,DEFENSE_2023_DEFENSE_2023_DefenseSnapsOutside
1.0,T.J. Watt,#90,ED,17.0,930,323.0,551.0,56.0,91.9,80.7,59.0,91.7,70.6,86.0,20.0,19.0,47.0,6.0,37.0,11.0,6.0,11.1,49.0,4.0,10.0,9.0,90.0,107.0,11.9,80.0,28.0,0.0,1.0,0.0,71.7,4 (0),910.0,13.0,0.0,7.0,0.0,0.0,0.0,0.0,910.0
2.0,Alex Highsmith,#56,ED,18.0,974,357.0,531.0,86.0,90.0,77.3,66.2,85.9,86.3,72.0,8.0,12.0,52.0,0.0,34.0,18.0,6.0,10.3,34.0,2.0,11.0,6.0,54.5,77.0,12.8,51.0,25.0,0.0,2.0,1.0,37.1,3 (1),926.0,16.0,0.0,32.0,0.0,0.0,4.0,4.0,918.0
3.0,Blake Martinez,#40,LB,1.0,21,14.0,0.0,7.0,85.1,79.7,79.5,-,66.5,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4.0,Markus Golden,#44,ED,17.0,281,143.0,117.0,21.0,83.5,75.3,67.7,77.6,66.0,16.0,5.0,6.0,5.0,1.0,11.0,4.0,1.0,6.3,15.0,0.0,1.0,1.0,100.0,11.0,11.0,18.0,11.0,0.0,0.0,0.0,112.5,0 (0),274.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,273.0
5.0,Nick Herbig,#51,ED,18.0,211,107.0,81.0,23.0,81.0,78.1,35.2,81.6,44.3,10.0,3.0,0.0,7.0,0.0,14.0,5.0,4.0,17.4,13.0,2.0,4.0,4.0,100.0,41.0,10.3,36.0,14.0,0.0,0.0,0.0,109.4,0 (0),201.0,3.0,0.0,6.0,1.0,0.0,3.0,0.0,198.0
6.0,Elijah Riley,#37,S,5.0,50,14.0,2.0,34.0,79.8,47.9,29.9,70.5,84.5,3.0,1.0,0.0,2.0,0.0,5.0,3.0,4.0,33.3,4.0,0.0,2.0,1.0,50.0,36.0,36.0,10.0,36.0,0.0,0.0,0.0,95.8,0 (0),3.0,22.0,9.0,10.0,6.0,0.0,0.0,0.0,3.0
7.0,Armon Watts,#94,DI,16.0,286,131.0,155.0,0.0,77.3,75.2,35.4,65.6,61.2,17.0,1.0,3.0,13.0,0.0,9.0,8.0,3.0,15.0,9.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),286.0,0.0,0.0,0.0,0.0,16.0,131.0,112.0,27.0
8.0,Keeanu Benton,#95,DI,18.0,516,235.0,281.0,0.0,76.9,58.9,58.5,82.6,74.8,24.0,1.0,7.0,16.0,2.0,24.0,14.0,5.0,11.6,18.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,1 (0),515.0,1.0,0.0,0.0,0.0,198.0,292.0,18.0,7.0
9.0,Minkah Fitzpatrick,#39,S,11.0,616,260.0,19.0,337.0,73.3,83.1,83.1,57.1,67.9,1.0,0.0,0.0,1.0,0.0,54.0,24.0,5.0,6.0,19.0,0.0,30.0,20.0,66.7,242.0,12.1,115.0,42.0,2.0,0.0,2.0,113.5,3 (0),17.0,157.0,270.0,149.0,23.0,0.0,0.0,0.0,17.0
10.0,Cameron Heyward,#97,DI,12.0,497,192.0,305.0,0.0,73.1,67.7,62.1,64.8,67.4,21.0,2.0,1.0,18.0,1.0,30.0,7.0,3.0,7.5,27.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),496.0,1.0,0.0,0.0,0.0,17.0,269.0,162.0,48.0
11.0,Elandon Roberts,#50,LB,17.0,622,287.0,38.0,297.0,72.2,72.5,65.8,59.6,69.0,16.0,3.0,4.0,9.0,0.0,80.0,23.0,13.0,11.2,50.0,0.0,49.0,43.0,87.8,365.0,8.5,230.0,34.0,1.0,0.0,3.0,104.5,1 (0),7.0,576.0,1.0,34.0,4.0,0.0,0.0,0.0,7.0
12.0,Cole Holcomb,#55,LB,8.0,447,182.0,33.0,232.0,65.5,72.2,79.7,60.8,57.2,4.0,0.0,2.0,2.0,0.0,38.0,19.0,3.0,5.0,21.0,1.0,22.0,16.0,72.7,216.0,13.5,103.0,29.0,0.0,0.0,2.0,103.6,1 (0),32.0,374.0,0.0,36.0,5.0,0.0,0.0,0.0,32.0
13.0,Eric Rowe,#25,S,4.0,212,64.0,4.0,144.0,64.9,71.7,58.4,52.6,61.8,1.0,0.0,0.0,1.0,0.0,31.0,4.0,3.0,7.9,5.0,1.0,32.0,22.0,68.8,195.0,8.9,92.0,29.0,0.0,1.0,2.0,71.7,0 (0),3.0,61.0,85.0,54.0,9.0,0.0,0.0,0.0,3.0
