"season","game_type","team","week","gsis_id","position","full_name","first_name","last_name","report_primary_injury","report_secondary_injury","report_status","practice_primary_injury","practice_secondary_injury","practice_status","date_modified"
2023,"REG","PIT",1,"00-0027969","DT","Cameron Heyward","Cameron","Heyward",NA,NA,NA,"Not injury related - resting player","Stomach","Full Participation in Practice",2023-09-08 19:26:09
2023,"REG","PIT",1,"00-0033905","DT","Larry Ogunjobi","Larry","Ogunjobi","Foot",NA,"Questionable","Foot",NA,"Limited Participation in Practice",2023-09-08 19:26:55
2023,"REG","PIT",2,"00-0034347","G","James Daniels","James","Daniels",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-16 17:45:54
2023,"REG","PIT",2,"00-0036894","TE","Pat Freiermuth","Pat","Freiermuth",NA,NA,NA,"Chest",NA,"Full Participation in Practice",2023-09-16 17:45:41
2023,"REG","PIT",2,"00-0033905","DT","Larry Ogunjobi","Larry","Ogunjobi",NA,NA,NA,"Foot",NA,"Full Participation in Practice",2023-09-16 17:46:08
2023,"REG","PIT",2,"00-0034768","T","Chukwuma Okorafor","Chukwuma","Okorafor",NA,NA,NA,"Concussion",NA,"Full Participation in Practice",2023-09-16 17:46:15
2023,"REG","PIT",2,"00-0032954","G","Isaac Seumalo","Isaac","Seumalo",NA,NA,NA,"Not injury related - resting player",NA,"Full Participation in Practice",2023-09-16 17:46:27
2023,"REG","PIT",2,"00-0037247","WR","George Pickens","George","Pickens",NA,NA,NA,"Hamstring",NA,"Limited Participation in Practice",2023-09-16 17:46:46
2023,"REG","PIT",2,"00-0035216","WR","Diontae Johnson","Diontae","Johnson","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2023-09-16 17:47:16
2023,"REG","PIT",2,"00-0036336","RB","Anthony McFarland","Anthony","McFarland","Knee",NA,"Out","Knee",NA,"Did Not Participate In Practice",2023-09-16 17:48:01
2023,"REG","PIT",3,"00-0034789","S","Minkah Fitzpatrick","Minkah","Fitzpatrick",NA,NA,NA,"Chest",NA,"Full Participation in Practice",2023-09-22 18:51:10
2023,"REG","PIT",3,"00-0032127","LB","Markus Golden","Markus","Golden",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-22 18:51:16
2023,"REG","PIT",3,"00-0033512","S","Damontae Kazee","Damontae","Kazee",NA,NA,NA,"Calf",NA,"Full Participation in Practice",2023-09-22 18:51:21
2023,"REG","PIT",3,"00-0033905","DT","Larry Ogunjobi","Larry","Ogunjobi",NA,NA,NA,"Foot",NA,"Full Participation in Practice",2023-09-22 18:51:26
2023,"REG","PIT",3,"00-0027943","CB","Patrick Peterson","Patrick","Peterson",NA,NA,NA,"Not injury related - resting player",NA,"Full Participation in Practice",2023-09-21 20:29:30
2023,"REG","PIT",3,"00-0032954","G","Isaac Seumalo","Isaac","Seumalo",NA,NA,NA,"Not injury related - resting player",NA,"Full Participation in Practice",2023-09-21 20:29:41
2023,"REG","PIT",3,"00-0038558","TE","Darnell Washington","Darnell","Washington",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-22 18:51:36
2023,"REG","PIT",3,"00-0035645","WR","Gunner Olszewski","Gunner","Olszewski","Concussion",NA,"Out","Concussion",NA,"Did Not Participate In Practice",2023-09-22 18:52:15
2023,"REG","PIT",4,"00-0027943","CB","Patrick Peterson","Patrick","Peterson",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-09-27 21:39:57
2023,"REG","PIT",4,"00-0032954","G","Isaac Seumalo","Isaac","Seumalo",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-09-27 21:41:22
2023,"REG","PIT",4,"00-0037304","TE","Connor Heyward","Connor","Heyward",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-29 19:16:01
2023,"REG","PIT",4,"00-0032399","S","Miles Killebrew","Miles","Killebrew",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-29 19:16:01
2023,"REG","PIT",4,"00-0033905","DT","Larry Ogunjobi","Larry","Ogunjobi",NA,NA,NA,"Foot",NA,"Full Participation in Practice",2023-09-29 19:16:11
2023,"REG","PIT",4,"00-0034768","T","Chukwuma Okorafor","Chukwuma","Okorafor",NA,NA,NA,"Elbow",NA,"Full Participation in Practice",2023-09-29 19:16:01
2023,"REG","PIT",4,"00-0035645","WR","Gunner Olszewski","Gunner","Olszewski",NA,NA,NA,"Concussion",NA,"Full Participation in Practice",2023-09-29 19:16:01
2023,"REG","PIT",4,"00-0031428","WR","Allen Robinson","Allen","Robinson",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-29 19:16:18
2023,"REG","PIT",4,"00-0038558","TE","Darnell Washington","Darnell","Washington",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-29 19:16:24
2023,"REG","PIT",4,"00-0034347","G","James Daniels","James","Daniels","Groin",NA,"Out","Groin",NA,"Did Not Participate In Practice",2023-09-29 19:17:00
2023,"REG","PIT",4,"00-0036847","P","Pressley Harvin","Pressley","Harvin","right Hamstring",NA,"Out","right Hamstring",NA,"Did Not Participate In Practice",2023-09-29 19:17:43
2023,"REG","PIT",5,"00-0027943","CB","Patrick Peterson","Patrick","Peterson",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-10-04 20:07:45
2023,"REG","PIT",5,"00-0032954","G","Isaac Seumalo","Isaac","Seumalo",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-10-04 20:09:01
2023,"REG","PIT",5,"00-0035286","LB","Cole Holcomb","Cole","Holcomb",NA,NA,NA,"Back",NA,"Full Participation in Practice",2023-10-06 18:32:00
2023,"REG","PIT",5,"00-0034768","T","Chukwuma Okorafor","Chukwuma","Okorafor",NA,NA,NA,"Elbow",NA,"Full Participation in Practice",2023-10-06 18:32:00
2023,"REG","PIT",5,"00-0038102","QB","Kenny Pickett","Kenny","Pickett",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-10-06 18:32:00
2023,"REG","PIT",5,"00-0036893","RB","Najee Harris","Najee","Harris",NA,NA,NA,"Hamstring",NA,"Limited Participation in Practice",2023-10-06 18:33:15
2023,"REG","PIT",5,"00-0034347","G","James Daniels","James","Daniels","Groin",NA,"Out","Groin",NA,"Did Not Participate In Practice",2023-10-06 18:35:27
2023,"REG","PIT",5,"00-0036894","TE","Pat Freiermuth","Pat","Freiermuth","Hamstring",NA,"Out","Hamstring",NA,"Did Not Participate In Practice",2023-10-06 18:35:54
2023,"REG","PIT",5,"00-0036847","P","Pressley Harvin","Pressley","Harvin","right Hamstring",NA,"Out","right Hamstring",NA,"Did Not Participate In Practice",2023-10-06 21:48:11
2023,"REG","PIT",5,"00-0037759","DE","DeMarvin Leal","DeMarvin","Leal","Concussion",NA,"Out","Concussion",NA,"Did Not Participate In Practice",2023-10-06 18:36:06
2023,"REG","PIT",5,"00-0036869","T","Dan Moore","Dan","Moore","Knee",NA,"Out","Knee",NA,"Did Not Participate In Practice",2023-10-06 18:35:09
2023,"REG","PIT",5,"00-0036333","LB","Alex Highsmith","Alex","Highsmith","Groin",NA,"Questionable","Groin",NA,"Limited Participation in Practice",2023-10-06 18:34:44
2023,"REG","PIT",7,"00-0034347","G","James Daniels","James","Daniels",NA,NA,NA,"Groin",NA,"Full Participation in Practice",2023-10-20 20:01:56
2023,"REG","PIT",7,"00-0036847","P","Pressley Harvin","Pressley","Harvin",NA,NA,NA,"right Hamstring",NA,"Full Participation in Practice",2023-10-20 20:01:56
2023,"REG","PIT",7,"00-0038577","LB","Nick Herbig","Nick","Herbig",NA,NA,NA,"Quadricep",NA,"Full Participation in Practice",2023-10-20 20:02:18
2023,"REG","PIT",7,"00-0035216","WR","Diontae Johnson","Diontae","Johnson",NA,NA,NA,"Hamstring",NA,"Full Participation in Practice",2023-10-20 20:01:56
2023,"REG","PIT",7,"00-0036336","RB","Anthony McFarland","Anthony","McFarland",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-10-20 20:01:56
2023,"REG","PIT",7,"00-0036869","T","Dan Moore","Dan","Moore",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-10-20 20:01:56
