OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Rank,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Player,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_JerseyNumber,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Position,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_GamesPlayed,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_OffenseTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_BlockingTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_BlockingTotalSnapsPercentage,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_RunBlockingSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PassBlockingSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_OffenseOverallGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_RunBlockingGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PassBlockingGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotalSnapsPercentage,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedSacks,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedHits,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedHurries,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotal,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedEfficiency,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Penalties,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtLeftTackle,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtLeftGuard,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtCenter,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtRightGuard,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtRightTackle,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtInlineTightEnd
1.0,Pat Freiermuth,#88,TE,13.0,518,194,37.5,178.0,16.0,65.8,54.4,77.5,16.0,5.0,0.0,0.0,0.0,0.0,100.0,3 (0),0,0,0,0,0.0,294.0
2.0,Connor Heyward,#83,TE,18.0,417,190,45.6,179.0,11.0,55.5,56.2,72.1,11.0,5.0,0.0,0.0,1.0,1.0,95.5,4 (1),0,0,0,0,0.0,290.0
3.0,Anthony McFarland Jr.,#26,HB,2.0,6,1,16.7,0.0,1.0,64.9,-,68.5,1.0,20.0,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,0,0,0.0,0.0
3.0,Miles Boykin,#13,WR,17.0,131,93,71.0,92.0,1.0,50.9,53.8,68.5,1.0,2.9,0.0,0.0,0.0,0.0,100.0,1 (0),0,0,0,0,0.0,6.0
5.0,Darnell Washington,#80,TE,18.0,532,379,71.2,336.0,43.0,47.4,53.2,66.7,41.0,22.0,0.0,0.0,1.0,1.0,98.8,2 (0),1,0,0,0,5.0,500.0
6.0,Isaac Seumalo,#73,G,18.0,"1,104","1,104",100.0,473.0,631.0,73.9,73.1,66.4,590.0,100.0,0.0,5.0,23.0,28.0,97.6,1 (0),0,"1,104",0,0,0.0,0.0
7.0,Rodney Williams,#87,TE,13.0,57,41,71.9,40.0,1.0,45.8,62.6,66.3,1.0,5.9,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,0,0,0.0,52.0
8.0,Allen Robinson II,#11,WR,18.0,795,356,44.8,350.0,6.0,52.8,57.8,61.3,6.0,1.4,0.0,0.0,1.0,1.0,91.7,0 (0),0,0,0,0,0.0,22.0
9.0,Chukwuma Okorafor,#76,T,14.0,436,436,100.0,164.0,272.0,60.4,62.6,60.7,258.0,100.0,2.0,0.0,9.0,11.0,97.5,8 (5),0,0,0,0,425.0,11.0
10.0,James Daniels,#78,G,16.0,"1,010","1,010",100.0,434.0,576.0,61.1,58.6,60.5,539.0,100.0,1.0,7.0,16.0,24.0,97.7,3 (1),0,0,0,"1,010",0.0,0.0
11.0,Najee Harris,#22,HB,18.0,606,94,15.5,44.0,50.0,76.2,56.7,58.8,49.0,18.1,1.0,0.0,5.0,6.0,92.9,0 (0),0,0,0,0,0.0,4.0
12.0,Nate Herbig,#71,G,3.0,156,156,100.0,65.0,91.0,67.6,71.9,48.5,87.0,100.0,1.0,0.0,9.0,10.0,93.7,0 (0),0,31,0,125,0.0,0.0
13.0,Broderick Jones,#77,T,15.0,832,832,100.0,382.0,450.0,57.3,61.2,47.6,419.0,100.0,5.0,5.0,24.0,34.0,95.3,2 (0),122,0,0,0,701.0,9.0
14.0,Dan Moore Jr.,#65,T,17.0,"1,017","1,017",100.0,437.0,580.0,54.4,60.5,42.1,543.0,100.0,8.0,8.0,40.0,56.0,94.1,3 (1),"1,012",0,0,0,4.0,1.0
15.0,Mason Cole,#61,C,18.0,"1,135","1,135",100.0,486.0,649.0,53.2,63.3,32.4,608.0,100.0,2.0,6.0,29.0,37.0,96.8,4 (0),0,0,"1,135",0,0.0,0.0
16.0,Jaylen Warren,#30,HB,18.0,547,104,19.0,37.0,67.0,78.5,77.8,25.1,64.0,19.0,2.0,2.0,6.0,10.0,90.6,1 (1),0,0,0,0,0.0,19.0
17.0,Spencer Anderson,#74,G,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0,0.0,1.0
17.0,Qadree Ollison,#41,HB,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0,0.0,0.0
17.0,Gunner Olszewski,#89,WR,2.0,5,2,40.0,2.0,0.0,28.1,59.9,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0,0.0,0.0
17.0,Minkah Fitzpatrick,#39,S,3.0,9,9,100.0,9.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0,0.0,0.0
17.0,Mitch Trubisky,#10,QB,5.0,202,61,30.2,61.0,0.0,43.3,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0,0.0,0.0
17.0,Mason Rudolph,#02,QB,5.0,265,127,47.9,127.0,0.0,64.8,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,1 (0),0,0,0,0,0.0,0.0
