OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Rank,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Player,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_JerseyNumber,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Position,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_GamesPlayed,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnaps.1,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingGrade,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPenalties,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedSacks,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedHits,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedHurries,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotal,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedEfficiency,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnaps.1,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetGrade,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedSacks,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedHits,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedHurries,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotal,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedEfficiency
1.0,Pat Freiermuth,#88,TE,13.0,340.0,16.0,4.7,77.5,2 (0),16.0,5.0,0.0,0.0,0.0,0.0,100.0,193.0,5.0,2.6,74.1,5.0,2.8,0.0,0.0,0.0,0.0,100.0
2.0,Connor Heyward,#83,TE,18.0,237.0,11.0,4.6,72.1,1 (0),11.0,5.0,0.0,0.0,1.0,1.0,95.5,130.0,1.0,0.8,72.7,1.0,0.9,0.0,0.0,0.0,0.0,100.0
3.0,Miles Boykin,#13,WR,16.0,39.0,1.0,2.6,68.5,1 (0),1.0,2.9,0.0,0.0,0.0,0.0,100.0,16.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
3.0,Anthony McFarland Jr.,#26,HB,2.0,6.0,1.0,16.7,68.5,0 (0),1.0,20.0,0.0,0.0,0.0,0.0,100.0,2.0,1.0,50.0,68.5,1.0,50.0,0.0,0.0,0.0,0.0,100.0
5.0,Darnell Washington,#80,TE,18.0,196.0,43.0,21.9,66.7,0 (0),41.0,22.0,0.0,0.0,1.0,1.0,98.8,63.0,2.0,3.2,72.2,2.0,3.4,0.0,0.0,0.0,0.0,100.0
6.0,Isaac Seumalo,#73,G,18.0,631.0,631.0,100.0,66.4,0 (0),590.0,100.0,0.0,5.0,23.0,28.0,97.6,334.0,334.0,100.0,53.1,306.0,100.0,0.0,3.0,20.0,23.0,96.2
7.0,Rodney Williams,#87,TE,7.0,17.0,1.0,5.9,66.3,0 (0),1.0,5.9,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
8.0,Allen Robinson II,#11,WR,18.0,445.0,6.0,1.3,61.3,0 (0),6.0,1.4,0.0,0.0,1.0,1.0,91.7,241.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
9.0,Chukwuma Okorafor,#76,T,10.0,272.0,272.0,100.0,60.7,3 (3),258.0,100.0,2.0,0.0,9.0,11.0,97.5,154.0,154.0,100.0,67.2,143.0,100.0,2.0,0.0,6.0,8.0,96.5
10.0,James Daniels,#78,G,16.0,576.0,576.0,100.0,60.5,2 (1),539.0,100.0,1.0,7.0,16.0,24.0,97.7,302.0,302.0,100.0,45.5,277.0,100.0,1.0,4.0,16.0,21.0,96.0
11.0,Najee Harris,#22,HB,18.0,291.0,50.0,17.2,58.8,0 (0),49.0,18.1,1.0,0.0,5.0,6.0,92.9,129.0,17.0,13.2,43.2,16.0,14.0,0.0,0.0,4.0,4.0,87.5
12.0,Nate Herbig,#71,G,3.0,91.0,91.0,100.0,48.5,0 (0),87.0,100.0,1.0,0.0,9.0,10.0,93.7,58.0,58.0,100.0,40.9,55.0,100.0,1.0,0.0,8.0,9.0,90.9
13.0,Broderick Jones,#77,T,15.0,450.0,450.0,100.0,47.6,2 (0),419.0,100.0,5.0,5.0,24.0,34.0,95.3,236.0,236.0,100.0,34.9,216.0,100.0,5.0,5.0,20.0,30.0,91.9
