RECEIVING_2023_RECEIVING_2023_Rank,RECEIVING_2023_RECEIVING_2023_Player,RECEIVING_2023_RECEIVING_2023_JerseyNumber,RECEIVING_2023_RECEIVING_2023_Position,RECEIVING_2023_RECEIVING_2023_GamesPlayed,RECEIVING_2023_RECEIVING_2023_ReceivingTargets,RECEIVING_2023_RECEIVING_2023_ReceivingReceptions,RECEIVING_2023_RECEIVING_2023_ReceivingReceptionPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingYards,RECEIVING_2023_RECEIVING_2023_ReceivingYardsPerReception,RECEIVING_2023_RECEIVING_2023_ReceivingTouchdowns,RECEIVING_2023_RECEIVING_2023_ReceivingOverallGrade,RECEIVING_2023_RECEIVING_2023_ReceivingGrade,RECEIVING_2023_RECEIVING_2023_ReceivingDrops,RECEIVING_2023_RECEIVING_2023_ReceivingFumbles,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingGrade,RECEIVING_2023_RECEIVING_2023_ReceivingPassSnaps,RECEIVING_2023_RECEIVING_2023_ReceivingRoutesRun,RECEIVING_2023_RECEIVING_2023_ReceivingTargetPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingSnaps,RECEIVING_2023_RECEIVING_2023_ReceivingPassBlockingSnapsPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInTheSlot,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInTheSlotPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsWide,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsWidePercentage,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInline,RECEIVING_2023_RECEIVING_2023_ReceivingSnapsInlinePercentage,RECEIVING_2023_RECEIVING_2023_ReceivingYardsAfterCatch,RECEIVING_2023_RECEIVING_2023_ReceivingYardsAfterCatchPerReception,RECEIVING_2023_RECEIVING_2023_ReceivingYardsPerRouteRun,RECEIVING_2023_RECEIVING_2023_ReceivingAverageDepthOfTarget,RECEIVING_2023_RECEIVING_2023_ReceivingLongestReception,RECEIVING_2023_RECEIVING_2023_ReceivingDrops.1,RECEIVING_2023_RECEIVING_2023_ReceivingDropPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingContestedTargets,RECEIVING_2023_RECEIVING_2023_ReceivingContestedCatches,RECEIVING_2023_RECEIVING_2023_ReceivingContestedCatchPercentage,RECEIVING_2023_RECEIVING_2023_ReceivingInterceptionsThrownWhenTargeted,RECEIVING_2023_RECEIVING_2023_ReceivingFumbles.1,RECEIVING_2023_RECEIVING_2023_ReceivingMissedTacklesForced,RECEIVING_2023_RECEIVING_2023_ReceivingFirstDowns,RECEIVING_2023_RECEIVING_2023_ReceivingPasserRatingWhenTargeted,RECEIVING_2023_RECEIVING_2023_ReceivingPenalties
1.0,Diontae Johnson,#18,WR,14.0,92.0,55.0,59.8,765,13.9,6.0,77.9,79.1,81.6,41.5,-,433.0,403.0,93.1,0.0,0.0,97.0,22.4,336.0,77.6,0.0,0.0,285.0,5.2,1.9,12.7,71.0,2.0,3.5,18.0,6.0,33.3,2.0,1.0,9.0,42.0,99.2,4 (1)
2.0,George Pickens,#14,WR,18.0,114.0,68.0,59.6,"1,190",17.5,5.0,74.1,74.7,86.4,20.4,-,617.0,581.0,94.2,0.0,0.0,101.0,16.4,516.0,83.6,0.0,0.0,416.0,6.1,2.05,13.6,86.0,3.0,4.2,25.0,8.0,32.0,4.0,4.0,7.0,44.0,95.3,5 (1)
3.0,Jaylen Warren,#30,HB,18.0,74.0,63.0,85.1,386,6.1,0.0,78.5,72.2,66.6,38.2,25.1,355.0,273.0,76.9,67.0,18.9,26.0,7.3,17.0,4.8,16.0,4.5,517.0,8.2,1.41,-1.8,30.0,5.0,7.4,4.0,1.0,25.0,0.0,1.0,25.0,20.0,88.4,1 (1)
4.0,Pat Freiermuth,#88,TE,13.0,50.0,37.0,74.0,384,10.4,2.0,65.8,68.8,90.0,29.1,77.5,340.0,306.0,90.0,16.0,4.7,169.0,49.7,28.0,8.2,143.0,42.1,186.0,5.0,1.25,7.4,33.0,0.0,0.0,7.0,4.0,57.1,1.0,1.0,6.0,20.0,100.8,3 (0)
5.0,Anthony McFarland Jr.,#26,HB,2.0,2.0,2.0,100.0,11,5.5,0.0,64.9,68.3,68.3,74.1,68.5,6.0,5.0,83.3,1.0,16.7,1.0,16.7,1.0,16.7,0.0,0.0,9.0,4.5,2.2,1.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,89.6,0 (0)
6.0,Najee Harris,#22,HB,18.0,37.0,31.0,83.8,185,6.0,0.0,76.2,58.5,68.8,64.3,58.8,291.0,223.0,76.6,50.0,17.2,13.0,4.5,12.0,4.1,4.0,1.4,186.0,6.0,0.83,0.5,32.0,2.0,6.1,3.0,1.0,33.3,0.0,0.0,10.0,10.0,87.5,0 (0)
7.0,Connor Heyward,#83,TE,18.0,34.0,24.0,70.6,172,7.2,0.0,55.5,57.2,62.3,76.3,72.1,237.0,207.0,87.3,11.0,4.6,55.0,23.2,19.0,8.0,156.0,65.8,103.0,4.3,0.83,5.1,13.0,2.0,7.7,5.0,2.0,40.0,1.0,0.0,2.0,8.0,69.7,4 (1)
8.0,Calvin Austin III,#19,WR,18.0,32.0,18.0,56.3,187,10.4,2.0,56.6,56.1,69.0,88.2,-,262.0,248.0,94.7,0.0,0.0,108.0,41.2,153.0,58.4,1.0,0.4,74.0,4.1,0.75,11.9,72.0,1.0,5.3,7.0,3.0,42.9,1.0,0.0,5.0,8.0,81.1,2 (0)
9.0,Miles Boykin,#13,WR,16.0,4.0,3.0,75.0,17,5.7,0.0,50.9,52.3,70.5,65.8,68.5,39.0,35.0,89.7,1.0,2.6,6.0,15.4,30.0,76.9,2.0,5.1,1.0,0.3,0.49,5.3,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,82.3,1 (0)
10.0,Allen Robinson II,#11,WR,18.0,49.0,36.0,73.5,292,8.1,0.0,52.8,51.6,90.0,77.6,61.3,445.0,415.0,93.3,6.0,1.3,309.0,69.4,132.0,29.7,4.0,0.9,83.0,2.3,0.7,7.6,31.0,0.0,0.0,7.0,4.0,57.1,1.0,0.0,1.0,10.0,79.6,0 (0)
