Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside
Nick Bosa,#97,ED,20.0,"1,022",324.0,694.0,4.0,92.2,76.4,37.1,92.3,65.8,122.0,16.0,31.0,75.0,3.0,37.0,9.0,12.0,20.7,46.0,2.0,1.0,1.0,100.0,30.0,30.0,32.0,30.0,0.0,0.0,0.0,118.8,7 (1),"1,015",7,0.0,0.0,0,0.0,7.0,9.0,999.0
Fred Warner,#54,LB,20.0,"1,200",380.0,60.0,760.0,90.0,90.3,53.1,80.6,83.3,17.0,3.0,3.0,11.0,3.0,117.0,42.0,28.0,15.0,56.0,4.0,94.0,72.0,76.6,689.0,9.6,454.0,41.0,1.0,4.0,4.0,82.3,3 (1),28,"1,082",3.0,77.0,10,1.0,0.0,2.0,25.0
Curtis Robinson,#59,LB,1.0,3,1.0,0.0,2.0,89.9,60.0,71.7,-,76.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,87.5,0 (0),0,3,0.0,0.0,0,0.0,0.0,0.0,0.0
Charvarius Ward,#07,CB,20.0,"1,148",363.0,1.0,784.0,84.7,67.2,71.7,39.4,86.5,1.0,0.0,0.0,1.0,0.0,71.0,10.0,7.0,8.0,25.0,1.0,101.0,55.0,54.5,653.0,11.9,245.0,60.0,3.0,5.0,17.0,63.7,12 (6),19,70,0.0,17.0,"1,042",0.0,0.0,0.0,19.0
Kendall Sheffield,#35,CB,2.0,24,8.0,0.0,16.0,82.5,61.7,76.6,-,83.9,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,50.0,-4.0,-4.0,0.0,-4.0,0.0,0.0,0.0,56.3,0 (0),0,2,0.0,0.0,21,0.0,0.0,0.0,0.0
Arik Armstead,#91,DI,15.0,661,199.0,461.0,1.0,78.4,52.7,49.1,86.5,71.3,58.0,8.0,7.0,43.0,0.0,21.0,9.0,3.0,9.1,18.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,3 (0),660,1,0.0,0.0,0,2.0,445.0,202.0,11.0
Deommodore Lenoir,#02,CB,20.0,"1,198",378.0,19.0,801.0,75.8,79.8,75.6,66.2,74.3,3.0,0.0,0.0,3.0,0.0,79.0,22.0,10.0,9.0,29.0,1.0,112.0,78.0,69.6,860.0,11.0,373.0,58.0,2.0,3.0,6.0,86.9,7 (1),30,99,3.0,418.0,648,0.0,0.0,0.0,30.0
Javon Hargrave,#98,DI,19.0,775,226.0,545.0,4.0,74.9,51.4,62.4,86.5,62.4,64.0,8.0,8.0,48.0,1.0,30.0,13.0,4.0,8.5,30.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,4 (0),775,0,0.0,0.0,0,21.0,672.0,76.0,6.0
Ji'Ayir Brown,#27,S,12.0,546,167.0,8.0,371.0,73.4,72.7,72.8,56.9,71.5,3.0,0.0,0.0,3.0,0.0,42.0,10.0,6.0,10.3,9.0,0.0,23.0,16.0,69.6,212.0,13.3,100.0,41.0,2.0,3.0,2.0,87.9,0 (0),11,78,389.0,65.0,2,0.0,0.0,0.0,11.0
Dre Greenlaw,#57,LB,18.0,999,308.0,56.0,635.0,73.1,68.3,66.4,57.0,79.5,8.0,2.0,2.0,4.0,0.0,99.0,40.0,17.0,10.9,49.0,0.0,110.0,76.0,69.1,593.0,7.8,401.0,38.0,4.0,2.0,3.0,86.7,5 (1),44,835,0.0,112.0,8,0.0,0.0,0.0,44.0
