Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties
Trent Williams,#71,T,18.0,"1,013",0.0,561.0,0.0,452.0,92.6,-,84.3,-,92.6,11 (2)
Brandon Aiyuk,#11,WR,19.0,990,591.0,2.0,0.0,397.0,91.5,91.7,66.8,-,72.9,4 (0)
Christian McCaffrey,#23,HB,19.0,"1,006",550.0,56.0,338.0,62.0,90.3,86.5,28.4,90.3,30.2,2 (1)
Matt Pryor,#75,T,6.0,42,0.0,14.0,0.0,28.0,88.5,-,80.8,-,87.7,0 (0)
George Kittle,#85,TE,19.0,"1,084",595.0,45.0,1.0,443.0,87.7,85.2,70.6,61.8,81.1,2 (0)
Brock Purdy,#13,QB,19.0,"1,141",649.0,0.0,29.0,463.0,87.4,81.5,-,92.0,60.0,5 (0)
Deebo Samuel,#19,WR,18.0,822,484.0,5.0,37.0,296.0,85.4,87.0,65.9,68.2,60.3,2 (0)
Jordan Mason,#24,HB,12.0,101,36.0,2.0,41.0,22.0,84.7,62.0,23.8,85.4,62.2,0 (0)
Ben Bartch,#78,G,4.0,28,0.0,17.0,0.0,11.0,81.3,-,72.6,-,83.4,0 (0)
Jon Feliciano,#55,G,13.0,629,0.0,350.0,0.0,279.0,79.8,29.1,63.5,-,85.6,2 (0)
Jauan Jennings,#15,WR,16.0,469,323.0,3.0,1.0,142.0,74.1,72.4,73.0,59.7,77.2,3 (0)
Jaylon Moore,#76,T,15.0,227,0.0,121.0,0.0,106.0,72.9,-,69.7,-,69.8,0 (0)
Elijah Mitchell,#25,HB,14.0,172,56.0,7.0,82.0,27.0,70.2,52.4,43.5,71.5,70.7,0 (0)
Jake Brendel,#64,C,20.0,"1,229",0.0,694.0,0.0,535.0,66.3,-,45.3,-,72.6,1 (0)
Sam Darnold,#14,QB,10.0,130,59.0,0.0,18.0,53.0,66.0,66.5,-,57.8,60.0,1 (0)
Chris Conley,#84,WR,11.0,151,72.0,1.0,0.0,78.0,65.4,60.9,66.1,-,84.2,0 (0)
Colton McKivitz,#68,T,20.0,"1,245",0.0,696.0,0.0,549.0,65.2,-,58.3,-,66.3,2 (1)
Charlie Woerner,#89,TE,20.0,349,108.0,18.0,0.0,223.0,63.5,45.1,38.4,-,77.3,1 (0)
Ray-Ray McCloud III,#03,WR,14.0,236,155.0,0.0,3.0,78.0,63.1,59.8,-,70.6,75.4,0 (0)
Ronnie Bell,#10,WR,16.0,185,79.0,0.0,0.0,106.0,61.1,62.5,-,-,58.0,2 (1)
Willie Snead IV,#83,WR,4.0,47,26.0,0.0,0.0,21.0,60.9,59.0,-,-,70.7,0 (0)
Tyrion Davis-Price,#32,HB,1.0,7,0.0,0.0,6.0,1.0,60.3,-,-,60.1,60.0,0 (0)
Dee Winters,#53,LB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Samuel Womack III,#00,CB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Isaiah Oliver,#26,CB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Oren Burks,#48,LB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Demetrius Flannigan-Fowles,#45,LB,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Mitch Wishnowsky,#18,P,1.0,1,0.0,0.0,1.0,0.0,60.0,-,-,60.0,-,0 (0)
Taybor Pepper,#46,LS,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Erik Harris,#35,S,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Tay Martin,#86,WR,1.0,3,1.0,0.0,0.0,2.0,58.5,59.9,-,-,60.0,0 (0)
Kyle Juszczyk,#44,FB,20.0,604,265.0,24.0,7.0,308.0,56.0,54.9,74.8,56.0,56.6,1 (0)
Brayden Willis,#09,TE,10.0,56,13.0,1.0,0.0,42.0,54.2,48.7,69.6,-,58.8,1 (0)
Aaron Banks,#65,G,17.0,"1,042",0.0,597.0,0.0,445.0,52.8,-,50.2,-,55.8,8 (2)
Ross Dwelley,#82,TE,12.0,76,21.0,1.0,0.0,54.0,52.8,58.2,69.6,-,49.2,0 (0)
Spencer Burford,#74,G,16.0,900,0.0,490.0,0.0,410.0,50.3,-,26.7,-,62.9,9 (1)
,,,,,,,,,,,,,,
