Player,JerseyNumber,Position,GamesPlayed,RunDefenseSnaps,RunDefenseGrade,RunDefenseTackles,RunDefenseAssists,RunDefenseMissedTackles,RunDefenseMissedTacklePercentage,RunDefenseStops,RunDefenseStopPercentage,RunDefenseForcedFumbles,RunDefenseAverageDepthOfTackle,RunDefensePenalties
Fred Warner,#54,LB,20.0,380.0,90.3,54.0,26.0,13.0,14.0,28.0,7.5,1.0,2.8,3 (1)
Tashaun Gipson Sr.,#31,S,19.0,374.0,84.6,19.0,11.0,6.0,16.7,8.0,2.2,1.0,5.6,5 (1)
Deommodore Lenoir,#02,CB,20.0,378.0,79.8,20.0,17.0,6.0,14.0,9.0,2.4,1.0,7.5,7 (1)
Talanoa Hufanga,#29,S,10.0,178.0,77.1,18.0,4.0,3.0,12.0,6.0,3.5,0.0,8.0,2 (0)
Nick Bosa,#97,ED,20.0,324.0,76.4,33.0,7.0,6.0,13.0,29.0,9.2,0.0,0.6,7 (1)
Ji'Ayir Brown,#27,S,11.0,167.0,72.7,18.0,6.0,0.0,0.0,5.0,3.0,0.0,9.3,0 (0)
Darrell Luter Jr.,#28,CB,4.0,29.0,71.5,2.0,1.0,0.0,0.0,1.0,3.4,0.0,6.0,0 (0)
Robert Beal Jr.,#51,ED,6.0,18.0,68.6,1.0,1.0,0.0,0.0,1.0,5.6,0.0,2.0,0 (0)
Dre Greenlaw,#57,LB,18.0,308.0,68.3,35.0,20.0,7.0,11.3,17.0,5.6,0.0,4.4,5 (1)
Tayler Hawkins,#41,S,1.0,32.0,67.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1 (0)
Charvarius Ward,#07,CB,20.0,363.0,67.2,15.0,4.0,2.0,9.5,5.0,1.4,0.0,9.3,12 (6)
Chase Young,#92,ED,12.0,148.0,67.1,9.0,2.0,2.0,15.4,7.0,4.7,0.0,2.2,1 (1)
Samuel Womack III,#00,CB,3.0,27.0,65.7,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Sebastian Joseph-Day,#69,DI,5.0,34.0,65.1,8.0,1.0,2.0,18.2,5.0,14.7,0.0,3.9,0 (0)
George Odum,#30,S,4.0,11.0,65.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Austin Bryant,#56,ED,2.0,13.0,63.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0 (0)
Shemar Jean-Charles,#38,CB,1.0,1.0,62.2,1.0,0.0,0.0,0.0,1.0,100.0,0.0,1.0,0 (0)
Kendall Sheffield,#35,CB,2.0,8.0,61.7,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Logan Ryan,#33,S,6.0,89.0,61.6,8.0,5.0,5.0,27.8,1.0,1.1,1.0,7.3,1 (0)
Demetrius Flannigan-Fowles,#45,LB,9.0,75.0,60.3,8.0,5.0,1.0,7.1,6.0,8.1,0.0,0.9,0 (0)
Brayden Willis,#09,TE,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Jordan Mason,#24,HB,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Ray-Ray McCloud III,#03,WR,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Curtis Robinson,#59,LB,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Charlie Woerner,#89,TE,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Erik Harris,#35,S,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Jason Verrett,#22,CB,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Isaiah Oliver,#26,CB,15.0,147.0,59.8,10.0,4.0,3.0,17.6,7.0,4.9,0.0,2.6,4 (2)
Oren Burks,#48,LB,18.0,181.0,57.5,18.0,12.0,3.0,9.1,8.0,4.6,0.0,3.8,0 (0)
Ambry Thomas,#20,CB,14.0,154.0,56.1,5.0,3.0,1.0,11.1,2.0,1.3,0.0,6.8,4 (0)
Randy Gregory,#05,ED,14.0,104.0,54.7,7.0,2.0,2.0,18.2,6.0,5.8,0.0,1.7,2 (1)
Arik Armstead,#91,DI,15.0,199.0,52.7,16.0,8.0,2.0,7.7,9.0,4.7,0.0,2.5,3 (0)
Javon Hargrave,#98,DI,19.0,226.0,51.4,25.0,10.0,2.0,5.4,18.0,8.2,0.0,2.8,4 (0)
Clelin Ferrell,#94,ED,17.0,176.0,47.4,11.0,8.0,1.0,5.0,9.0,5.3,0.0,2.4,0 (0)
Dee Winters,#53,LB,6.0,17.0,47.2,1.0,0.0,1.0,50.0,1.0,5.9,0.0,4.0,0 (0)
Kevin Givens,#90,DI,20.0,159.0,42.2,15.0,4.0,2.0,9.5,10.0,6.4,0.0,2.9,2 (0)
Drake Jackson,#95,ED,8.0,42.0,38.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0 (0)
Kalia Davis,#93,DI,3.0,20.0,37.9,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Kerry Hyder Jr.,#92,ED,4.0,13.0,35.8,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Javon Kinlaw,#99,DI,20.0,181.0,35.6,22.0,4.0,1.0,3.7,16.0,8.8,0.0,2.2,3 (1)
T.Y. McGill,#96,DI,2.0,25.0,30.8,0.0,1.0,2.0,66.7,0.0,0.0,0.0,,0 (0)
,,,,,,,,,,,,,,
