Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,BlockingTotalSnaps,BlockingTotalSnapsPercentage,RunBlockingSnaps,PassBlockingSnaps,OffenseOverallGrade,RunBlockingGrade,PassBlockingGrade,PressuresAllowedTotalSnaps,PressuresAllowedTotalSnapsPercentage,PressuresAllowedSacks,PressuresAllowedHits,PressuresAllowedHurries,PressuresAllowedTotal,PressuresAllowedEfficiency,Penalties,SnapsAtLeftTackle,SnapsAtLeftGuard,SnapsAtCenter,SnapsAtRightGuard,SnapsAtRightTackle,SnapsAtInlineTightEnd
Trent Williams,#71,T,18.0,"1,013","1,013",100.0,452.0,561.0,92.6,92.6,84.3,531.0,100.0,0.0,4.0,16.0,20.0,98.1,11 (2),"1,013",0,0,0.0,0,0.0
Matt Pryor,#75,T,6.0,42,42,100.0,28.0,14.0,88.5,87.7,80.8,13.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),5,11,0,0.0,26,0.0
Kyle Juszczyk,#44,FB,20.0,604,332,55.0,308.0,24.0,56.0,56.6,74.8,23.0,8.3,1.0,0.0,0.0,1.0,95.7,1 (0),0,0,0,0.0,0,197.0
Jauan Jennings,#15,WR,16.0,469,145,30.9,142.0,3.0,74.1,77.2,73.0,3.0,1.0,0.0,0.0,0.0,0.0,100.0,3 (0),0,0,0,0.0,0,2.0
Ben Bartch,#78,G,4.0,28,28,100.0,11.0,17.0,81.3,83.4,72.6,15.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0,10,16,2.0,0,0.0
George Kittle,#85,TE,19.0,"1,084",488,45.0,443.0,45.0,87.7,81.1,70.6,43.0,7.1,0.0,1.0,2.0,3.0,96.5,2 (0),0,0,0,0.0,0,784.0
Jaylon Moore,#76,T,15.0,227,227,100.0,106.0,121.0,72.9,69.8,69.7,114.0,100.0,1.0,1.0,6.0,8.0,96.1,0 (0),227,0,0,0.0,0,0.0
Brayden Willis,#09,TE,10.0,56,43,76.8,42.0,1.0,54.2,58.8,69.6,1.0,7.1,0.0,0.0,1.0,1.0,50.0,1 (0),0,0,0,0.0,0,50.0
Ross Dwelley,#82,TE,12.0,76,55,72.4,54.0,1.0,52.8,49.2,69.6,1.0,4.5,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,0,0.0,0,55.0
Brandon Aiyuk,#11,WR,19.0,990,399,40.3,397.0,2.0,91.5,72.9,66.8,1.0,0.2,0.0,0.0,0.0,0.0,100.0,4 (0),0,0,0,0.0,0,1.0
Chris Conley,#84,WR,11.0,151,79,52.3,78.0,1.0,65.4,84.2,66.1,1.0,1.4,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,0,0.0,0,1.0
Deebo Samuel,#19,WR,18.0,822,301,36.6,296.0,5.0,85.4,60.3,65.9,5.0,1.1,0.0,1.0,0.0,1.0,90.0,2 (0),0,0,0,0.0,0,10.0
Jon Feliciano,#55,G,13.0,629,629,100.0,279.0,350.0,79.8,85.6,63.5,339.0,100.0,1.0,3.0,18.0,22.0,96.6,2 (0),0,208,26,395.0,0,0.0
Colton McKivitz,#68,T,20.0,"1,245","1,245",100.0,549.0,696.0,65.2,66.3,58.3,659.0,100.0,9.0,6.0,44.0,59.0,94.8,2 (1),26,0,0,0.0,"1,219",0.0
Aaron Banks,#65,G,17.0,"1,042","1,042",100.0,445.0,597.0,52.8,55.8,50.2,565.0,100.0,0.0,8.0,28.0,36.0,96.8,8 (2),0,"1,042",0,0.0,0,0.0
Jake Brendel,#64,C,20.0,"1,229","1,229",100.0,535.0,694.0,66.3,72.6,45.3,657.0,100.0,2.0,5.0,26.0,33.0,97.3,1 (0),0,0,"1,229",0.0,0,0.0
Elijah Mitchell,#25,HB,14.0,172,34,19.8,27.0,7.0,70.2,70.7,43.5,7.0,11.7,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,0,0.0,0,1.0
