Player,JerseyNumber,Position,GamesPlayed,PassBlockingTotalSnaps,PassBlockingTotalSnaps.1,PassBlockingTotalSnapsPercentage,PassBlockingGrade,PassBlockingPenalties,PassBlockingPressuresAllowedTotalSnaps,PassBlockingPressuresAllowedTotalSnapsPercentage,PassBlockingPressuresAllowedSacks,PassBlockingPressuresAllowedHits,PassBlockingPressuresAllowedHurries,PassBlockingPressuresAllowedTotal,PassBlockingPressuresAllowedEfficiency,TruePassSetSnaps,TruePassSetSnaps.1,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetPressuresAllowedTotalSnaps,TruePassSetPressuresAllowedTotalSnapsPercentage,TruePassSetPressuresAllowedSacks,TruePassSetPressuresAllowedHits,TruePassSetPressuresAllowedHurries,TruePassSetPressuresAllowedTotal,TruePassSetPressuresAllowedEfficiency
Trent Williams,#71,T,18.0,561.0,561.0,100.0,84.3,4 (1),531.0,100.0,0.0,4.0,16.0,20.0,98.1,249.0,249.0,100.0,80.3,231.0,100.0,0.0,3.0,13.0,16.0,96.5
Matt Pryor,#75,T,3.0,14.0,14.0,100.0,80.8,0 (0),13.0,100.0,0.0,0.0,0.0,0.0,100.0,6.0,6.0,100.0,79.2,6.0,100.0,0.0,0.0,0.0,0.0,100.0
Kyle Juszczyk,#44,FB,20.0,289.0,24.0,8.3,74.8,0 (0),23.0,8.3,1.0,0.0,0.0,1.0,95.7,91.0,3.0,3.3,78.4,2.0,2.3,0.0,0.0,0.0,0.0,100.0
Jauan Jennings,#15,WR,16.0,326.0,3.0,0.9,73.0,1 (0),3.0,1.0,0.0,0.0,0.0,0.0,100.0,164.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Ben Bartch,#78,G,3.0,17.0,17.0,100.0,72.6,0 (0),15.0,100.0,0.0,0.0,0.0,0.0,100.0,8.0,8.0,100.0,63.7,8.0,100.0,0.0,0.0,0.0,0.0,100.0
George Kittle,#85,TE,19.0,640.0,45.0,7.0,70.6,0 (0),43.0,7.1,0.0,1.0,2.0,3.0,96.5,282.0,15.0,5.3,54.7,14.0,5.3,0.0,1.0,1.0,2.0,92.9
Jaylon Moore,#76,T,9.0,121.0,121.0,100.0,69.7,0 (0),114.0,100.0,1.0,1.0,6.0,8.0,96.1,43.0,43.0,100.0,66.0,41.0,100.0,0.0,1.0,2.0,3.0,96.3
Ross Dwelley,#82,TE,10.0,22.0,1.0,4.5,69.6,0 (0),1.0,4.5,0.0,0.0,0.0,0.0,100.0,5.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Brayden Willis,#09,TE,4.0,14.0,1.0,7.1,69.6,0 (0),1.0,7.1,0.0,0.0,1.0,1.0,50.0,4.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Brandon Aiyuk,#11,WR,19.0,593.0,2.0,0.3,66.8,1 (0),1.0,0.2,0.0,0.0,0.0,0.0,100.0,272.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Chris Conley,#84,WR,10.0,73.0,1.0,1.4,66.1,0 (0),1.0,1.4,0.0,0.0,0.0,0.0,100.0,37.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Deebo Samuel,#19,WR,18.0,489.0,5.0,1.0,65.9,1 (0),5.0,1.1,0.0,1.0,0.0,1.0,90.0,215.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Jon Feliciano,#55,G,11.0,350.0,350.0,100.0,63.5,0 (0),339.0,100.0,1.0,3.0,18.0,22.0,96.6,164.0,164.0,100.0,55.4,158.0,100.0,1.0,3.0,15.0,19.0,93.7
Colton McKivitz,#68,T,20.0,696.0,696.0,100.0,58.3,0 (0),659.0,100.0,9.0,6.0,44.0,59.0,94.8,301.0,301.0,100.0,50.7,281.0,100.0,6.0,4.0,35.0,45.0,90.9
Aaron Banks,#65,G,17.0,597.0,597.0,100.0,50.2,1 (1),565.0,100.0,0.0,8.0,28.0,36.0,96.8,252.0,252.0,100.0,45.5,236.0,100.0,0.0,4.0,21.0,25.0,94.7
Jake Brendel,#64,C,20.0,694.0,694.0,100.0,45.3,0 (0),657.0,100.0,2.0,5.0,26.0,33.0,97.3,301.0,301.0,100.0,57.3,281.0,100.0,1.0,2.0,12.0,15.0,97.2
Elijah Mitchell,#25,HB,11.0,63.0,7.0,11.1,43.5,0 (0),7.0,11.7,0.0,0.0,0.0,0.0,100.0,19.0,3.0,15.8,24.2,3.0,17.6,0.0,0.0,0.0,0.0,100.0
Charlie Woerner,#89,TE,19.0,126.0,18.0,14.3,38.4,0 (0),16.0,13.6,0.0,1.0,3.0,4.0,87.5,47.0,4.0,8.5,16.8,3.0,6.7,0.0,0.0,2.0,2.0,66.7
Christian McCaffrey,#23,HB,19.0,606.0,56.0,9.2,28.4,2 (1),52.0,9.1,0.0,0.0,7.0,7.0,93.3,270.0,24.0,8.9,26.2,22.0,8.7,0.0,0.0,5.0,5.0,88.6
Spencer Burford,#74,G,16.0,490.0,490.0,100.0,26.7,4 (1),457.0,100.0,5.0,4.0,28.0,37.0,95.4,211.0,211.0,100.0,24.9,193.0,100.0,4.0,1.0,15.0,20.0,93.8
Jordan Mason,#24,HB,7.0,38.0,2.0,5.3,23.8,0 (0),2.0,5.7,0.0,0.0,0.0,0.0,100.0,12.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
