Player,JerseyNumber,Position,GamesPlayed,RunBlockingTotalSnaps,RunBlockingTotalSnaps.1,RunBlockingTotalSnapsPercentage,RunBlockingGrade,RunBlockingPenalties,RunBlockingTotalSnapsInZoneScheme,RunBlockingTotalSnapsInZoneSchemePercentage,RunBlockingGradeInZoneScheme,RunBlockingTotalSnapsInGapScheme,RunBlockingTotalSnapsInGapSchemePercentage,RunBlockingGradeInGapScheme
Trent Williams,#71,T,18.0,452.0,452.0,100.0,92.6,4 (1),275.0,60.8,93.7,128.0,28.3,70.1
Matt Pryor,#75,T,6.0,28.0,28.0,100.0,87.7,0 (0),15.0,53.6,72.8,6.0,21.4,89.4
Jon Feliciano,#55,G,13.0,279.0,279.0,100.0,85.6,0 (0),174.0,62.4,90.2,69.0,24.7,55.3
Chris Conley,#84,WR,10.0,78.0,78.0,100.0,84.2,0 (0),48.0,61.5,74.0,18.0,23.1,88.5
Ben Bartch,#78,G,4.0,11.0,11.0,100.0,83.4,0 (0),6.0,54.5,83.4,1.0,9.1,60.0
George Kittle,#85,TE,19.0,444.0,443.0,99.8,81.1,0 (0),275.0,62.1,75.4,118.0,26.6,62.0
Charlie Woerner,#89,TE,20.0,223.0,223.0,100.0,77.3,1 (0),114.0,51.1,75.5,63.0,28.3,70.6
Jauan Jennings,#15,WR,16.0,143.0,142.0,99.3,77.2,2 (0),84.0,59.2,89.1,35.0,24.6,57.1
Ray-Ray McCloud III,#03,WR,14.0,81.0,78.0,96.3,75.4,0 (0),50.0,64.1,73.4,18.0,23.1,56.4
Brandon Aiyuk,#11,WR,19.0,397.0,397.0,100.0,72.9,2 (0),248.0,62.5,81.6,105.0,26.4,62.2
Jake Brendel,#64,C,20.0,535.0,535.0,100.0,72.6,0 (0),319.0,59.6,72.1,142.0,26.5,55.4
Willie Snead IV,#83,WR,3.0,21.0,21.0,100.0,70.7,0 (0),11.0,52.4,80.0,3.0,14.3,52.7
Elijah Mitchell,#25,HB,14.0,109.0,27.0,24.8,70.7,0 (0),5.0,18.5,73.9,1.0,3.7,60.0
Jaylon Moore,#76,T,14.0,106.0,106.0,100.0,69.8,0 (0),57.0,53.8,76.8,19.0,17.9,51.8
Colton McKivitz,#68,T,20.0,549.0,549.0,100.0,66.3,1 (1),325.0,59.2,67.5,147.0,26.8,55.2
Spencer Burford,#74,G,16.0,410.0,410.0,100.0,62.9,2 (0),232.0,56.6,62.1,116.0,28.3,61.7
Jordan Mason,#24,HB,12.0,63.0,22.0,34.9,62.2,0 (0),0.0,0.0,-,0.0,0.0,-
Deebo Samuel,#19,WR,18.0,333.0,296.0,88.9,60.3,1 (0),193.0,65.2,63.6,85.0,28.7,57.8
Dee Winters,#53,LB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Tyrion Davis-Price,#32,HB,1.0,7.0,1.0,14.3,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Demetrius Flannigan-Fowles,#45,LB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Oren Burks,#48,LB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Isaiah Oliver,#26,CB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Taybor Pepper,#46,LS,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Samuel Womack III,#00,CB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Erik Harris,#35,S,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Tay Martin,#86,WR,1.0,2.0,2.0,100.0,60.0,0 (0),1.0,50.0,60.0,1.0,50.0,60.0
Sam Darnold,#14,QB,10.0,71.0,53.0,74.6,60.0,0 (0),41.0,77.4,60.0,11.0,20.8,60.0
Brock Purdy,#13,QB,19.0,492.0,463.0,94.1,60.0,0 (0),292.0,63.1,60.0,137.0,29.6,60.0
Brayden Willis,#09,TE,9.0,42.0,42.0,100.0,58.8,1 (0),18.0,42.9,58.7,11.0,26.2,50.1
Ronnie Bell,#10,WR,15.0,106.0,106.0,100.0,58.0,1 (1),64.0,60.4,69.1,23.0,21.7,60.2
Kyle Juszczyk,#44,FB,20.0,315.0,308.0,97.8,56.6,0 (0),187.0,60.7,61.7,90.0,29.2,55.6
Aaron Banks,#65,G,17.0,445.0,445.0,100.0,55.8,3 (1),267.0,60.0,63.1,112.0,25.2,42.2
Ross Dwelley,#82,TE,11.0,54.0,54.0,100.0,49.2,0 (0),20.0,37.0,53.7,15.0,27.8,48.1
Christian McCaffrey,#23,HB,19.0,400.0,62.0,15.5,30.2,0 (0),19.0,30.6,32.0,6.0,9.7,53.0
,,,,,,,,,,,,,,
