RUSHING_2023_RUSHING_2023_Rank,RUSHING_2023_RUSHING_2023_Player,RUSHING_2023_RUSHING_2023_JerseyNumber,RUSHING_2023_RUSHING_2023_Position,RUSHING_2023_RUSHING_2023_GamesPlayed,RUSHING_2023_RUSHING_2023_RushingTotalSnaps,RUSHING_2023_RUSHING_2023_RushingAttempts,RUSHING_2023_RUSHING_2023_RushingYards,RUSHING_2023_RUSHING_2023_RushingYardsPerAttempt,RUSHING_2023_RUSHING_2023_RushingTouchdowns,RUSHING_2023_RUSHING_2023_RushingFumbles,RUSHING_2023_RUSHING_2023_RushingOverallGrade,RUSHING_2023_RUSHING_2023_RushingGrade,RUSHING_2023_RUSHING_2023_RushingFumbles.1,RUSHING_2023_RUSHING_2023_RushingRunBlockingGrade,RUSHING_2023_RUSHING_2023_RushingYardsAfterContact,RUSHING_2023_RUSHING_2023_RushingYardsAfterContactPerAttempt,RUSHING_2023_RUSHING_2023_RushingMissedTacklesForced,RUSHING_2023_RUSHING_2023_RushingLongestRush,RUSHING_2023_RUSHING_2023_Rushing10PlusYardRuns,RUSHING_2023_RUSHING_2023_RushingYardsInZoneScheme,RUSHING_2023_RUSHING_2023_RushingYardsInGapScheme,RUSHING_2023_RUSHING_2023_RushingScrambles,RUSHING_2023_RUSHING_2023_RushingScrambleYards,RUSHING_2023_RUSHING_2023_RushingDesignedYards,RUSHING_2023_RUSHING_2023_Rushing15PlusYardRuns,RUSHING_2023_RUSHING_2023_RushingBreakawayYards,RUSHING_2023_RUSHING_2023_RushingBreakawayPercentage,RUSHING_2023_RUSHING_2023_RushingFirstDowns,RUSHING_2023_RUSHING_2023_RushingPenalties,RUSHING_2023_RUSHING_2023_RushingReceivingGrade,RUSHING_2023_RUSHING_2023_RushingPassBlockingGrade,RUSHING_2023_RUSHING_2023_RushingTargets,RUSHING_2023_RUSHING_2023_RushingReceptions,RUSHING_2023_RUSHING_2023_RushingReceivingYards,RUSHING_2023_RUSHING_2023_RushingReceivingSnaps,RUSHING_2023_RUSHING_2023_RushingYardsPerRouteRun,RUSHING_2023_RUSHING_2023_RushingDrops,RUSHING_2023_RUSHING_2023_RushingElusiveRating
1.0,Brock Purdy,#13,QB,19.0,492.0,53.0,218,4.1,2.0,6.0,87.4,92.0,70.5,60.0,134,2.53,6.0,21.0,9.0,1.0,0.0,24.0,213.0,5,0.0,0.0,0.0,20.0,5 (0),55.2,-,0.0,0.0,0,2.0,0.0,0.0,0.0
2.0,Christian McCaffrey,#23,HB,19.0,400.0,331.0,"1,727",5.2,18.0,4.0,90.3,90.3,65.8,30.2,"1,110",3.35,75.0,72.0,48.0,219.0,100.0,0.0,0.0,"1,727",22.0,595.0,34.5,98.0,2 (1),86.5,28.4,104.0,86.0,716,525.0,1.36,1.0,69.2
3.0,Jordan Mason,#24,HB,12.0,63.0,40.0,206,5.2,3.0,0.0,84.7,85.4,82.1,62.2,124,3.1,8.0,26.0,4.0,30.0,9.0,0.0,0.0,206,3.0,59.0,28.6,13.0,0 (0),62.0,23.8,4.0,3.0,31,35.0,0.89,0.0,64.9
4.0,Elijah Mitchell,#25,HB,14.0,109.0,81.0,296,3.7,3.0,0.0,70.2,71.5,86.4,70.7,235,2.9,18.0,18.0,7.0,55.0,24.0,0.0,0.0,296,2.0,33.0,11.1,15.0,0 (0),52.4,43.5,8.0,6.0,14,53.0,0.26,1.0,60.0
5.0,Ray-Ray McCloud III,#03,WR,14.0,81.0,3.0,30,10.0,0.0,0.0,63.1,70.6,59.1,75.4,8,2.67,0.0,15.0,1.0,1.0,0.0,0.0,0.0,30,1.0,15.0,50.0,2.0,0 (0),59.8,-,18.0,14.0,161,143.0,1.13,0.0,15.7
6.0,Deebo Samuel,#19,WR,18.0,333.0,43.0,240,5.6,5.0,1.0,85.4,68.2,64.7,60.3,138,3.21,22.0,23.0,11.0,16.0,5.0,0.0,0.0,240,4.0,72.0,30.0,14.0,2 (0),87.0,65.9,109.0,73.0,"1,038",459.0,2.26,4.0,152.2
7.0,George Kittle,#85,TE,19.0,444.0,1.0,2,2.0,0.0,0.0,87.7,61.8,81.7,81.1,0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2,0.0,0.0,0.0,1.0,2 (0),85.2,70.6,101.0,73.0,"1,132",568.0,1.99,7.0,0.0
8.0,Tyrion Davis-Price,#32,HB,1.0,7.0,6.0,21,3.5,0.0,0.0,60.3,60.1,70.6,60.0,23,3.83,1.0,15.0,1.0,2.0,4.0,0.0,0.0,21,1.0,15.0,71.4,1.0,0 (0),-,-,0.0,0.0,0,0.0,,0.0,63.9
9.0,Jauan Jennings,#15,WR,16.0,143.0,1.0,-1,-1.0,0.0,0.0,74.1,59.7,76.8,77.2,2,2.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,3 (0),72.4,73.0,42.0,29.0,376,303.0,1.24,1.0,53.3
10.0,Sam Darnold,#14,QB,10.0,71.0,21.0,14,0.7,1.0,3.0,66.0,57.8,22.9,60.0,10,0.48,2.0,9.0,0.0,0.0,0.0,3.0,15.0,-1,0.0,0.0,0.0,3.0,1 (0),-,-,0.0,0.0,0,0.0,,0.0,3.1
