SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Rank,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Player,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_JerseyNumber,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Position,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_GamesPlayed,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsTotalSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickReturnSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickCoverageSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntReturnSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntCoverageSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalBlockSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalKickSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsOverallGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickoffGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPenalties,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsTackles,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsAssists,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsMissedTackles
1.0,Samuel Womack III,#00,CB,7.0,104.0,24.0,36.0,24.0,18.0,2.0,0.0,75.0,-,-,-,1 (0),3.0,1.0,1.0
2.0,Charlie Woerner,#89,TE,20.0,410.0,90.0,107.0,47.0,62.0,0.0,104.0,73.6,-,-,-,0 (0),11.0,0.0,1.0
3.0,Jordan Mason,#24,HB,20.0,297.0,90.0,94.0,54.0,59.0,0.0,0.0,72.5,62.8,-,-,0 (0),6.0,2.0,1.0
4.0,Jalen Graham,#50,LB,4.0,58.0,19.0,21.0,11.0,7.0,0.0,0.0,70.8,-,-,-,0 (0),1.0,0.0,0.0
5.0,Brayden Willis,#09,TE,9.0,168.0,42.0,45.0,22.0,19.0,0.0,40.0,69.3,-,-,-,0 (0),0.0,1.0,0.0
6.0,Chris Conley,#84,WR,10.0,121.0,50.0,48.0,13.0,10.0,0.0,0.0,69.0,-,-,-,0 (0),2.0,0.0,1.0
7.0,Robert Beal Jr.,#51,ED,7.0,73.0,4.0,35.0,15.0,0.0,19.0,0.0,68.5,-,-,-,0 (0),1.0,0.0,0.0
8.0,Nick Bosa,#97,ED,10.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,66.6,-,-,-,0 (0),0.0,0.0,0.0
9.0,Logan Ryan,#33,S,7.0,38.0,3.0,18.0,9.0,0.0,8.0,0.0,66.5,-,-,-,0 (0),1.0,0.0,0.0
10.0,Curtis Robinson,#59,LB,3.0,54.0,10.0,17.0,14.0,12.0,1.0,0.0,66.4,-,-,-,0 (0),2.0,0.0,0.0
11.0,Talanoa Hufanga,#29,S,10.0,43.0,0.0,8.0,3.0,0.0,32.0,0.0,66.3,-,-,-,0 (0),1.0,0.0,0.0
